"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"21801","{""Q0"":""6932d88479e01c45669af119""}","survey-text","0","21814","0.0-0.0","6932d88479e01c45669af119","","","","","","","","","","","",""
"2120","0","html-button-response","1","23936","0.0-1.0","6932d88479e01c45669af119","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"50010","0","html-button-response","2","73946","0.0-2.0","6932d88479e01c45669af119","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7052","{""Q0"":2}","survey-likert","3","81000","0.0-3.0-0.0","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","108","What do you do to make ends meet?","<2.25","","3","null"
"12424","{""Q0"":1}","survey-likert","4","93426","0.0-3.0-0.1","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","2","null"
"5076","{""Q0"":4}","survey-likert","5","98504","0.0-3.0-0.2","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","774","The sheep turn round and charge the shepherd?",">5.25","","5","null"
"7395","{""Q0"":5}","survey-likert","6","105900","0.0-3.0-0.3","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","783","There was more chatter and tapping of watches.",">5.25","","6","null"
"5111","{""Q0"":0}","survey-likert","7","111012","0.0-3.0-0.4","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","166","I'd love to hear about what you're doing.","2.25-3.25","","1","null"
"18424","{""Q0"":1}","survey-likert","8","129437","0.0-3.0-0.5","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","2","null"
"6205","{""Q0"":0}","survey-likert","9","135643","0.0-3.0-0.6","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","1","null"
"4766","{""Q0"":5}","survey-likert","10","140411","0.0-3.0-0.7","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","541","Music and laughter came from inside the shop.","4.25-5.25","","6","null"
"4382","{""Q0"":1}","survey-likert","11","144795","0.0-3.0-0.8","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","324","She turned her attention back to the furnishings.","3.25-4.25","","2","null"
"3335","{""Q0"":1}","survey-likert","12","148130","0.0-3.0-0.9","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","2","null"
"9189","{""Q0"":1}","survey-likert","13","157321","0.0-3.0-0.10","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","27","Sir, would you like to leave a message?","<2.25","","2","null"
"3344","{""Q0"":3}","survey-likert","14","160667","0.0-3.0-0.11","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","4","null"
"6723","{""Q0"":1}","survey-likert","15","167391","0.0-3.0-0.12","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","778","That was very interesting research George was doing!",">5.25","","2","null"
"4359","{""Q0"":1}","survey-likert","16","171750","0.0-3.0-0.13","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","619","The next morning found him eager to begin.","4.25-5.25","","2","null"
"4813","{""Q0"":1}","survey-likert","17","176565","0.0-3.0-0.14","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","708","The guy most likely looked at life simply.",">5.25","","2","null"
"5609","{""Q0"":2}","survey-likert","18","182173","0.0-3.0-0.15","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","438","Footsteps moved toward them up the side street.","3.25-4.25","","3","null"
"2679","{""Q0"":1}","survey-likert","19","184853","0.0-3.0-0.16","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","381","The flow of data is returning to normal.","3.25-4.25","","2","null"
"5437","{""Q0"":4}","survey-likert","20","190292","0.0-3.0-0.17","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","333","He looked at the poster on the wall.","3.25-4.25","","5","null"
"3525","{""Q0"":2}","survey-likert","21","193817","0.0-3.0-0.18","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","688","I watched him head to the other barn.",">5.25","","3","null"
"7481","{""Q0"":1}","survey-likert","22","201300","0.0-3.0-0.19","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","43","Call me when you get close, all right?","<2.25","","2","null"
"3011","{""Q0"":4}","survey-likert","23","204311","0.0-3.0-0.20","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"4971","{""Q0"":1}","survey-likert","24","209284","0.0-3.0-0.21","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","204","If I get any information, I'll call you.","2.25-3.25","","2","null"
"8167","{""Q0"":4}","survey-likert","25","217451","0.0-3.0-0.22","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","679","Other passengers reviewed shopping lists and read books.",">5.25","","5","null"
"3607","{""Q0"":1}","survey-likert","26","221060","0.0-3.0-0.23","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","134","No, that's not the way I see it.","<2.25","","2","null"
"3953","{""Q0"":1}","survey-likert","27","225014","0.0-3.0-0.24","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","409","It would be like believing in the postman.","3.25-4.25","","2","null"
"5114","{""Q0"":1}","survey-likert","28","230130","0.0-3.0-0.25","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","734","I laughed too, loving his delightful British accent.",">5.25","","2","null"
"4756","{""Q0"":1}","survey-likert","29","234887","0.0-3.0-0.26","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","178","It was the way it had always been.","2.25-3.25","","2","null"
"5991","{""Q0"":1}","survey-likert","30","240878","0.0-3.0-0.27","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","299","When are we getting out of here, exactly?","2.25-3.25","","2","null"
"4459","{""Q0"":1}","survey-likert","31","245338","0.0-3.0-0.28","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","666","He peers at the tag inside the dress.",">5.25","","2","null"
"8215","{""Q0"":1}","survey-likert","32","253554","0.0-3.0-0.29","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","736","The boys were all at that runaway age.",">5.25","","2","null"
"3979","{""Q0"":1}","survey-likert","33","257534","0.0-3.0-0.30","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","188","He had never seen anything like them before.","2.25-3.25","","2","null"
"7373","{""Q0"":2}","survey-likert","34","264908","0.0-3.0-0.31","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","720","What use were eyes to it down here?",">5.25","","3","null"
"3025","{""Q0"":1}","survey-likert","35","267934","0.0-3.0-0.32","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","191","Most of it is not all of it.","2.25-3.25","","2","null"
"3884","{""Q0"":1}","survey-likert","36","271820","0.0-3.0-0.33","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","394","How could they talk when he couldn't speak?","3.25-4.25","","2","null"
"3215","{""Q0"":5}","survey-likert","37","275036","0.0-3.0-0.34","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","378","Did someone try to kick the door down?","3.25-4.25","","6","null"
"6441","{""Q0"":2}","survey-likert","38","281478","0.0-3.0-0.35","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","457","Finally, he had something he could actually do.","3.25-4.25","","3","null"
"4405","{""Q0"":1}","survey-likert","39","285884","0.0-3.0-0.36","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","396","In my judgment, you simply have no alternative.","3.25-4.25","","2","null"
"2981","{""Q0"":1}","survey-likert","40","288866","0.0-3.0-0.37","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","132","That's just what I was going to say.","<2.25","","2","null"
"4148","{""Q0"":1}","survey-likert","41","293015","0.0-3.0-0.38","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","454","Then I would have to answer interesting questions.","3.25-4.25","","2","null"
"3138","{""Q0"":3}","survey-likert","42","296154","0.0-3.0-0.39","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","513","The workshop guys can pick it up later.","4.25-5.25","","4","null"
"6784","{""Q0"":1}","survey-likert","43","302939","0.0-3.0-0.40","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","711","Martin knew any real answers lay much deeper.",">5.25","","2","null"
"7139","{""Q0"":5}","survey-likert","44","310079","0.0-3.0-0.41","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 6.","attention_check","6","6","true"
"5383","{""Q0"":1}","survey-likert","45","315463","0.0-3.0-0.42","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","430","In the swamps, I learned how to listen.","3.25-4.25","","2","null"
"6165","{""Q0"":4}","survey-likert","46","321629","0.0-3.0-0.43","6932d88479e01c45669af119","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","570","The windows they faced were dark and shut.","4.25-5.25","","5","null"
