"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6722","{""Q0"":""60f49bc8ed8976b9448e3730""}","survey-text","0","6766","0.0-0.0","60f49bc8ed8976b9448e3730","","","","","","","","","","","",""
"10186","0","html-button-response","1","16962","0.0-1.0","60f49bc8ed8976b9448e3730","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"99247","0","html-button-response","2","116212","0.0-2.0","60f49bc8ed8976b9448e3730","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"21957","{""Q0"":5}","survey-likert","3","138172","0.0-3.0-0.0","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","108","What do you do to make ends meet?","<2.25","","6","null"
"19496","{""Q0"":2}","survey-likert","4","157670","0.0-3.0-0.1","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","3","null"
"9592","{""Q0"":6}","survey-likert","5","167267","0.0-3.0-0.2","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","774","The sheep turn round and charge the shepherd?",">5.25","","7","null"
"8804","{""Q0"":2}","survey-likert","6","176075","0.0-3.0-0.3","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","783","There was more chatter and tapping of watches.",">5.25","","3","null"
"8006","{""Q0"":4}","survey-likert","7","184082","0.0-3.0-0.4","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","166","I'd love to hear about what you're doing.","2.25-3.25","","5","null"
"6918","{""Q0"":4}","survey-likert","8","191002","0.0-3.0-0.5","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","5","null"
"11766","{""Q0"":4}","survey-likert","9","202772","0.0-3.0-0.6","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","5","null"
"7291","{""Q0"":6}","survey-likert","10","210071","0.0-3.0-0.7","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","541","Music and laughter came from inside the shop.","4.25-5.25","","7","null"
"9574","{""Q0"":5}","survey-likert","11","219650","0.0-3.0-0.8","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","324","She turned her attention back to the furnishings.","3.25-4.25","","6","null"
"9656","{""Q0"":5}","survey-likert","12","229308","0.0-3.0-0.9","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","6","null"
"5677","{""Q0"":4}","survey-likert","13","234988","0.0-3.0-0.10","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","27","Sir, would you like to leave a message?","<2.25","","5","null"
"11340","{""Q0"":6}","survey-likert","14","246331","0.0-3.0-0.11","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","7","null"
"10068","{""Q0"":5}","survey-likert","15","256404","0.0-3.0-0.12","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","778","That was very interesting research George was doing!",">5.25","","6","null"
"10066","{""Q0"":5}","survey-likert","16","266473","0.0-3.0-0.13","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","619","The next morning found him eager to begin.","4.25-5.25","","6","null"
"10111","{""Q0"":5}","survey-likert","17","276587","0.0-3.0-0.14","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","708","The guy most likely looked at life simply.",">5.25","","6","null"
"11043","{""Q0"":6}","survey-likert","18","287635","0.0-3.0-0.15","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","438","Footsteps moved toward them up the side street.","3.25-4.25","","7","null"
"16956","{""Q0"":4}","survey-likert","19","304594","0.0-3.0-0.16","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","381","The flow of data is returning to normal.","3.25-4.25","","5","null"
"11242","{""Q0"":6}","survey-likert","20","315842","0.0-3.0-0.17","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","333","He looked at the poster on the wall.","3.25-4.25","","7","null"
"8117","{""Q0"":6}","survey-likert","21","323963","0.0-3.0-0.18","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","688","I watched him head to the other barn.",">5.25","","7","null"
"6243","{""Q0"":6}","survey-likert","22","330210","0.0-3.0-0.19","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","43","Call me when you get close, all right?","<2.25","","7","null"
"7717","{""Q0"":2}","survey-likert","23","337931","0.0-3.0-0.20","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"6755","{""Q0"":5}","survey-likert","24","344693","0.0-3.0-0.21","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","204","If I get any information, I'll call you.","2.25-3.25","","6","null"
"10224","{""Q0"":5}","survey-likert","25","354922","0.0-3.0-0.22","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","679","Other passengers reviewed shopping lists and read books.",">5.25","","6","null"
"8108","{""Q0"":5}","survey-likert","26","363033","0.0-3.0-0.23","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","134","No, that's not the way I see it.","<2.25","","6","null"
"6693","{""Q0"":6}","survey-likert","27","369729","0.0-3.0-0.24","60f49bc8ed8976b9448e3730","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","409","It would be like believing in the postman.","3.25-4.25","","7","null"
