"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7488","{""Q0"":""64e22a49c75e3fe980791cbe""}","survey-text","0","7494","0.0-0.0","64e22a49c75e3fe980791cbe","","","","","","","","","","","",""
"29967","0","html-button-response","1","37463","0.0-1.0","64e22a49c75e3fe980791cbe","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"78134","0","html-button-response","2","115598","0.0-2.0","64e22a49c75e3fe980791cbe","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6432","{""Q0"":2}","survey-likert","3","122032","0.0-3.0-0.0","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","108","What do you do to make ends meet?","<2.25","","3","null"
"9547","{""Q0"":5}","survey-likert","4","131581","0.0-3.0-0.1","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","6","null"
"10202","{""Q0"":4}","survey-likert","5","141784","0.0-3.0-0.2","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","774","The sheep turn round and charge the shepherd?",">5.25","","5","null"
"9973","{""Q0"":4}","survey-likert","6","151758","0.0-3.0-0.3","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","783","There was more chatter and tapping of watches.",">5.25","","5","null"
"8464","{""Q0"":0}","survey-likert","7","160224","0.0-3.0-0.4","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","166","I'd love to hear about what you're doing.","2.25-3.25","","1","null"
"8371","{""Q0"":1}","survey-likert","8","168596","0.0-3.0-0.5","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","2","null"
"5544","{""Q0"":1}","survey-likert","9","174141","0.0-3.0-0.6","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","2","null"
"8659","{""Q0"":4}","survey-likert","10","182801","0.0-3.0-0.7","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","541","Music and laughter came from inside the shop.","4.25-5.25","","5","null"
"6070","{""Q0"":4}","survey-likert","11","188872","0.0-3.0-0.8","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","324","She turned her attention back to the furnishings.","3.25-4.25","","5","null"
"6032","{""Q0"":3}","survey-likert","12","194905","0.0-3.0-0.9","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","4","null"
"5172","{""Q0"":0}","survey-likert","13","200078","0.0-3.0-0.10","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","27","Sir, would you like to leave a message?","<2.25","","1","null"
"10861","{""Q0"":3}","survey-likert","14","210940","0.0-3.0-0.11","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","4","null"
"9301","{""Q0"":1}","survey-likert","15","220242","0.0-3.0-0.12","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","778","That was very interesting research George was doing!",">5.25","","2","null"
"10186","{""Q0"":0}","survey-likert","16","230430","0.0-3.0-0.13","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","619","The next morning found him eager to begin.","4.25-5.25","","1","null"
"6661","{""Q0"":1}","survey-likert","17","237092","0.0-3.0-0.14","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","708","The guy most likely looked at life simply.",">5.25","","2","null"
"9854","{""Q0"":4}","survey-likert","18","246948","0.0-3.0-0.15","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","438","Footsteps moved toward them up the side street.","3.25-4.25","","5","null"
"8304","{""Q0"":3}","survey-likert","19","255253","0.0-3.0-0.16","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","381","The flow of data is returning to normal.","3.25-4.25","","4","null"
"4211","{""Q0"":5}","survey-likert","20","259465","0.0-3.0-0.17","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","333","He looked at the poster on the wall.","3.25-4.25","","6","null"
"7289","{""Q0"":6}","survey-likert","21","266754","0.0-3.0-0.18","64e22a49c75e3fe980791cbe","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","688","I watched him head to the other barn.",">5.25","","7","null"
