"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"13031","{""Q0"":""66daed4c64c8a7ff4de12537""}","survey-text","0","13072","0.0-0.0","66daed4c64c8a7ff4de12537","","","","","","","","","","","",""
"39519","0","html-button-response","1","52595","0.0-1.0","66daed4c64c8a7ff4de12537","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"115834","0","html-button-response","2","168430","0.0-2.0","66daed4c64c8a7ff4de12537","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11336","{""Q0"":6}","survey-likert","3","179769","0.0-3.0-0.0","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","451","You let greed get the better of you.","3.25-4.25","","7","null"
"14770","{""Q0"":3}","survey-likert","4","194542","0.0-3.0-0.1","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","362","It reminded her of her heart, her soul.","3.25-4.25","","4","null"
"16785","{""Q0"":5}","survey-likert","5","211330","0.0-3.0-0.2","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","622","She started to look uncomfortable then hid it.","4.25-5.25","","6","null"
"10086","{""Q0"":6}","survey-likert","6","221419","0.0-3.0-0.3","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","426","The thought of using makeup made her shiver.","3.25-4.25","","7","null"
"4936","{""Q0"":6}","survey-likert","7","226357","0.0-3.0-0.4","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","181","Don't let your guard down for a moment.","2.25-3.25","","7","null"
"7327","{""Q0"":3}","survey-likert","8","233685","0.0-3.0-0.5","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","456","A smile worked its way to her lips.","3.25-4.25","","4","null"
"5741","{""Q0"":3}","survey-likert","9","239430","0.0-3.0-0.6","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","220","What a day this was going to be!","2.25-3.25","","4","null"
"7195","{""Q0"":6}","survey-likert","10","246627","0.0-3.0-0.7","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","152","I am not going to talk about it.","<2.25","","7","null"
"5348","{""Q0"":6}","survey-likert","11","251976","0.0-3.0-0.8","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","460","He's so busy lately I hardly see him.","3.25-4.25","","7","null"
"13845","{""Q0"":4}","survey-likert","12","265823","0.0-3.0-0.9","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","281","What's this amazing thing that's happening to her?","2.25-3.25","","5","null"
"10533","{""Q0"":2}","survey-likert","13","276361","0.0-3.0-0.10","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","725","The assembly also sometimes is about moral teaching.",">5.25","","3","null"
"4730","{""Q0"":6}","survey-likert","14","281095","0.0-3.0-0.11","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","121","That's what I am trying to tell you.","<2.25","","7","null"
"10669","{""Q0"":3}","survey-likert","15","291767","0.0-3.0-0.12","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","351","It was as if the darkness itself thickened.","3.25-4.25","","4","null"
"6517","{""Q0"":3}","survey-likert","16","298288","0.0-3.0-0.13","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","559","He pointed out the device on the shield.","4.25-5.25","","4","null"
"5467","{""Q0"":6}","survey-likert","17","303759","0.0-3.0-0.14","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","100","As you can see, it is quite large.","<2.25","","7","null"
"6199","{""Q0"":6}","survey-likert","18","309962","0.0-3.0-0.15","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","164","We need to take it a step further.","2.25-3.25","","7","null"
"23168","{""Q0"":1}","survey-likert","19","333133","0.0-3.0-0.16","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","683","The air traffic control center functions without these.",">5.25","","2","null"
"6054","{""Q0"":6}","survey-likert","20","339190","0.0-3.0-0.17","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","32","I want you to be my best man.","<2.25","","7","null"
"12147","{""Q0"":2}","survey-likert","21","351340","0.0-3.0-0.18","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","3","null"
"6533","{""Q0"":0}","survey-likert","22","357875","0.0-3.0-0.19","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","672","The metal collects charged particles, drawing a current.",">5.25","","1","null"
"5291","{""Q0"":6}","survey-likert","23","363168","0.0-3.0-0.20","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"6663","{""Q0"":5}","survey-likert","24","369834","0.0-3.0-0.21","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","612","He knows what happened at the shirt place.","4.25-5.25","","6","null"
"4666","{""Q0"":6}","survey-likert","25","374505","0.0-3.0-0.22","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","41","You're going to have to talk to them.","<2.25","","7","null"
"5116","{""Q0"":6}","survey-likert","26","379623","0.0-3.0-0.23","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","54","Would you like to come back one day?","<2.25","","7","null"
"7451","{""Q0"":3}","survey-likert","27","387077","0.0-3.0-0.24","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","445","She took not one more step toward him.","3.25-4.25","","4","null"
"7764","{""Q0"":3}","survey-likert","28","394846","0.0-3.0-0.25","66daed4c64c8a7ff4de12537","","[0]","","4","1","How much does the sentence make sense?","718","All three anchor stores are on one level.",">5.25","","4","null"
