"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4678","{""Q0"":""59d3ef2c078dbe000195117f""}","survey-text","0","4688","0.0-0.0","59d3ef2c078dbe000195117f","","","","","","","","","","","",""
"7303","0","html-button-response","1","11993","0.0-1.0","59d3ef2c078dbe000195117f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"19946","0","html-button-response","2","31939","0.0-2.0","59d3ef2c078dbe000195117f","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8952","{""Q0"":0}","survey-likert","3","40893","0.0-3.0-0.0","59d3ef2c078dbe000195117f","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"5823","{""Q0"":0}","survey-likert","4","46718","0.0-3.0-0.1","59d3ef2c078dbe000195117f","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","762","And now, Logan had stirred the pot again.",">5.25","","1","null"
"7431","{""Q0"":0}","survey-likert","5","54150","0.0-3.0-0.2","59d3ef2c078dbe000195117f","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"3806","{""Q0"":0}","survey-likert","6","57958","0.0-3.0-0.3","59d3ef2c078dbe000195117f","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","682","He resisted checking his notebook, determined to impress.",">5.25","","1","null"
"4472","{""Q0"":0}","survey-likert","7","62431","0.0-3.0-0.4","59d3ef2c078dbe000195117f","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","423","It is time to meet with the duke.","3.25-4.25","","1","null"
"3887","{""Q0"":0}","survey-likert","8","66319","0.0-3.0-0.5","59d3ef2c078dbe000195117f","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"2531","{""Q0"":0}","survey-likert","9","68852","0.0-3.0-0.6","59d3ef2c078dbe000195117f","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","1","null"
"4459","{""Q0"":4}","survey-likert","10","73312","0.0-3.0-0.7","59d3ef2c078dbe000195117f","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","70","There's a message for you at the office.","<2.25","","5","null"
"2936","{""Q0"":2}","survey-likert","11","76249","0.0-3.0-0.8","59d3ef2c078dbe000195117f","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","253","That could only mean one of three things.","2.25-3.25","","3","null"
