"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"16652","{""Q0"":""6745d61c85294c5d2ed6bd5a""}","survey-text","0","16661","0.0-0.0","6745d61c85294c5d2ed6bd5a","","","","","","","","","","","",""
"9211","0","html-button-response","1","25876","0.0-1.0","6745d61c85294c5d2ed6bd5a","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"68324","0","html-button-response","2","94202","0.0-2.0","6745d61c85294c5d2ed6bd5a","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"60203","{""Q0"":0}","survey-likert","3","154410","0.0-3.0-0.0","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","117","Now, why did you ask to see me?","<2.25","","1","null"
"72528","{""Q0"":4}","survey-likert","4","226941","0.0-3.0-0.1","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","726","Or pretend we run an imaginary puppy store?",">5.25","","5","null"
"9020","{""Q0"":4}","survey-likert","5","235965","0.0-3.0-0.2","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","717","The crystals all over his car were growing.",">5.25","","5","null"
"8190","{""Q0"":4}","survey-likert","6","244159","0.0-3.0-0.3","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","5","null"
"94245","{""Q0"":2}","survey-likert","7","338407","0.0-3.0-0.4","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","249","I was just giving you a hard time.","2.25-3.25","","3","null"
"7447","{""Q0"":4}","survey-likert","8","345858","0.0-3.0-0.5","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","316","I could not believe what they were saying.","2.25-3.25","","5","null"
"5884","{""Q0"":3}","survey-likert","9","351746","0.0-3.0-0.6","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","4","null"
"7733","{""Q0"":4}","survey-likert","10","359482","0.0-3.0-0.7","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","800","Cass stands there looking at him march away.",">5.25","","5","null"
"112767","{""Q0"":3}","survey-likert","11","472252","0.0-3.0-0.8","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","605","It means methane gas leeching from the soil.","4.25-5.25","","4","null"
"7035","{""Q0"":4}","survey-likert","12","479291","0.0-3.0-0.9","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","795","Something ancient stirred far off in the forest.",">5.25","","5","null"
"8062","{""Q0"":4}","survey-likert","13","487356","0.0-3.0-0.10","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","695","This development enabled the emergence of secondary consciousness.",">5.25","","5","null"
"4360","{""Q0"":3}","survey-likert","14","491720","0.0-3.0-0.11","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","4","null"
"4115","{""Q0"":4}","survey-likert","15","495838","0.0-3.0-0.12","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","5","null"
"5536","{""Q0"":5}","survey-likert","16","501377","0.0-3.0-0.13","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","412","Can you see the spring in his step?","3.25-4.25","","6","null"
"6559","{""Q0"":4}","survey-likert","17","507940","0.0-3.0-0.14","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","382","I feel a new sun on my skin","3.25-4.25","","5","null"
"8456","{""Q0"":4}","survey-likert","18","516399","0.0-3.0-0.15","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","585","I did get a lot accomplished this week.","4.25-5.25","","5","null"
"3290","{""Q0"":4}","survey-likert","19","519694","0.0-3.0-0.16","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","21","I don't know what to do with you.","<2.25","","5","null"
"3722","{""Q0"":4}","survey-likert","20","523418","0.0-3.0-0.17","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","36","I think I'm going to go to bed.","<2.25","","5","null"
"4511","{""Q0"":4}","survey-likert","21","527933","0.0-3.0-0.18","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","22","Why don't you come in for a while?","<2.25","","5","null"
"6014","{""Q0"":4}","survey-likert","22","533949","0.0-3.0-0.19","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","312","The chauffeur changes the lock on the door.","2.25-3.25","","5","null"
"14868","{""Q0"":1}","survey-likert","23","548819","0.0-3.0-0.20","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"4877","{""Q0"":5}","survey-likert","24","553698","0.0-3.0-0.21","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","131","Why do you want to know my name?","<2.25","","6","null"
"3807","{""Q0"":4}","survey-likert","25","557507","0.0-3.0-0.22","6745d61c85294c5d2ed6bd5a","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","640","They mine the leaves of their host plant.","4.25-5.25","","5","null"
