"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10834","{""Q0"":""5fb4fcd1fce53c30649dd704""}","survey-text","0","10854","0.0-0.0","5fb4fcd1fce53c30649dd704","","","","","","","","","","","",""
"109156","0","html-button-response","1","120015","0.0-1.0","5fb4fcd1fce53c30649dd704","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"39935","0","html-button-response","2","159952","0.0-2.0","5fb4fcd1fce53c30649dd704","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8630","{""Q0"":5}","survey-likert","3","168588","0.0-3.0-0.0","5fb4fcd1fce53c30649dd704","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","49","All you had to do was walk away.","<2.25","","6","null"
"8290","{""Q0"":5}","survey-likert","4","176883","0.0-3.0-0.1","5fb4fcd1fce53c30649dd704","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","153","Only one of them could have done that.","<2.25","","6","null"
"7656","{""Q0"":1}","survey-likert","5","184543","0.0-3.0-0.2","5fb4fcd1fce53c30649dd704","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","326","He was holding his backpack over his head.","3.25-4.25","","2","null"
"11274","{""Q0"":1}","survey-likert","6","195821","0.0-3.0-0.3","5fb4fcd1fce53c30649dd704","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","2","null"
"11108","{""Q0"":5}","survey-likert","7","206930","0.0-3.0-0.4","5fb4fcd1fce53c30649dd704","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","59","I really haven't made up my mind yet.","<2.25","","6","null"
"7379","{""Q0"":0}","survey-likert","8","214312","0.0-3.0-0.5","5fb4fcd1fce53c30649dd704","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","512","The other two float out into the vacuum.","4.25-5.25","","1","null"
"4695","{""Q0"":0}","survey-likert","9","219010","0.0-3.0-0.6","5fb4fcd1fce53c30649dd704","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","420","He put half a dozen in his pouch.","3.25-4.25","","1","null"
