"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3731","{""Q0"":""659c0682d109f8537a89fdd3""}","survey-text","0","3737","0.0-0.0","659c0682d109f8537a89fdd3","","","","","","","","","","","",""
"848","0","html-button-response","1","4586","0.0-1.0","659c0682d109f8537a89fdd3","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"23422","0","html-button-response","2","28008","0.0-2.0","659c0682d109f8537a89fdd3","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8675","{""Q0"":2}","survey-likert","3","36684","0.0-3.0-0.0","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","656","Now it runs without any rake sharing arrangement.",">5.25","","3","null"
"131092","{""Q0"":4}","survey-likert","4","167784","0.0-3.0-0.1","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","702","I began to ride a first rate hunch.",">5.25","","5","null"
"6147","{""Q0"":4}","survey-likert","5","173932","0.0-3.0-0.2","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","251","Not that I didn't like the cat, too.","2.25-3.25","","5","null"
"3610","{""Q0"":3}","survey-likert","6","177543","0.0-3.0-0.3","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","235","I'm in the middle of something important here.","2.25-3.25","","4","null"
"5609","{""Q0"":1}","survey-likert","7","183152","0.0-3.0-0.4","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","384","The launch was delayed by a few months.","3.25-4.25","","2","null"
"12281","{""Q0"":1}","survey-likert","8","195433","0.0-3.0-0.5","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","330","He got up and headed toward the kitchen.","3.25-4.25","","2","null"
"3443","{""Q0"":4}","survey-likert","9","198877","0.0-3.0-0.6","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","39","Promise me you won't put yourself in danger.","<2.25","","5","null"
"2700","{""Q0"":4}","survey-likert","10","201578","0.0-3.0-0.7","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","5","null"
"9939","{""Q0"":1}","survey-likert","11","211517","0.0-3.0-0.8","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","2","null"
"2854","{""Q0"":3}","survey-likert","12","214372","0.0-3.0-0.9","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","314","A knock at the front door interrupted me.","2.25-3.25","","4","null"
"4327","{""Q0"":3}","survey-likert","13","218699","0.0-3.0-0.10","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","705","He gestures between us, like now we're connected.",">5.25","","4","null"
"3400","{""Q0"":5}","survey-likert","14","222100","0.0-3.0-0.11","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","287","Right now it's just wonderful to be back.","2.25-3.25","","6","null"
"11809","{""Q0"":3}","survey-likert","15","233913","0.0-3.0-0.12","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","477","There is too much happening in world politics.","3.25-4.25","","4","null"
"2664","{""Q0"":4}","survey-likert","16","236578","0.0-3.0-0.13","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","297","How many times did you try calling her?","2.25-3.25","","5","null"
"3184","{""Q0"":5}","survey-likert","17","239762","0.0-3.0-0.14","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","363","Freedom is the greatest prize of them all.","3.25-4.25","","6","null"
"6360","{""Q0"":4}","survey-likert","18","246123","0.0-3.0-0.15","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","561","You alone have stood up to their guards.","4.25-5.25","","5","null"
"4310","{""Q0"":4}","survey-likert","19","250433","0.0-3.0-0.16","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","5","null"
"5554","{""Q0"":3}","survey-likert","20","255987","0.0-3.0-0.17","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","579","Well, you should always let a roast rest.","4.25-5.25","","4","null"
"5814","{""Q0"":3}","survey-likert","21","261801","0.0-3.0-0.18","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","452","Everything was running as usual in her head.","3.25-4.25","","4","null"
"2094","{""Q0"":5}","survey-likert","22","263896","0.0-3.0-0.19","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","4","Do you understand what I'm trying to say?","<2.25","","6","null"
"1815","{""Q0"":3}","survey-likert","23","265712","0.0-3.0-0.20","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"4388","{""Q0"":4}","survey-likert","24","270101","0.0-3.0-0.21","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","671","Teddy tilted his face into the soft rain.",">5.25","","5","null"
"3046","{""Q0"":5}","survey-likert","25","273148","0.0-3.0-0.22","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","435","And how are you enjoying this fine evening?","3.25-4.25","","6","null"
"4879","{""Q0"":5}","survey-likert","26","278028","0.0-3.0-0.23","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","347","When she stepped into view, she saw everyone.","3.25-4.25","","6","null"
"15208","{""Q0"":4}","survey-likert","27","293239","0.0-3.0-0.24","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","747","And Matt wandered off to investigate the grounds.",">5.25","","5","null"
"4718","{""Q0"":3}","survey-likert","28","297959","0.0-3.0-0.25","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","225","I'm not the only one on your trail.","2.25-3.25","","4","null"
"23049","{""Q0"":2}","survey-likert","29","321008","0.0-3.0-0.26","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","357","He put the receiver down and sat up.","3.25-4.25","","3","null"
"6887","{""Q0"":2}","survey-likert","30","327895","0.0-3.0-0.27","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","730","Some tapes of my studio and some books.",">5.25","","3","null"
"26374","{""Q0"":4}","survey-likert","31","354272","0.0-3.0-0.28","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","449","It took him a moment to remember it.","3.25-4.25","","5","null"
"6749","{""Q0"":5}","survey-likert","32","361021","0.0-3.0-0.29","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","342","He was at the wrong place, wrong time.","3.25-4.25","","6","null"
"3264","{""Q0"":4}","survey-likert","33","364286","0.0-3.0-0.30","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","788","His little globe of light revealed a tunnel.",">5.25","","5","null"
"1978","{""Q0"":5}","survey-likert","34","366264","0.0-3.0-0.31","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","209","He wanted answers, but he didn't need them.","2.25-3.25","","6","null"
"3131","{""Q0"":5}","survey-likert","35","369396","0.0-3.0-0.32","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","658","She was pale, twenty shades lighter than white.",">5.25","","6","null"
"2693","{""Q0"":3}","survey-likert","36","372090","0.0-3.0-0.33","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","151","That was how it was supposed to be.","<2.25","","4","null"
"3049","{""Q0"":4}","survey-likert","37","375140","0.0-3.0-0.34","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","555","It could be one, but feels like fifty.","4.25-5.25","","5","null"
"4215","{""Q0"":5}","survey-likert","38","379356","0.0-3.0-0.35","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","789","His pitch streaked by; the batter almost ducked.",">5.25","","6","null"
"45314","{""Q0"":5}","survey-likert","39","424674","0.0-3.0-0.36","659c0682d109f8537a89fdd3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","620","Mentally he made note of the day's activities.","4.25-5.25","","6","null"
