"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3646","{""Q0"":""69932ccc26c39ba9a7a39642""}","survey-text","0","3673","0.0-0.0","69932ccc26c39ba9a7a39642","","","","","","","","","","","",""
"4190","0","html-button-response","1","7865","0.0-1.0","69932ccc26c39ba9a7a39642","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"36586","0","html-button-response","2","44452","0.0-2.0","69932ccc26c39ba9a7a39642","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"16027","{""Q0"":1}","survey-likert","3","60482","0.0-3.0-0.0","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","49","All you had to do was walk away.","<2.25","","2","null"
"6511","{""Q0"":6}","survey-likert","4","66996","0.0-3.0-0.1","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","153","Only one of them could have done that.","<2.25","","7","null"
"4587","{""Q0"":4}","survey-likert","5","71585","0.0-3.0-0.2","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","326","He was holding his backpack over his head.","3.25-4.25","","5","null"
"6985","{""Q0"":4}","survey-likert","6","78572","0.0-3.0-0.3","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","5","null"
"2625","{""Q0"":4}","survey-likert","7","81199","0.0-3.0-0.4","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","59","I really haven't made up my mind yet.","<2.25","","5","null"
"2666","{""Q0"":4}","survey-likert","8","83866","0.0-3.0-0.5","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","512","The other two float out into the vacuum.","4.25-5.25","","5","null"
"2534","{""Q0"":4}","survey-likert","9","86402","0.0-3.0-0.6","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","420","He put half a dozen in his pouch.","3.25-4.25","","5","null"
"3171","{""Q0"":5}","survey-likert","10","89575","0.0-3.0-0.7","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","68","He picked it up and looked at it.","<2.25","","6","null"
"2727","{""Q0"":3}","survey-likert","11","92304","0.0-3.0-0.8","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","733","They must purchase the electric power at wholesale.",">5.25","","4","null"
"1986","{""Q0"":4}","survey-likert","12","94292","0.0-3.0-0.9","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","403","They were putting on a mask of calm.","3.25-4.25","","5","null"
"2329","{""Q0"":4}","survey-likert","13","96623","0.0-3.0-0.10","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","625","With luck, maybe it will work without trouble.","4.25-5.25","","5","null"
"1906","{""Q0"":4}","survey-likert","14","98531","0.0-3.0-0.11","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","185","Suddenly there was an image in my mind.","2.25-3.25","","5","null"
"4287","{""Q0"":6}","survey-likert","15","102820","0.0-3.0-0.12","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","139","There's a lot of things I can't change.","<2.25","","7","null"
"3089","{""Q0"":5}","survey-likert","16","105910","0.0-3.0-0.13","69932ccc26c39ba9a7a39642","","[0]","","6","1","How much does the sentence make sense?","496","She shopped for only one thing: a bargain.","4.25-5.25","","6","null"
