"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"17589","{""Q0"":""672a844656ca03498e04cd76""}","survey-text","0","17601","0.0-0.0","672a844656ca03498e04cd76","","","","","","","","","","","",""
"2189","0","html-button-response","1","19794","0.0-1.0","672a844656ca03498e04cd76","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"5636","0","html-button-response","2","25432","0.0-2.0","672a844656ca03498e04cd76","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"53938","{""Q0"":0}","survey-likert","3","79375","0.0-3.0-0.0","672a844656ca03498e04cd76","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","117","Now, why did you ask to see me?","<2.25","","1","null"
"20768","{""Q0"":5}","survey-likert","4","100156","0.0-3.0-0.1","672a844656ca03498e04cd76","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","726","Or pretend we run an imaginary puppy store?",">5.25","","6","null"
"22767","{""Q0"":2}","survey-likert","5","122931","0.0-3.0-0.2","672a844656ca03498e04cd76","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","717","The crystals all over his car were growing.",">5.25","","3","null"
"18067","{""Q0"":0}","survey-likert","6","141005","0.0-3.0-0.3","672a844656ca03498e04cd76","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","1","null"
"17724","{""Q0"":0}","survey-likert","7","158737","0.0-3.0-0.4","672a844656ca03498e04cd76","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","249","I was just giving you a hard time.","2.25-3.25","","1","null"
"23064","{""Q0"":0}","survey-likert","8","181808","0.0-3.0-0.5","672a844656ca03498e04cd76","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","316","I could not believe what they were saying.","2.25-3.25","","1","null"
"13172","{""Q0"":0}","survey-likert","9","194987","0.0-3.0-0.6","672a844656ca03498e04cd76","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","1","null"
