"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"9069","{""Q0"":""60f6acaed2336346c8997195""}","survey-text","0","9089","0.0-0.0","60f6acaed2336346c8997195","","","","","","","","","","","",""
"51477","0","html-button-response","1","60569","0.0-1.0","60f6acaed2336346c8997195","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"17722","0","html-button-response","2","78292","0.0-2.0","60f6acaed2336346c8997195","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9889","{""Q0"":2}","survey-likert","3","88184","0.0-3.0-0.0","60f6acaed2336346c8997195","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","117","Now, why did you ask to see me?","<2.25","","3","null"
"7429","{""Q0"":4}","survey-likert","4","95616","0.0-3.0-0.1","60f6acaed2336346c8997195","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","726","Or pretend we run an imaginary puppy store?",">5.25","","5","null"
"65923","{""Q0"":5}","survey-likert","5","161542","0.0-3.0-0.2","60f6acaed2336346c8997195","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","717","The crystals all over his car were growing.",">5.25","","6","null"
"5334","{""Q0"":3}","survey-likert","6","166878","0.0-3.0-0.3","60f6acaed2336346c8997195","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","4","null"
"3394","{""Q0"":0}","survey-likert","7","170274","0.0-3.0-0.4","60f6acaed2336346c8997195","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","249","I was just giving you a hard time.","2.25-3.25","","1","null"
"3345","{""Q0"":4}","survey-likert","8","173621","0.0-3.0-0.5","60f6acaed2336346c8997195","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","316","I could not believe what they were saying.","2.25-3.25","","5","null"
"5370","{""Q0"":2}","survey-likert","9","178994","0.0-3.0-0.6","60f6acaed2336346c8997195","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","3","null"
