"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3520","{""Q0"":""6914da23628a8fcd69fd60c1""}","survey-text","0","3800","0.0-0.0","6914da23628a8fcd69fd60c1","","","","","","","","","","","",""
"23163","0","html-button-response","1","26967","0.0-1.0","6914da23628a8fcd69fd60c1","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"362606","0","html-button-response","2","389575","0.0-2.0","6914da23628a8fcd69fd60c1","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"73060","{""Q0"":3}","survey-likert","3","462639","0.0-3.0-0.0","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","49","All you had to do was walk away.","<2.25","","4","null"
"13804","{""Q0"":2}","survey-likert","4","476446","0.0-3.0-0.1","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","153","Only one of them could have done that.","<2.25","","3","null"
"22541","{""Q0"":2}","survey-likert","5","498990","0.0-3.0-0.2","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","326","He was holding his backpack over his head.","3.25-4.25","","3","null"
"16726","{""Q0"":2}","survey-likert","6","515718","0.0-3.0-0.3","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","3","null"
"7479","{""Q0"":3}","survey-likert","7","523199","0.0-3.0-0.4","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","59","I really haven't made up my mind yet.","<2.25","","4","null"
"12763","{""Q0"":4}","survey-likert","8","535966","0.0-3.0-0.5","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","512","The other two float out into the vacuum.","4.25-5.25","","5","null"
"31461","{""Q0"":3}","survey-likert","9","567429","0.0-3.0-0.6","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","420","He put half a dozen in his pouch.","3.25-4.25","","4","null"
"5631","{""Q0"":4}","survey-likert","10","573062","0.0-3.0-0.7","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","68","He picked it up and looked at it.","<2.25","","5","null"
"14421","{""Q0"":4}","survey-likert","11","587486","0.0-3.0-0.8","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","733","They must purchase the electric power at wholesale.",">5.25","","5","null"
"6589","{""Q0"":5}","survey-likert","12","594077","0.0-3.0-0.9","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","403","They were putting on a mask of calm.","3.25-4.25","","6","null"
"5732","{""Q0"":2}","survey-likert","13","599811","0.0-3.0-0.10","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","625","With luck, maybe it will work without trouble.","4.25-5.25","","3","null"
"5318","{""Q0"":4}","survey-likert","14","605131","0.0-3.0-0.11","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","185","Suddenly there was an image in my mind.","2.25-3.25","","5","null"
"9984","{""Q0"":4}","survey-likert","15","615117","0.0-3.0-0.12","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","139","There's a lot of things I can't change.","<2.25","","5","null"
"4126","{""Q0"":5}","survey-likert","16","619245","0.0-3.0-0.13","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","496","She shopped for only one thing: a bargain.","4.25-5.25","","6","null"
"130894","{""Q0"":3}","survey-likert","17","750142","0.0-3.0-0.14","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","148","Let me know what you think of that.","<2.25","","4","null"
"5750","{""Q0"":1}","survey-likert","18","755894","0.0-3.0-0.15","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","492","There's already a half million in this portfolio.","4.25-5.25","","2","null"
"14484","{""Q0"":3}","survey-likert","19","770381","0.0-3.0-0.16","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","103","Mister, I don't want to know your name.","<2.25","","4","null"
"61894","{""Q0"":2}","survey-likert","20","832278","0.0-3.0-0.17","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","319","Then you should go back to your table.","2.25-3.25","","3","null"
"6438","{""Q0"":5}","survey-likert","21","838718","0.0-3.0-0.18","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","508","The elves nodded and headed for the house.","4.25-5.25","","6","null"
"4957","{""Q0"":1}","survey-likert","22","843677","0.0-3.0-0.19","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","549","It is the second planet from their sun.","4.25-5.25","","2","null"
"3259","{""Q0"":1}","survey-likert","23","846939","0.0-3.0-0.20","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"65393","{""Q0"":4}","survey-likert","24","912334","0.0-3.0-0.21","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","729","Making what we all believe look like dirt",">5.25","","5","null"
"65772","{""Q0"":5}","survey-likert","25","978108","0.0-3.0-0.22","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","72","We have a lot of work to do.","<2.25","","6","null"
"7423","{""Q0"":5}","survey-likert","26","985533","0.0-3.0-0.23","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","265","And are you happy with your new book?","2.25-3.25","","6","null"
"15365","{""Q0"":6}","survey-likert","27","1000902","0.0-3.0-0.24","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","724","Every second wasted in negotiation made her nervous.",">5.25","","7","null"
"10757","{""Q0"":4}","survey-likert","28","1011661","0.0-3.0-0.25","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","101","How am I supposed to tell the difference?","<2.25","","5","null"
"15166","{""Q0"":4}","survey-likert","29","1026829","0.0-3.0-0.26","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","580","Where would a wise man hide a leaf?","4.25-5.25","","5","null"
"85614","{""Q0"":4}","survey-likert","30","1112446","0.0-3.0-0.27","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","79","I didn't even know you were in town.","<2.25","","5","null"
"6637","{""Q0"":5}","survey-likert","31","1119085","0.0-3.0-0.28","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","194","People looked at him for a few seconds.","2.25-3.25","","6","null"
"5509","{""Q0"":6}","survey-likert","32","1124597","0.0-3.0-0.29","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","721","Bryan produced a card immediately and introduced himself.",">5.25","","7","null"
"3982","{""Q0"":4}","survey-likert","33","1128582","0.0-3.0-0.30","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","40","Look, do you want my help or not?","<2.25","","5","null"
"3958","{""Q0"":1}","survey-likert","34","1132541","0.0-3.0-0.31","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","391","The eyes are the window to the soul.","3.25-4.25","","2","null"
"3030","{""Q0"":5}","survey-likert","35","1135574","0.0-3.0-0.32","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","270","He had no desire to work for him.","2.25-3.25","","6","null"
"27492","{""Q0"":5}","survey-likert","36","1163068","0.0-3.0-0.33","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","372","There was no hesitation for him, no nerves.","3.25-4.25","","6","null"
"10495","{""Q0"":4}","survey-likert","37","1173565","0.0-3.0-0.34","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","343","That decision was an easy one to make.","3.25-4.25","","5","null"
"3526","{""Q0"":1}","survey-likert","38","1177094","0.0-3.0-0.35","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","576","This was a major advance in workshop technology.","4.25-5.25","","2","null"
"8948","{""Q0"":1}","survey-likert","39","1186045","0.0-3.0-0.36","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","427","One, two, or a thousand more wouldn't matter.","3.25-4.25","","2","null"
"84190","{""Q0"":2}","survey-likert","40","1270238","0.0-3.0-0.37","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","282","It was time for the first pep talk.","2.25-3.25","","3","null"
"3948","{""Q0"":4}","survey-likert","41","1274187","0.0-3.0-0.38","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","7","What are you going to do about it?","<2.25","","5","null"
"4079","{""Q0"":5}","survey-likert","42","1278268","0.0-3.0-0.39","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","643","Was he pleading for release or to serve?","4.25-5.25","","6","null"
"5592","{""Q0"":6}","survey-likert","43","1283863","0.0-3.0-0.40","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","748","Dixie set her tea down and leaned forward.",">5.25","","7","null"
"3276","{""Q0"":0}","survey-likert","44","1287142","0.0-3.0-0.41","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_40","This is an attention check. Please click 1.","attention_check","1","1","true"
"5925","{""Q0"":6}","survey-likert","45","1293070","0.0-3.0-0.42","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","354","She should have started with something much smaller.","3.25-4.25","","7","null"
"68869","{""Q0"":5}","survey-likert","46","1361943","0.0-3.0-0.43","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","768","Her locked gaze remained in place this time.",">5.25","","6","null"
"5387","{""Q0"":2}","survey-likert","47","1367331","0.0-3.0-0.44","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","221","It was going to be a challenging night.","2.25-3.25","","3","null"
"13904","{""Q0"":3}","survey-likert","48","1381237","0.0-3.0-0.45","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","37","That's the funniest thing I have ever seen.","<2.25","","4","null"
"11236","{""Q0"":4}","survey-likert","49","1392476","0.0-3.0-0.46","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","262","All right, tell me what you do know.","2.25-3.25","","5","null"
"3480","{""Q0"":3}","survey-likert","50","1395957","0.0-3.0-0.47","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","415","Here I could see the clear winter sky.","3.25-4.25","","4","null"
"8455","{""Q0"":4}","survey-likert","51","1404414","0.0-3.0-0.48","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","784","I slid into the other side with Herbert.",">5.25","","5","null"
"23677","{""Q0"":4}","survey-likert","52","1428094","0.0-3.0-0.49","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","50","I gave it to you as a present.","<2.25","","5","null"
"92246","{""Q0"":4}","survey-likert","53","1520342","0.0-3.0-0.50","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","294","A place where they live, so to speak.","2.25-3.25","","5","null"
"9982","{""Q0"":3}","survey-likert","54","1530326","0.0-3.0-0.51","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","388","On the way back it grew quite dark.","3.25-4.25","","4","null"
"83635","{""Q0"":2}","survey-likert","55","1613963","0.0-3.0-0.52","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","799","German soil lay only a league from here.",">5.25","","3","null"
"14057","{""Q0"":5}","survey-likert","56","1628022","0.0-3.0-0.53","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","380","He speaks without the aid of a microphone.","3.25-4.25","","6","null"
"68877","{""Q0"":3}","survey-likert","57","1696902","0.0-3.0-0.54","6914da23628a8fcd69fd60c1","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","509","I blinked rapidly, struggling to pull myself together.","4.25-5.25","","4","null"
