"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4395","{""Q0"":""69808f7c8ff246c7ce92f77c""}","survey-text","0","4428","0.0-0.0","69808f7c8ff246c7ce92f77c","","","","","","","","","","","",""
"13096","0","html-button-response","1","17527","0.0-1.0","69808f7c8ff246c7ce92f77c","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"99428","0","html-button-response","2","116956","0.0-2.0","69808f7c8ff246c7ce92f77c","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5770","{""Q0"":6}","survey-likert","3","122729","0.0-3.0-0.0","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","7","null"
"14438","{""Q0"":4}","survey-likert","4","137169","0.0-3.0-0.1","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","696","Relief swept through her when she found one.",">5.25","","5","null"
"5440","{""Q0"":5}","survey-likert","5","142611","0.0-3.0-0.2","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","404","There is a little white at the base.","3.25-4.25","","6","null"
"5890","{""Q0"":6}","survey-likert","6","148503","0.0-3.0-0.3","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","398","What did you put for your best feature?","3.25-4.25","","7","null"
"3481","{""Q0"":6}","survey-likert","7","151985","0.0-3.0-0.4","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","81","I want you to have a good time.","<2.25","","7","null"
"5684","{""Q0"":6}","survey-likert","8","157670","0.0-3.0-0.5","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","42","It's the logical thing to do, isn't it?","<2.25","","7","null"
"3719","{""Q0"":6}","survey-likert","9","161391","0.0-3.0-0.6","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","145","Truth is, I don't know what to say.","<2.25","","7","null"
"2689","{""Q0"":6}","survey-likert","10","164082","0.0-3.0-0.7","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","55","You were right, you were right all along.","<2.25","","7","null"
"9801","{""Q0"":2}","survey-likert","11","173885","0.0-3.0-0.8","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","3","null"
"2635","{""Q0"":6}","survey-likert","12","176522","0.0-3.0-0.9","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","159","That's exactly what I want you to do.","<2.25","","7","null"
"3257","{""Q0"":6}","survey-likert","13","179780","0.0-3.0-0.10","69808f7c8ff246c7ce92f77c","","[0]","","8","1","How much does the sentence make sense?","471","It seems the rumors were not far off.","3.25-4.25","","7","null"
