"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"18596","{""Q0"":""574eab79c18847000e071119""}","survey-text","0","18614","0.0-0.0","574eab79c18847000e071119","","","","","","","","","","","",""
"21416","0","html-button-response","1","40036","0.0-1.0","574eab79c18847000e071119","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"89972","0","html-button-response","2","130011","0.0-2.0","574eab79c18847000e071119","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"26759","{""Q0"":3}","survey-likert","3","156775","0.0-3.0-0.0","574eab79c18847000e071119","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","108","What do you do to make ends meet?","<2.25","","4","null"
"22715","{""Q0"":0}","survey-likert","4","179495","0.0-3.0-0.1","574eab79c18847000e071119","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","1","null"
"7116","{""Q0"":0}","survey-likert","5","186615","0.0-3.0-0.2","574eab79c18847000e071119","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","774","The sheep turn round and charge the shepherd?",">5.25","","1","null"
"9787","{""Q0"":2}","survey-likert","6","196406","0.0-3.0-0.3","574eab79c18847000e071119","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","783","There was more chatter and tapping of watches.",">5.25","","3","null"
"11773","{""Q0"":6}","survey-likert","7","208183","0.0-3.0-0.4","574eab79c18847000e071119","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"5676","{""Q0"":5}","survey-likert","8","213862","0.0-3.0-0.5","574eab79c18847000e071119","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","6","null"
"9372","{""Q0"":1}","survey-likert","9","223238","0.0-3.0-0.6","574eab79c18847000e071119","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","2","null"
