"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4553","{""Q0"":""671201e06906af2fa5b789ba""}","survey-text","0","4572","0.0-0.0","671201e06906af2fa5b789ba","","","","","","","","","","","",""
"53871","0","html-button-response","1","58451","0.0-1.0","671201e06906af2fa5b789ba","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"83397","0","html-button-response","2","141854","0.0-2.0","671201e06906af2fa5b789ba","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"48133","{""Q0"":4}","survey-likert","3","189994","0.0-3.0-0.0","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","49","All you had to do was walk away.","<2.25","","5","null"
"44779","{""Q0"":5}","survey-likert","4","234780","0.0-3.0-0.1","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","153","Only one of them could have done that.","<2.25","","6","null"
"7364","{""Q0"":6}","survey-likert","5","242149","0.0-3.0-0.2","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","326","He was holding his backpack over his head.","3.25-4.25","","7","null"
"8444","{""Q0"":5}","survey-likert","6","250598","0.0-3.0-0.3","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","6","null"
"7428","{""Q0"":1}","survey-likert","7","258032","0.0-3.0-0.4","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","59","I really haven't made up my mind yet.","<2.25","","2","null"
"4342","{""Q0"":5}","survey-likert","8","262380","0.0-3.0-0.5","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","512","The other two float out into the vacuum.","4.25-5.25","","6","null"
"7325","{""Q0"":6}","survey-likert","9","269710","0.0-3.0-0.6","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","420","He put half a dozen in his pouch.","3.25-4.25","","7","null"
"4096","{""Q0"":5}","survey-likert","10","273812","0.0-3.0-0.7","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","68","He picked it up and looked at it.","<2.25","","6","null"
"6567","{""Q0"":5}","survey-likert","11","280384","0.0-3.0-0.8","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","733","They must purchase the electric power at wholesale.",">5.25","","6","null"
"6816","{""Q0"":4}","survey-likert","12","287207","0.0-3.0-0.9","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","403","They were putting on a mask of calm.","3.25-4.25","","5","null"
"6063","{""Q0"":1}","survey-likert","13","293276","0.0-3.0-0.10","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","625","With luck, maybe it will work without trouble.","4.25-5.25","","2","null"
"4496","{""Q0"":1}","survey-likert","14","297777","0.0-3.0-0.11","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","185","Suddenly there was an image in my mind.","2.25-3.25","","2","null"
"3270","{""Q0"":1}","survey-likert","15","301052","0.0-3.0-0.12","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","139","There's a lot of things I can't change.","<2.25","","2","null"
"11088","{""Q0"":5}","survey-likert","16","312145","0.0-3.0-0.13","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","496","She shopped for only one thing: a bargain.","4.25-5.25","","6","null"
"4860","{""Q0"":1}","survey-likert","17","317011","0.0-3.0-0.14","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","148","Let me know what you think of that.","<2.25","","2","null"
"10145","{""Q0"":5}","survey-likert","18","327161","0.0-3.0-0.15","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","492","There's already a half million in this portfolio.","4.25-5.25","","6","null"
"10070","{""Q0"":1}","survey-likert","19","337236","0.0-3.0-0.16","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","103","Mister, I don't want to know your name.","<2.25","","2","null"
"4189","{""Q0"":5}","survey-likert","20","341431","0.0-3.0-0.17","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","319","Then you should go back to your table.","2.25-3.25","","6","null"
"38523","{""Q0"":5}","survey-likert","21","379959","0.0-3.0-0.18","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","508","The elves nodded and headed for the house.","4.25-5.25","","6","null"
"5312","{""Q0"":6}","survey-likert","22","385276","0.0-3.0-0.19","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","549","It is the second planet from their sun.","4.25-5.25","","7","null"
"6617","{""Q0"":6}","survey-likert","23","391899","0.0-3.0-0.20","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"6330","{""Q0"":1}","survey-likert","24","398235","0.0-3.0-0.21","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","729","Making what we all believe look like dirt",">5.25","","2","null"
"3610","{""Q0"":5}","survey-likert","25","401851","0.0-3.0-0.22","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","72","We have a lot of work to do.","<2.25","","6","null"
"3278","{""Q0"":1}","survey-likert","26","405134","0.0-3.0-0.23","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","265","And are you happy with your new book?","2.25-3.25","","2","null"
"4119","{""Q0"":1}","survey-likert","27","409259","0.0-3.0-0.24","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","724","Every second wasted in negotiation made her nervous.",">5.25","","2","null"
"4462","{""Q0"":1}","survey-likert","28","413727","0.0-3.0-0.25","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","101","How am I supposed to tell the difference?","<2.25","","2","null"
"5004","{""Q0"":1}","survey-likert","29","418736","0.0-3.0-0.26","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","580","Where would a wise man hide a leaf?","4.25-5.25","","2","null"
"6806","{""Q0"":1}","survey-likert","30","425548","0.0-3.0-0.27","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","79","I didn't even know you were in town.","<2.25","","2","null"
"4238","{""Q0"":5}","survey-likert","31","429792","0.0-3.0-0.28","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","194","People looked at him for a few seconds.","2.25-3.25","","6","null"
"3479","{""Q0"":5}","survey-likert","32","433276","0.0-3.0-0.29","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","721","Bryan produced a card immediately and introduced himself.",">5.25","","6","null"
"6039","{""Q0"":5}","survey-likert","33","439321","0.0-3.0-0.30","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","40","Look, do you want my help or not?","<2.25","","6","null"
"4753","{""Q0"":1}","survey-likert","34","444079","0.0-3.0-0.31","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","391","The eyes are the window to the soul.","3.25-4.25","","2","null"
"6417","{""Q0"":5}","survey-likert","35","450502","0.0-3.0-0.32","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","270","He had no desire to work for him.","2.25-3.25","","6","null"
"6596","{""Q0"":1}","survey-likert","36","457102","0.0-3.0-0.33","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","372","There was no hesitation for him, no nerves.","3.25-4.25","","2","null"
"3248","{""Q0"":1}","survey-likert","37","460355","0.0-3.0-0.34","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","343","That decision was an easy one to make.","3.25-4.25","","2","null"
"33014","{""Q0"":5}","survey-likert","38","493374","0.0-3.0-0.35","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","576","This was a major advance in workshop technology.","4.25-5.25","","6","null"
"4780","{""Q0"":1}","survey-likert","39","498159","0.0-3.0-0.36","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","427","One, two, or a thousand more wouldn't matter.","3.25-4.25","","2","null"
"5177","{""Q0"":5}","survey-likert","40","503342","0.0-3.0-0.37","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","282","It was time for the first pep talk.","2.25-3.25","","6","null"
"4512","{""Q0"":1}","survey-likert","41","507859","0.0-3.0-0.38","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","7","What are you going to do about it?","<2.25","","2","null"
"6811","{""Q0"":1}","survey-likert","42","514675","0.0-3.0-0.39","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","643","Was he pleading for release or to serve?","4.25-5.25","","2","null"
"5138","{""Q0"":6}","survey-likert","43","519819","0.0-3.0-0.40","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","748","Dixie set her tea down and leaned forward.",">5.25","","7","null"
"3995","{""Q0"":5}","survey-likert","44","523819","0.0-3.0-0.41","671201e06906af2fa5b789ba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 6.","attention_check","6","6","true"
