"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7217","{""Q0"":""5c1942e200849900010afdcd""}","survey-text","0","7223","0.0-0.0","5c1942e200849900010afdcd","","","","","","","","","","","",""
"16635","0","html-button-response","1","23859","0.0-1.0","5c1942e200849900010afdcd","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"30391","0","html-button-response","2","54249","0.0-2.0","5c1942e200849900010afdcd","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"4829","{""Q0"":4}","survey-likert","3","59079","0.0-3.0-0.0","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","108","What do you do to make ends meet?","<2.25","","5","null"
"3195","{""Q0"":0}","survey-likert","4","62275","0.0-3.0-0.1","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","1","null"
"4909","{""Q0"":2}","survey-likert","5","67185","0.0-3.0-0.2","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","774","The sheep turn round and charge the shepherd?",">5.25","","3","null"
"2555","{""Q0"":0}","survey-likert","6","69741","0.0-3.0-0.3","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","783","There was more chatter and tapping of watches.",">5.25","","1","null"
"2547","{""Q0"":0}","survey-likert","7","72289","0.0-3.0-0.4","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","166","I'd love to hear about what you're doing.","2.25-3.25","","1","null"
"5383","{""Q0"":0}","survey-likert","8","77673","0.0-3.0-0.5","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","1","null"
"2297","{""Q0"":0}","survey-likert","9","79971","0.0-3.0-0.6","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","1","null"
"2707","{""Q0"":5}","survey-likert","10","82678","0.0-3.0-0.7","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","541","Music and laughter came from inside the shop.","4.25-5.25","","6","null"
"2251","{""Q0"":3}","survey-likert","11","84931","0.0-3.0-0.8","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","324","She turned her attention back to the furnishings.","3.25-4.25","","4","null"
"2025","{""Q0"":0}","survey-likert","12","86957","0.0-3.0-0.9","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","1","null"
"1849","{""Q0"":0}","survey-likert","13","88806","0.0-3.0-0.10","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","27","Sir, would you like to leave a message?","<2.25","","1","null"
"2209","{""Q0"":0}","survey-likert","14","91016","0.0-3.0-0.11","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","1","null"
"2595","{""Q0"":1}","survey-likert","15","93612","0.0-3.0-0.12","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","778","That was very interesting research George was doing!",">5.25","","2","null"
"16275","{""Q0"":1}","survey-likert","16","109888","0.0-3.0-0.13","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","619","The next morning found him eager to begin.","4.25-5.25","","2","null"
"2883","{""Q0"":2}","survey-likert","17","112772","0.0-3.0-0.14","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","708","The guy most likely looked at life simply.",">5.25","","3","null"
"2835","{""Q0"":4}","survey-likert","18","115607","0.0-3.0-0.15","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","438","Footsteps moved toward them up the side street.","3.25-4.25","","5","null"
"2521","{""Q0"":0}","survey-likert","19","118129","0.0-3.0-0.16","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","381","The flow of data is returning to normal.","3.25-4.25","","1","null"
"2675","{""Q0"":3}","survey-likert","20","120805","0.0-3.0-0.17","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","333","He looked at the poster on the wall.","3.25-4.25","","4","null"
"2276","{""Q0"":5}","survey-likert","21","123081","0.0-3.0-0.18","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","688","I watched him head to the other barn.",">5.25","","6","null"
"12383","{""Q0"":2}","survey-likert","22","135465","0.0-3.0-0.19","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","43","Call me when you get close, all right?","<2.25","","3","null"
"2987","{""Q0"":4}","survey-likert","23","138453","0.0-3.0-0.20","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"2403","{""Q0"":0}","survey-likert","24","140856","0.0-3.0-0.21","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","204","If I get any information, I'll call you.","2.25-3.25","","1","null"
"2801","{""Q0"":4}","survey-likert","25","143658","0.0-3.0-0.22","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","679","Other passengers reviewed shopping lists and read books.",">5.25","","5","null"
"3197","{""Q0"":1}","survey-likert","26","146856","0.0-3.0-0.23","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","134","No, that's not the way I see it.","<2.25","","2","null"
"2841","{""Q0"":0}","survey-likert","27","149698","0.0-3.0-0.24","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","409","It would be like believing in the postman.","3.25-4.25","","1","null"
"3406","{""Q0"":1}","survey-likert","28","153105","0.0-3.0-0.25","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","734","I laughed too, loving his delightful British accent.",">5.25","","2","null"
"2457","{""Q0"":0}","survey-likert","29","155562","0.0-3.0-0.26","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","178","It was the way it had always been.","2.25-3.25","","1","null"
"2355","{""Q0"":3}","survey-likert","30","157918","0.0-3.0-0.27","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","299","When are we getting out of here, exactly?","2.25-3.25","","4","null"
"2269","{""Q0"":0}","survey-likert","31","160188","0.0-3.0-0.28","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","666","He peers at the tag inside the dress.",">5.25","","1","null"
"2617","{""Q0"":0}","survey-likert","32","162806","0.0-3.0-0.29","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","736","The boys were all at that runaway age.",">5.25","","1","null"
"2533","{""Q0"":0}","survey-likert","33","165340","0.0-3.0-0.30","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","188","He had never seen anything like them before.","2.25-3.25","","1","null"
"3123","{""Q0"":0}","survey-likert","34","168464","0.0-3.0-0.31","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","720","What use were eyes to it down here?",">5.25","","1","null"
"1661","{""Q0"":0}","survey-likert","35","170126","0.0-3.0-0.32","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","191","Most of it is not all of it.","2.25-3.25","","1","null"
"2081","{""Q0"":0}","survey-likert","36","172208","0.0-3.0-0.33","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","394","How could they talk when he couldn't speak?","3.25-4.25","","1","null"
"2275","{""Q0"":1}","survey-likert","37","174484","0.0-3.0-0.34","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","378","Did someone try to kick the door down?","3.25-4.25","","2","null"
"1985","{""Q0"":0}","survey-likert","38","176470","0.0-3.0-0.35","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","457","Finally, he had something he could actually do.","3.25-4.25","","1","null"
"27497","{""Q0"":0}","survey-likert","39","203968","0.0-3.0-0.36","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","396","In my judgment, you simply have no alternative.","3.25-4.25","","1","null"
"6301","{""Q0"":0}","survey-likert","40","210270","0.0-3.0-0.37","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","132","That's just what I was going to say.","<2.25","","1","null"
"3435","{""Q0"":0}","survey-likert","41","213705","0.0-3.0-0.38","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","454","Then I would have to answer interesting questions.","3.25-4.25","","1","null"
"3365","{""Q0"":0}","survey-likert","42","217071","0.0-3.0-0.39","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","513","The workshop guys can pick it up later.","4.25-5.25","","1","null"
"2209","{""Q0"":0}","survey-likert","43","219281","0.0-3.0-0.40","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","711","Martin knew any real answers lay much deeper.",">5.25","","1","null"
"2171","{""Q0"":0}","survey-likert","44","221453","0.0-3.0-0.41","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_40","This is an attention check. Please click 1.","attention_check","1","1","true"
"2241","{""Q0"":5}","survey-likert","45","223695","0.0-3.0-0.42","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","430","In the swamps, I learned how to listen.","3.25-4.25","","6","null"
"2315","{""Q0"":4}","survey-likert","46","226011","0.0-3.0-0.43","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","570","The windows they faced were dark and shut.","4.25-5.25","","5","null"
"2649","{""Q0"":3}","survey-likert","47","228661","0.0-3.0-0.44","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","609","We lead rituals and ceremonies, things like that.","4.25-5.25","","4","null"
"2075","{""Q0"":0}","survey-likert","48","230737","0.0-3.0-0.45","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","51","It's not just me, it's both of us.","<2.25","","1","null"
"1953","{""Q0"":0}","survey-likert","49","232692","0.0-3.0-0.46","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","123","I don't care what you think of me.","<2.25","","1","null"
"2041","{""Q0"":0}","survey-likert","50","234733","0.0-3.0-0.47","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","530","Now keep that thought in mind and exaggerate!","4.25-5.25","","1","null"
"1899","{""Q0"":0}","survey-likert","51","236633","0.0-3.0-0.48","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","273","Let's hope there isn't a backlash against him.","2.25-3.25","","1","null"
"20397","{""Q0"":1}","survey-likert","52","257031","0.0-3.0-0.49","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","756","But here they were merely Paul and Anna.",">5.25","","2","null"
"3011","{""Q0"":5}","survey-likert","53","260043","0.0-3.0-0.50","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","616","Half of Omaha has no lights right now.","4.25-5.25","","6","null"
"2603","{""Q0"":0}","survey-likert","54","262647","0.0-3.0-0.51","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","90","Even if I did, you'd never believe it.","<2.25","","1","null"
"2641","{""Q0"":1}","survey-likert","55","265289","0.0-3.0-0.52","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","33","I wish there was something I could do.","<2.25","","2","null"
"2755","{""Q0"":0}","survey-likert","56","268045","0.0-3.0-0.53","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","239","It doesn't look like something you'd pick out.","2.25-3.25","","1","null"
"2531","{""Q0"":0}","survey-likert","57","270577","0.0-3.0-0.54","5c1942e200849900010afdcd","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","215","Whatever it was, it seemed to get through.","2.25-3.25","","1","null"
