"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"9656","{""Q0"":""6a0b755a88b3aa117275120b""}","survey-text","0","9674","0.0-0.0","6a0b755a88b3aa117275120b","","","","","","","","","","","",""
"83742","0","html-button-response","1","93418","0.0-1.0","6a0b755a88b3aa117275120b","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"2680","0","html-button-response","2","96099","0.0-2.0","6a0b755a88b3aa117275120b","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9962","{""Q0"":0}","survey-likert","3","106063","0.0-3.0-0.0","6a0b755a88b3aa117275120b","","[0]","","7","1","How much does the sentence make sense?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"5186","{""Q0"":5}","survey-likert","4","111251","0.0-3.0-0.1","6a0b755a88b3aa117275120b","","[0]","","7","1","How much does the sentence make sense?","762","And now, Logan had stirred the pot again.",">5.25","","6","null"
"6881","{""Q0"":5}","survey-likert","5","118134","0.0-3.0-0.2","6a0b755a88b3aa117275120b","","[0]","","7","1","How much does the sentence make sense?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","6","null"
"75583","{""Q0"":2}","survey-likert","6","193719","0.0-3.0-0.3","6a0b755a88b3aa117275120b","","[0]","","7","1","How much does the sentence make sense?","682","He resisted checking his notebook, determined to impress.",">5.25","","3","null"
"17348","{""Q0"":6}","survey-likert","7","211069","0.0-3.0-0.4","6a0b755a88b3aa117275120b","","[0]","","7","1","How much does the sentence make sense?","423","It is time to meet with the duke.","3.25-4.25","","7","null"
"7497","{""Q0"":6}","survey-likert","8","218567","0.0-3.0-0.5","6a0b755a88b3aa117275120b","","[0]","","7","1","How much does the sentence make sense?","551","You have acquired this power in two days?","4.25-5.25","","7","null"
"5413","{""Q0"":6}","survey-likert","9","223982","0.0-3.0-0.6","6a0b755a88b3aa117275120b","","[0]","","7","1","How much does the sentence make sense?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","7","null"
