"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"25059","{""Q0"":""697d8d53bc33e5039c1719f3""}","survey-text","0","25068","0.0-0.0","697d8d53bc33e5039c1719f3","","","","","","","","","","","",""
"170129","0","html-button-response","1","195200","0.0-1.0","697d8d53bc33e5039c1719f3","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"129359","0","html-button-response","2","324560","0.0-2.0","697d8d53bc33e5039c1719f3","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"50293","{""Q0"":0}","survey-likert","3","374857","0.0-3.0-0.0","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","656","Now it runs without any rake sharing arrangement.",">5.25","","1","null"
"28439","{""Q0"":3}","survey-likert","4","403300","0.0-3.0-0.1","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","702","I began to ride a first rate hunch.",">5.25","","4","null"
"14498","{""Q0"":4}","survey-likert","5","417801","0.0-3.0-0.2","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","251","Not that I didn't like the cat, too.","2.25-3.25","","5","null"
"13185","{""Q0"":3}","survey-likert","6","430989","0.0-3.0-0.3","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","235","I'm in the middle of something important here.","2.25-3.25","","4","null"
"7073","{""Q0"":1}","survey-likert","7","438065","0.0-3.0-0.4","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","384","The launch was delayed by a few months.","3.25-4.25","","2","null"
"8885","{""Q0"":1}","survey-likert","8","446953","0.0-3.0-0.5","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","330","He got up and headed toward the kitchen.","3.25-4.25","","2","null"
"11135","{""Q0"":5}","survey-likert","9","458089","0.0-3.0-0.6","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","39","Promise me you won't put yourself in danger.","<2.25","","6","null"
"12013","{""Q0"":4}","survey-likert","10","470105","0.0-3.0-0.7","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","5","null"
"5857","{""Q0"":0}","survey-likert","11","475965","0.0-3.0-0.8","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","1","null"
"5502","{""Q0"":5}","survey-likert","12","481469","0.0-3.0-0.9","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","314","A knock at the front door interrupted me.","2.25-3.25","","6","null"
"5324","{""Q0"":6}","survey-likert","13","486795","0.0-3.0-0.10","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","705","He gestures between us, like now we're connected.",">5.25","","7","null"
"7591","{""Q0"":4}","survey-likert","14","494388","0.0-3.0-0.11","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","287","Right now it's just wonderful to be back.","2.25-3.25","","5","null"
"6742","{""Q0"":4}","survey-likert","15","501132","0.0-3.0-0.12","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","477","There is too much happening in world politics.","3.25-4.25","","5","null"
"5012","{""Q0"":5}","survey-likert","16","506145","0.0-3.0-0.13","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","297","How many times did you try calling her?","2.25-3.25","","6","null"
"4886","{""Q0"":5}","survey-likert","17","511034","0.0-3.0-0.14","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","363","Freedom is the greatest prize of them all.","3.25-4.25","","6","null"
"5608","{""Q0"":4}","survey-likert","18","516644","0.0-3.0-0.15","697d8d53bc33e5039c1719f3","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","561","You alone have stood up to their guards.","4.25-5.25","","5","null"
