"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3662","{""Q0"":""69badda48c61991df99bf3fe""}","survey-text","0","3671","0.0-0.0","69badda48c61991df99bf3fe","","","","","","","","","","","",""
"1663","0","html-button-response","1","5335","0.0-1.0","69badda48c61991df99bf3fe","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"3911","0","html-button-response","2","9247","0.0-2.0","69badda48c61991df99bf3fe","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11175","{""Q0"":4}","survey-likert","3","20423","0.0-3.0-0.0","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","743","She noticed his particular attitude and his attention.",">5.25","","5","null"
"2935","{""Q0"":6}","survey-likert","4","23359","0.0-3.0-0.1","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","762","And now, Logan had stirred the pot again.",">5.25","","7","null"
"2991","{""Q0"":6}","survey-likert","5","26351","0.0-3.0-0.2","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","7","null"
"6807","{""Q0"":6}","survey-likert","6","33159","0.0-3.0-0.3","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","682","He resisted checking his notebook, determined to impress.",">5.25","","7","null"
"2871","{""Q0"":6}","survey-likert","7","36031","0.0-3.0-0.4","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","423","It is time to meet with the duke.","3.25-4.25","","7","null"
"5559","{""Q0"":5}","survey-likert","8","41591","0.0-3.0-0.5","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","551","You have acquired this power in two days?","4.25-5.25","","6","null"
"9455","{""Q0"":6}","survey-likert","9","51047","0.0-3.0-0.6","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","7","null"
"5800","{""Q0"":3}","survey-likert","10","56847","0.0-3.0-0.7","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","70","There's a message for you at the office.","<2.25","","4","null"
"5016","{""Q0"":5}","survey-likert","11","61863","0.0-3.0-0.8","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","253","That could only mean one of three things.","2.25-3.25","","6","null"
"5919","{""Q0"":6}","survey-likert","12","67783","0.0-3.0-0.9","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","127","You know that as well as I do.","<2.25","","7","null"
"4775","{""Q0"":2}","survey-likert","13","72559","0.0-3.0-0.10","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","686","The terminal palps are covered with substantial feathers.",">5.25","","3","null"
"3335","{""Q0"":6}","survey-likert","14","75895","0.0-3.0-0.11","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","7","null"
"3496","{""Q0"":6}","survey-likert","15","79391","0.0-3.0-0.12","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","7","null"
"2513","{""Q0"":6}","survey-likert","16","81904","0.0-3.0-0.13","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","448","She hurried to catch up with the others.","3.25-4.25","","7","null"
"4230","{""Q0"":4}","survey-likert","17","86135","0.0-3.0-0.14","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","697","She shoved her paper over at the boy.",">5.25","","5","null"
"6087","{""Q0"":6}","survey-likert","18","92223","0.0-3.0-0.15","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","434","It went against everything that he was taught.","3.25-4.25","","7","null"
"26032","{""Q0"":0}","survey-likert","19","118255","0.0-3.0-0.16","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","773","Shipment of grub worms coming in first thing.",">5.25","","1","null"
"3991","{""Q0"":6}","survey-likert","20","122247","0.0-3.0-0.17","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","465","They all cast nervous glances at each other.","3.25-4.25","","7","null"
"2704","{""Q0"":6}","survey-likert","21","124951","0.0-3.0-0.18","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","383","The four grown-ups were seated around the table.","3.25-4.25","","7","null"
"6559","{""Q0"":4}","survey-likert","22","131511","0.0-3.0-0.19","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","432","There's one coming along the path right now.","3.25-4.25","","5","null"
"3456","{""Q0"":1}","survey-likert","23","134967","0.0-3.0-0.20","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"3703","{""Q0"":6}","survey-likert","24","138671","0.0-3.0-0.21","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","524","She threw the whole amount into that fund.","4.25-5.25","","7","null"
"5615","{""Q0"":6}","survey-likert","25","144287","0.0-3.0-0.22","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","7","null"
"11416","{""Q0"":6}","survey-likert","26","155704","0.0-3.0-0.23","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","663","The three women shared a harsh, knowing laugh.",">5.25","","7","null"
"4182","{""Q0"":6}","survey-likert","27","159887","0.0-3.0-0.24","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","356","It had been snowing nonstop for a week.","3.25-4.25","","7","null"
"5015","{""Q0"":5}","survey-likert","28","164903","0.0-3.0-0.25","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","546","Through all the confusion came an overwhelming clarity.","4.25-5.25","","6","null"
"3791","{""Q0"":6}","survey-likert","29","168695","0.0-3.0-0.26","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","602","She lifted the goblet and toasted her employer.","4.25-5.25","","7","null"
"3551","{""Q0"":6}","survey-likert","30","172247","0.0-3.0-0.27","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","348","The craggy-faced man was leaning on a stick.","3.25-4.25","","7","null"
"3048","{""Q0"":6}","survey-likert","31","175295","0.0-3.0-0.28","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","406","I reached my limit a long time ago.","3.25-4.25","","7","null"
"2687","{""Q0"":6}","survey-likert","32","177983","0.0-3.0-0.29","69badda48c61991df99bf3fe","","[0]","","7","1","How much does the sentence make sense?","523","The separation was almost too painful to stand.","4.25-5.25","","7","null"
