"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"24119","{""Q0"":""69309f7da595fb656eebdeb1""}","survey-text","0","24133","0.0-0.0","69309f7da595fb656eebdeb1","","","","","","","","","","","",""
"11118","0","html-button-response","1","35256","0.0-1.0","69309f7da595fb656eebdeb1","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"55609","0","html-button-response","2","90868","0.0-2.0","69309f7da595fb656eebdeb1","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"4974","{""Q0"":6}","survey-likert","3","95922","0.0-3.0-0.0","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","91","This is the worst moment of my life.","<2.25","","7","null"
"3938","{""Q0"":6}","survey-likert","4","99866","0.0-3.0-0.1","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","5","Is there anything I can do for you?","<2.25","","7","null"
"10168","{""Q0"":6}","survey-likert","5","110042","0.0-3.0-0.2","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","285","And now there are trees all around us.","2.25-3.25","","7","null"
"5355","{""Q0"":6}","survey-likert","6","115406","0.0-3.0-0.3","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","7","null"
"5175","{""Q0"":6}","survey-likert","7","120587","0.0-3.0-0.4","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","67","Oh, I wish I could remember the name.","<2.25","","7","null"
"4227","{""Q0"":5}","survey-likert","8","124820","0.0-3.0-0.5","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","336","He looked at me with a wacky gaze.","3.25-4.25","","6","null"
"3934","{""Q0"":6}","survey-likert","9","128761","0.0-3.0-0.6","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","138","There is no use in talking about it.","<2.25","","7","null"
"4666","{""Q0"":6}","survey-likert","10","133431","0.0-3.0-0.7","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","502","We were surrounded by people from various origins.","4.25-5.25","","7","null"
"6252","{""Q0"":6}","survey-likert","11","139688","0.0-3.0-0.8","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","699","It also had real but limited economic advances.",">5.25","","7","null"
"4067","{""Q0"":6}","survey-likert","12","143761","0.0-3.0-0.9","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","92","Maybe you should take another look at it.","<2.25","","7","null"
"3456","{""Q0"":6}","survey-likert","13","147221","0.0-3.0-0.10","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","168","I'm just trying to find the right words.","2.25-3.25","","7","null"
"3465","{""Q0"":6}","survey-likert","14","150691","0.0-3.0-0.11","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","94","This is not where I want to be.","<2.25","","7","null"
"3231","{""Q0"":6}","survey-likert","15","153926","0.0-3.0-0.12","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","359","So tonight I decided to have a barbecue.","3.25-4.25","","7","null"
"5585","{""Q0"":1}","survey-likert","16","159517","0.0-3.0-0.13","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","771","Reactions worked totally off of his trained instincts.",">5.25","","2","null"
"3182","{""Q0"":6}","survey-likert","17","162703","0.0-3.0-0.14","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","115","What am I going to say to them?","<2.25","","7","null"
"2721","{""Q0"":6}","survey-likert","18","165430","0.0-3.0-0.15","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","99","I was trying to do the right thing.","<2.25","","7","null"
"4510","{""Q0"":6}","survey-likert","19","169945","0.0-3.0-0.16","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","304","We must move before the sun comes up.","2.25-3.25","","7","null"
"4046","{""Q0"":6}","survey-likert","20","173999","0.0-3.0-0.17","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","7","null"
"6593","{""Q0"":6}","survey-likert","21","180597","0.0-3.0-0.18","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","701","I was elected captain and James became jealous.",">5.25","","7","null"
"3670","{""Q0"":6}","survey-likert","22","184271","0.0-3.0-0.19","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","177","Frankly, I can't spare the time right now.","2.25-3.25","","7","null"
"3489","{""Q0"":1}","survey-likert","23","187767","0.0-3.0-0.20","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"4789","{""Q0"":1}","survey-likert","24","192559","0.0-3.0-0.21","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","764","Your writ runs in the hours of darkness.",">5.25","","2","null"
"7119","{""Q0"":3}","survey-likert","25","199683","0.0-3.0-0.22","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","455","However, I am without argument to explain it.","3.25-4.25","","4","null"
"6505","{""Q0"":3}","survey-likert","26","206191","0.0-3.0-0.23","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","288","Isn't she coming home for tea after all?","2.25-3.25","","4","null"
"5175","{""Q0"":6}","survey-likert","27","211371","0.0-3.0-0.24","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","76","I can't get it out of my head.","<2.25","","7","null"
"7021","{""Q0"":1}","survey-likert","28","218398","0.0-3.0-0.25","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","179","In the meantime, I had much to do.","2.25-3.25","","2","null"
"4703","{""Q0"":6}","survey-likert","29","223109","0.0-3.0-0.26","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","254","He had not expected them to believe him.","2.25-3.25","","7","null"
"3873","{""Q0"":6}","survey-likert","30","226987","0.0-3.0-0.27","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","345","It was a very heavy silence that followed.","3.25-4.25","","7","null"
"8765","{""Q0"":5}","survey-likert","31","235757","0.0-3.0-0.28","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","6","null"
"3822","{""Q0"":6}","survey-likert","32","239584","0.0-3.0-0.29","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","305","I went out to get him some food.","2.25-3.25","","7","null"
"3649","{""Q0"":6}","survey-likert","33","243238","0.0-3.0-0.30","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","518","Go figure, no one wears hats these days.","4.25-5.25","","7","null"
"3227","{""Q0"":6}","survey-likert","34","246471","0.0-3.0-0.31","69309f7da595fb656eebdeb1","","[0]","","3","1","How much does the sentence make sense?","532","They keep inviting us back every single year.","4.25-5.25","","7","null"
