"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"70304","{""Q0"":""679143553bf737e54b3c9bf4""}","survey-text","0","70345","0.0-0.0","679143553bf737e54b3c9bf4","","","","","","","","","","","",""
"10957","0","html-button-response","1","81305","0.0-1.0","679143553bf737e54b3c9bf4","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"26478","0","html-button-response","2","107785","0.0-2.0","679143553bf737e54b3c9bf4","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"21632","{""Q0"":1}","survey-likert","3","129421","0.0-3.0-0.0","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","49","All you had to do was walk away.","<2.25","","2","null"
"23685","{""Q0"":1}","survey-likert","4","153111","0.0-3.0-0.1","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","153","Only one of them could have done that.","<2.25","","2","null"
"4914","{""Q0"":1}","survey-likert","5","158029","0.0-3.0-0.2","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","326","He was holding his backpack over his head.","3.25-4.25","","2","null"
"5181","{""Q0"":1}","survey-likert","6","163213","0.0-3.0-0.3","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","2","null"
"3941","{""Q0"":1}","survey-likert","7","167157","0.0-3.0-0.4","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","59","I really haven't made up my mind yet.","<2.25","","2","null"
"3614","{""Q0"":1}","survey-likert","8","170774","0.0-3.0-0.5","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","512","The other two float out into the vacuum.","4.25-5.25","","2","null"
"3596","{""Q0"":1}","survey-likert","9","174374","0.0-3.0-0.6","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","420","He put half a dozen in his pouch.","3.25-4.25","","2","null"
"3716","{""Q0"":1}","survey-likert","10","178094","0.0-3.0-0.7","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","68","He picked it up and looked at it.","<2.25","","2","null"
"4894","{""Q0"":1}","survey-likert","11","182990","0.0-3.0-0.8","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","733","They must purchase the electric power at wholesale.",">5.25","","2","null"
"4190","{""Q0"":1}","survey-likert","12","187182","0.0-3.0-0.9","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","403","They were putting on a mask of calm.","3.25-4.25","","2","null"
"4277","{""Q0"":1}","survey-likert","13","191462","0.0-3.0-0.10","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","625","With luck, maybe it will work without trouble.","4.25-5.25","","2","null"
"3629","{""Q0"":1}","survey-likert","14","195094","0.0-3.0-0.11","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","185","Suddenly there was an image in my mind.","2.25-3.25","","2","null"
"4445","{""Q0"":1}","survey-likert","15","199542","0.0-3.0-0.12","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","139","There's a lot of things I can't change.","<2.25","","2","null"
"4069","{""Q0"":1}","survey-likert","16","203614","0.0-3.0-0.13","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","496","She shopped for only one thing: a bargain.","4.25-5.25","","2","null"
"4277","{""Q0"":1}","survey-likert","17","207894","0.0-3.0-0.14","679143553bf737e54b3c9bf4","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","148","Let me know what you think of that.","<2.25","","2","null"
