"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11386","{""Q0"":""66967b12b71634533c3138ea""}","survey-text","0","11413","0.0-0.0","66967b12b71634533c3138ea","","","","","","","","","","","",""
"6264","0","html-button-response","1","17693","0.0-1.0","66967b12b71634533c3138ea","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"11920","0","html-button-response","2","29623","0.0-2.0","66967b12b71634533c3138ea","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"2115","{""Q0"":4}","survey-likert","3","31759","0.0-3.0-0.0","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","91","This is the worst moment of my life.","<2.25","","5","null"
"1626","{""Q0"":5}","survey-likert","4","33405","0.0-3.0-0.1","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","5","Is there anything I can do for you?","<2.25","","6","null"
"1312","{""Q0"":3}","survey-likert","5","34736","0.0-3.0-0.2","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","285","And now there are trees all around us.","2.25-3.25","","4","null"
"1582","{""Q0"":5}","survey-likert","6","36335","0.0-3.0-0.3","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","6","null"
"1465","{""Q0"":4}","survey-likert","7","37816","0.0-3.0-0.4","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","67","Oh, I wish I could remember the name.","<2.25","","5","null"
"1647","{""Q0"":4}","survey-likert","8","39479","0.0-3.0-0.5","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","336","He looked at me with a wacky gaze.","3.25-4.25","","5","null"
"1564","{""Q0"":5}","survey-likert","9","41056","0.0-3.0-0.6","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","138","There is no use in talking about it.","<2.25","","6","null"
"1793","{""Q0"":3}","survey-likert","10","42861","0.0-3.0-0.7","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","502","We were surrounded by people from various origins.","4.25-5.25","","4","null"
"1681","{""Q0"":4}","survey-likert","11","44559","0.0-3.0-0.8","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","699","It also had real but limited economic advances.",">5.25","","5","null"
"1848","{""Q0"":3}","survey-likert","12","46424","0.0-3.0-0.9","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","92","Maybe you should take another look at it.","<2.25","","4","null"
"1761","{""Q0"":4}","survey-likert","13","48201","0.0-3.0-0.10","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","168","I'm just trying to find the right words.","2.25-3.25","","5","null"
"1884","{""Q0"":5}","survey-likert","14","50101","0.0-3.0-0.11","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","94","This is not where I want to be.","<2.25","","6","null"
"1996","{""Q0"":4}","survey-likert","15","52113","0.0-3.0-0.12","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","359","So tonight I decided to have a barbecue.","3.25-4.25","","5","null"
"1952","{""Q0"":3}","survey-likert","16","54077","0.0-3.0-0.13","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","771","Reactions worked totally off of his trained instincts.",">5.25","","4","null"
"2784","{""Q0"":4}","survey-likert","17","56875","0.0-3.0-0.14","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","115","What am I going to say to them?","<2.25","","5","null"
"2451","{""Q0"":3}","survey-likert","18","59340","0.0-3.0-0.15","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","99","I was trying to do the right thing.","<2.25","","4","null"
"8411","{""Q0"":3}","survey-likert","19","67767","0.0-3.0-0.16","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","304","We must move before the sun comes up.","2.25-3.25","","4","null"
"1796","{""Q0"":4}","survey-likert","20","69580","0.0-3.0-0.17","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","5","null"
"1550","{""Q0"":3}","survey-likert","21","71147","0.0-3.0-0.18","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","701","I was elected captain and James became jealous.",">5.25","","4","null"
"1876","{""Q0"":4}","survey-likert","22","73039","0.0-3.0-0.19","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","177","Frankly, I can't spare the time right now.","2.25-3.25","","5","null"
"3285","{""Q0"":0}","survey-likert","23","76340","0.0-3.0-0.20","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"2014","{""Q0"":3}","survey-likert","24","78368","0.0-3.0-0.21","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","764","Your writ runs in the hours of darkness.",">5.25","","4","null"
"2233","{""Q0"":4}","survey-likert","25","80616","0.0-3.0-0.22","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","455","However, I am without argument to explain it.","3.25-4.25","","5","null"
"2049","{""Q0"":3}","survey-likert","26","82679","0.0-3.0-0.23","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","288","Isn't she coming home for tea after all?","2.25-3.25","","4","null"
"2801","{""Q0"":4}","survey-likert","27","85496","0.0-3.0-0.24","66967b12b71634533c3138ea","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","76","I can't get it out of my head.","<2.25","","5","null"
