"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11721","{""Q0"":""69825ba5f82e6ac78f401931""}","survey-text","0","11745","0.0-0.0","69825ba5f82e6ac78f401931","","","","","","","","","","","",""
"17554","0","html-button-response","1","29305","0.0-1.0","69825ba5f82e6ac78f401931","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"45280","0","html-button-response","2","74589","0.0-2.0","69825ba5f82e6ac78f401931","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"22177","{""Q0"":6}","survey-likert","3","96774","0.0-3.0-0.0","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","108","What do you do to make ends meet?","<2.25","","7","null"
"17739","{""Q0"":5}","survey-likert","4","114518","0.0-3.0-0.1","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","6","null"
"23066","{""Q0"":5}","survey-likert","5","137590","0.0-3.0-0.2","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","774","The sheep turn round and charge the shepherd?",">5.25","","6","null"
"13569","{""Q0"":1}","survey-likert","6","151164","0.0-3.0-0.3","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","783","There was more chatter and tapping of watches.",">5.25","","2","null"
"6072","{""Q0"":6}","survey-likert","7","157240","0.0-3.0-0.4","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"14989","{""Q0"":6}","survey-likert","8","172234","0.0-3.0-0.5","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","7","null"
"13400","{""Q0"":5}","survey-likert","9","185639","0.0-3.0-0.6","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","6","null"
"6121","{""Q0"":6}","survey-likert","10","191766","0.0-3.0-0.7","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","541","Music and laughter came from inside the shop.","4.25-5.25","","7","null"
"15098","{""Q0"":5}","survey-likert","11","206869","0.0-3.0-0.8","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","324","She turned her attention back to the furnishings.","3.25-4.25","","6","null"
"7661","{""Q0"":6}","survey-likert","12","214534","0.0-3.0-0.9","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","7","null"
"6230","{""Q0"":6}","survey-likert","13","220769","0.0-3.0-0.10","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","27","Sir, would you like to leave a message?","<2.25","","7","null"
"7928","{""Q0"":1}","survey-likert","14","228703","0.0-3.0-0.11","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","2","null"
"7079","{""Q0"":6}","survey-likert","15","235787","0.0-3.0-0.12","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","778","That was very interesting research George was doing!",">5.25","","7","null"
"12491","{""Q0"":4}","survey-likert","16","248282","0.0-3.0-0.13","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","619","The next morning found him eager to begin.","4.25-5.25","","5","null"
"15365","{""Q0"":4}","survey-likert","17","263652","0.0-3.0-0.14","69825ba5f82e6ac78f401931","","[0]","","1","1","How much does the sentence make sense?","708","The guy most likely looked at life simply.",">5.25","","5","null"
