"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7111","{""Q0"":""673bf98fb59b6d9e50a9080c""}","survey-text","0","7146","0.0-0.0","673bf98fb59b6d9e50a9080c","","","","","","","","","","","",""
"6106","0","html-button-response","1","13263","0.0-1.0","673bf98fb59b6d9e50a9080c","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"375713","0","html-button-response","2","388978","0.0-2.0","673bf98fb59b6d9e50a9080c","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"205735","{""Q0"":0}","survey-likert","3","594724","0.0-3.0-0.0","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","49","All you had to do was walk away.","<2.25","","1","null"
"96816","{""Q0"":0}","survey-likert","4","691548","0.0-3.0-0.1","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","153","Only one of them could have done that.","<2.25","","1","null"
"6650","{""Q0"":0}","survey-likert","5","698200","0.0-3.0-0.2","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","326","He was holding his backpack over his head.","3.25-4.25","","1","null"
"4131","{""Q0"":0}","survey-likert","6","702336","0.0-3.0-0.3","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","1","null"
"3699","{""Q0"":0}","survey-likert","7","706037","0.0-3.0-0.4","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","59","I really haven't made up my mind yet.","<2.25","","1","null"
"4861","{""Q0"":0}","survey-likert","8","710902","0.0-3.0-0.5","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","512","The other two float out into the vacuum.","4.25-5.25","","1","null"
"8716","{""Q0"":6}","survey-likert","9","719622","0.0-3.0-0.6","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","420","He put half a dozen in his pouch.","3.25-4.25","","7","null"
"9030","{""Q0"":5}","survey-likert","10","728658","0.0-3.0-0.7","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","68","He picked it up and looked at it.","<2.25","","6","null"
"16066","{""Q0"":0}","survey-likert","11","744725","0.0-3.0-0.8","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","733","They must purchase the electric power at wholesale.",">5.25","","1","null"
"12086","{""Q0"":2}","survey-likert","12","756813","0.0-3.0-0.9","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","403","They were putting on a mask of calm.","3.25-4.25","","3","null"
"5632","{""Q0"":0}","survey-likert","13","762447","0.0-3.0-0.10","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","625","With luck, maybe it will work without trouble.","4.25-5.25","","1","null"
"7652","{""Q0"":4}","survey-likert","14","770101","0.0-3.0-0.11","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","185","Suddenly there was an image in my mind.","2.25-3.25","","5","null"
"3388","{""Q0"":0}","survey-likert","15","773491","0.0-3.0-0.12","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","139","There's a lot of things I can't change.","<2.25","","1","null"
"6558","{""Q0"":1}","survey-likert","16","780052","0.0-3.0-0.13","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","496","She shopped for only one thing: a bargain.","4.25-5.25","","2","null"
"2736","{""Q0"":0}","survey-likert","17","782792","0.0-3.0-0.14","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","148","Let me know what you think of that.","<2.25","","1","null"
"4086","{""Q0"":0}","survey-likert","18","786882","0.0-3.0-0.15","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","492","There's already a half million in this portfolio.","4.25-5.25","","1","null"
"3017","{""Q0"":0}","survey-likert","19","789903","0.0-3.0-0.16","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","103","Mister, I don't want to know your name.","<2.25","","1","null"
"5964","{""Q0"":1}","survey-likert","20","795871","0.0-3.0-0.17","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","319","Then you should go back to your table.","2.25-3.25","","2","null"
"4034","{""Q0"":1}","survey-likert","21","799906","0.0-3.0-0.18","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","508","The elves nodded and headed for the house.","4.25-5.25","","2","null"
"37909","{""Q0"":0}","survey-likert","22","837817","0.0-3.0-0.19","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","549","It is the second planet from their sun.","4.25-5.25","","1","null"
"3895","{""Q0"":1}","survey-likert","23","841713","0.0-3.0-0.20","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"5199","{""Q0"":0}","survey-likert","24","846914","0.0-3.0-0.21","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","729","Making what we all believe look like dirt",">5.25","","1","null"
"3057","{""Q0"":1}","survey-likert","25","849974","0.0-3.0-0.22","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","72","We have a lot of work to do.","<2.25","","2","null"
"4990","{""Q0"":2}","survey-likert","26","854967","0.0-3.0-0.23","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","265","And are you happy with your new book?","2.25-3.25","","3","null"
"6914","{""Q0"":0}","survey-likert","27","861884","0.0-3.0-0.24","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","724","Every second wasted in negotiation made her nervous.",">5.25","","1","null"
"4548","{""Q0"":0}","survey-likert","28","866434","0.0-3.0-0.25","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","101","How am I supposed to tell the difference?","<2.25","","1","null"
"7808","{""Q0"":1}","survey-likert","29","874246","0.0-3.0-0.26","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","580","Where would a wise man hide a leaf?","4.25-5.25","","2","null"
"7803","{""Q0"":0}","survey-likert","30","882054","0.0-3.0-0.27","673bf98fb59b6d9e50a9080c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","79","I didn't even know you were in town.","<2.25","","1","null"
