"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"35782","{""Q0"":""69cc639567411bf04878ca20""}","survey-text","0","35793","0.0-0.0","69cc639567411bf04878ca20","","","","","","","","","","","",""
"7287","0","html-button-response","1","43082","0.0-1.0","69cc639567411bf04878ca20","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"4357","0","html-button-response","2","47440","0.0-2.0","69cc639567411bf04878ca20","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"39623","{""Q0"":5}","survey-likert","3","87065","0.0-3.0-0.0","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","6","null"
"42914","{""Q0"":5}","survey-likert","4","129981","0.0-3.0-0.1","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","696","Relief swept through her when she found one.",">5.25","","6","null"
"8913","{""Q0"":4}","survey-likert","5","138897","0.0-3.0-0.2","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","404","There is a little white at the base.","3.25-4.25","","5","null"
"37170","{""Q0"":5}","survey-likert","6","176068","0.0-3.0-0.3","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","398","What did you put for your best feature?","3.25-4.25","","6","null"
"10202","{""Q0"":5}","survey-likert","7","186272","0.0-3.0-0.4","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","81","I want you to have a good time.","<2.25","","6","null"
"10257","{""Q0"":5}","survey-likert","8","196530","0.0-3.0-0.5","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","42","It's the logical thing to do, isn't it?","<2.25","","6","null"
"6496","{""Q0"":4}","survey-likert","9","203027","0.0-3.0-0.6","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","145","Truth is, I don't know what to say.","<2.25","","5","null"
"8385","{""Q0"":4}","survey-likert","10","211414","0.0-3.0-0.7","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","55","You were right, you were right all along.","<2.25","","5","null"
"13058","{""Q0"":3}","survey-likert","11","224474","0.0-3.0-0.8","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","4","null"
"15304","{""Q0"":6}","survey-likert","12","239779","0.0-3.0-0.9","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","159","That's exactly what I want you to do.","<2.25","","7","null"
"13416","{""Q0"":5}","survey-likert","13","253197","0.0-3.0-0.10","69cc639567411bf04878ca20","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","471","It seems the rumors were not far off.","3.25-4.25","","6","null"
