"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"40723","{""Q0"":""69f50164ad061b02f7c8b131""}","survey-text","0","40731","0.0-0.0","69f50164ad061b02f7c8b131","","","","","","","","","","","",""
"18476","0","html-button-response","1","59211","0.0-1.0","69f50164ad061b02f7c8b131","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"51422","0","html-button-response","2","110635","0.0-2.0","69f50164ad061b02f7c8b131","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11449","{""Q0"":6}","survey-likert","3","122091","0.0-3.0-0.0","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","108","What do you do to make ends meet?","<2.25","","7","null"
"8593","{""Q0"":1}","survey-likert","4","130689","0.0-3.0-0.1","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","2","null"
"8752","{""Q0"":1}","survey-likert","5","139446","0.0-3.0-0.2","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","774","The sheep turn round and charge the shepherd?",">5.25","","2","null"
"7544","{""Q0"":1}","survey-likert","6","146996","0.0-3.0-0.3","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","783","There was more chatter and tapping of watches.",">5.25","","2","null"
"4582","{""Q0"":1}","survey-likert","7","151582","0.0-3.0-0.4","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","166","I'd love to hear about what you're doing.","2.25-3.25","","2","null"
"5631","{""Q0"":1}","survey-likert","8","157216","0.0-3.0-0.5","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","2","null"
"12373","{""Q0"":3}","survey-likert","9","169594","0.0-3.0-0.6","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","4","null"
"3627","{""Q0"":2}","survey-likert","10","173226","0.0-3.0-0.7","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","541","Music and laughter came from inside the shop.","4.25-5.25","","3","null"
"6599","{""Q0"":2}","survey-likert","11","179829","0.0-3.0-0.8","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","324","She turned her attention back to the furnishings.","3.25-4.25","","3","null"
"7302","{""Q0"":2}","survey-likert","12","187135","0.0-3.0-0.9","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","3","null"
"5449","{""Q0"":4}","survey-likert","13","192588","0.0-3.0-0.10","69f50164ad061b02f7c8b131","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","27","Sir, would you like to leave a message?","<2.25","","5","null"
