"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"16236","{""Q0"":""6a1dbcc832ee874c3f2a76c6""}","survey-text","0","16265","0.0-0.0","6a1dbcc832ee874c3f2a76c6","","","","","","","","","","","",""
"11461","0","html-button-response","1","27733","0.0-1.0","6a1dbcc832ee874c3f2a76c6","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"20028","0","html-button-response","2","47765","0.0-2.0","6a1dbcc832ee874c3f2a76c6","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8601","{""Q0"":6}","survey-likert","3","56373","0.0-3.0-0.0","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","108","What do you do to make ends meet?","<2.25","","7","null"
"5406","{""Q0"":6}","survey-likert","4","61785","0.0-3.0-0.1","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","7","null"
"10756","{""Q0"":5}","survey-likert","5","72544","0.0-3.0-0.2","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","774","The sheep turn round and charge the shepherd?",">5.25","","6","null"
"3964","{""Q0"":5}","survey-likert","6","76512","0.0-3.0-0.3","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","783","There was more chatter and tapping of watches.",">5.25","","6","null"
"2936","{""Q0"":6}","survey-likert","7","79453","0.0-3.0-0.4","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"6021","{""Q0"":6}","survey-likert","8","85478","0.0-3.0-0.5","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","7","null"
"3462","{""Q0"":6}","survey-likert","9","88945","0.0-3.0-0.6","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","7","null"
"3683","{""Q0"":6}","survey-likert","10","92632","0.0-3.0-0.7","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","541","Music and laughter came from inside the shop.","4.25-5.25","","7","null"
"2851","{""Q0"":6}","survey-likert","11","95487","0.0-3.0-0.8","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","324","She turned her attention back to the furnishings.","3.25-4.25","","7","null"
"3923","{""Q0"":4}","survey-likert","12","99414","0.0-3.0-0.9","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","5","null"
"2506","{""Q0"":6}","survey-likert","13","101923","0.0-3.0-0.10","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","27","Sir, would you like to leave a message?","<2.25","","7","null"
"9023","{""Q0"":5}","survey-likert","14","110950","0.0-3.0-0.11","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","6","null"
"5491","{""Q0"":5}","survey-likert","15","116445","0.0-3.0-0.12","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","778","That was very interesting research George was doing!",">5.25","","6","null"
"5577","{""Q0"":4}","survey-likert","16","122026","0.0-3.0-0.13","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","619","The next morning found him eager to begin.","4.25-5.25","","5","null"
"7179","{""Q0"":4}","survey-likert","17","129209","0.0-3.0-0.14","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","708","The guy most likely looked at life simply.",">5.25","","5","null"
"3199","{""Q0"":4}","survey-likert","18","132411","0.0-3.0-0.15","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","438","Footsteps moved toward them up the side street.","3.25-4.25","","5","null"
"2816","{""Q0"":6}","survey-likert","19","135230","0.0-3.0-0.16","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","381","The flow of data is returning to normal.","3.25-4.25","","7","null"
"3790","{""Q0"":6}","survey-likert","20","139024","0.0-3.0-0.17","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","333","He looked at the poster on the wall.","3.25-4.25","","7","null"
"4014","{""Q0"":6}","survey-likert","21","143041","0.0-3.0-0.18","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","688","I watched him head to the other barn.",">5.25","","7","null"
"2723","{""Q0"":6}","survey-likert","22","145768","0.0-3.0-0.19","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","43","Call me when you get close, all right?","<2.25","","7","null"
"3151","{""Q0"":4}","survey-likert","23","148923","0.0-3.0-0.20","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"2814","{""Q0"":6}","survey-likert","24","151741","0.0-3.0-0.21","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","204","If I get any information, I'll call you.","2.25-3.25","","7","null"
"4449","{""Q0"":6}","survey-likert","25","156194","0.0-3.0-0.22","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","679","Other passengers reviewed shopping lists and read books.",">5.25","","7","null"
"3875","{""Q0"":6}","survey-likert","26","160073","0.0-3.0-0.23","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","134","No, that's not the way I see it.","<2.25","","7","null"
"4767","{""Q0"":6}","survey-likert","27","164843","0.0-3.0-0.24","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","409","It would be like believing in the postman.","3.25-4.25","","7","null"
"3899","{""Q0"":6}","survey-likert","28","168746","0.0-3.0-0.25","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","734","I laughed too, loving his delightful British accent.",">5.25","","7","null"
"5311","{""Q0"":6}","survey-likert","29","174060","0.0-3.0-0.26","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","178","It was the way it had always been.","2.25-3.25","","7","null"
"2299","{""Q0"":6}","survey-likert","30","176363","0.0-3.0-0.27","6a1dbcc832ee874c3f2a76c6","","[0]","","1","1","How much does the sentence make sense?","299","When are we getting out of here, exactly?","2.25-3.25","","7","null"
