"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11370","{""Q0"":""69828f1debe40aa8483a6daf""}","survey-text","0","11379","0.0-0.0","69828f1debe40aa8483a6daf","","","","","","","","","","","",""
"6117","0","html-button-response","1","17498","0.0-1.0","69828f1debe40aa8483a6daf","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"17277","0","html-button-response","2","34777","0.0-2.0","69828f1debe40aa8483a6daf","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5894","{""Q0"":6}","survey-likert","3","40673","0.0-3.0-0.0","69828f1debe40aa8483a6daf","","[0]","","1","1","How much does the sentence make sense?","108","What do you do to make ends meet?","<2.25","","7","null"
"7574","{""Q0"":6}","survey-likert","4","48249","0.0-3.0-0.1","69828f1debe40aa8483a6daf","","[0]","","1","1","How much does the sentence make sense?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","7","null"
"4062","{""Q0"":3}","survey-likert","5","52314","0.0-3.0-0.2","69828f1debe40aa8483a6daf","","[0]","","1","1","How much does the sentence make sense?","774","The sheep turn round and charge the shepherd?",">5.25","","4","null"
"4261","{""Q0"":2}","survey-likert","6","56577","0.0-3.0-0.3","69828f1debe40aa8483a6daf","","[0]","","1","1","How much does the sentence make sense?","783","There was more chatter and tapping of watches.",">5.25","","3","null"
"2574","{""Q0"":6}","survey-likert","7","59153","0.0-3.0-0.4","69828f1debe40aa8483a6daf","","[0]","","1","1","How much does the sentence make sense?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"5317","{""Q0"":6}","survey-likert","8","64473","0.0-3.0-0.5","69828f1debe40aa8483a6daf","","[0]","","1","1","How much does the sentence make sense?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","7","null"
"4942","{""Q0"":5}","survey-likert","9","69417","0.0-3.0-0.6","69828f1debe40aa8483a6daf","","[0]","","1","1","How much does the sentence make sense?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","6","null"
"5717","{""Q0"":6}","survey-likert","10","75136","0.0-3.0-0.7","69828f1debe40aa8483a6daf","","[0]","","1","1","How much does the sentence make sense?","541","Music and laughter came from inside the shop.","4.25-5.25","","7","null"
