"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"16128","{""Q0"":""69fe1a5b77f606cf1921a4a3""}","survey-text","0","16134","0.0-0.0","69fe1a5b77f606cf1921a4a3","","","","","","","","","","","",""
"2329","0","html-button-response","1","18470","0.0-1.0","69fe1a5b77f606cf1921a4a3","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"53374","0","html-button-response","2","71848","0.0-2.0","69fe1a5b77f606cf1921a4a3","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"16645","{""Q0"":4}","survey-likert","3","88500","0.0-3.0-0.0","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","656","Now it runs without any rake sharing arrangement.",">5.25","","5","null"
"10710","{""Q0"":1}","survey-likert","4","99216","0.0-3.0-0.1","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","702","I began to ride a first rate hunch.",">5.25","","2","null"
"10538","{""Q0"":5}","survey-likert","5","109760","0.0-3.0-0.2","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","251","Not that I didn't like the cat, too.","2.25-3.25","","6","null"
"7749","{""Q0"":6}","survey-likert","6","117514","0.0-3.0-0.3","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","235","I'm in the middle of something important here.","2.25-3.25","","7","null"
"6882","{""Q0"":5}","survey-likert","7","124400","0.0-3.0-0.4","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","384","The launch was delayed by a few months.","3.25-4.25","","6","null"
"4452","{""Q0"":1}","survey-likert","8","128859","0.0-3.0-0.5","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","330","He got up and headed toward the kitchen.","3.25-4.25","","2","null"
"6316","{""Q0"":5}","survey-likert","9","135180","0.0-3.0-0.6","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","39","Promise me you won't put yourself in danger.","<2.25","","6","null"
"4516","{""Q0"":3}","survey-likert","10","139701","0.0-3.0-0.7","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","4","null"
"4750","{""Q0"":3}","survey-likert","11","144455","0.0-3.0-0.8","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","4","null"
"8030","{""Q0"":2}","survey-likert","12","152491","0.0-3.0-0.9","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","314","A knock at the front door interrupted me.","2.25-3.25","","3","null"
"5679","{""Q0"":5}","survey-likert","13","158175","0.0-3.0-0.10","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","705","He gestures between us, like now we're connected.",">5.25","","6","null"
"6708","{""Q0"":0}","survey-likert","14","164888","0.0-3.0-0.11","69fe1a5b77f606cf1921a4a3","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","287","Right now it's just wonderful to be back.","2.25-3.25","","1","null"
