"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6904","{""Q0"":""5d5d44acd2aa33001b70a228""}","survey-text","0","6918","0.0-0.0","5d5d44acd2aa33001b70a228","","","","","","","","","","","",""
"5509","0","html-button-response","1","12431","0.0-1.0","5d5d44acd2aa33001b70a228","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"5214","0","html-button-response","2","17648","0.0-2.0","5d5d44acd2aa33001b70a228","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7873","{""Q0"":0}","survey-likert","3","25524","0.0-3.0-0.0","5d5d44acd2aa33001b70a228","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","49","All you had to do was walk away.","<2.25","","1","null"
"9057","{""Q0"":2}","survey-likert","4","34584","0.0-3.0-0.1","5d5d44acd2aa33001b70a228","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","153","Only one of them could have done that.","<2.25","","3","null"
"3304","{""Q0"":2}","survey-likert","5","37892","0.0-3.0-0.2","5d5d44acd2aa33001b70a228","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","326","He was holding his backpack over his head.","3.25-4.25","","3","null"
"4564","{""Q0"":3}","survey-likert","6","42463","0.0-3.0-0.3","5d5d44acd2aa33001b70a228","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","4","null"
"2651","{""Q0"":3}","survey-likert","7","45118","0.0-3.0-0.4","5d5d44acd2aa33001b70a228","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","59","I really haven't made up my mind yet.","<2.25","","4","null"
"4744","{""Q0"":2}","survey-likert","8","49867","0.0-3.0-0.5","5d5d44acd2aa33001b70a228","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","512","The other two float out into the vacuum.","4.25-5.25","","3","null"
"3839","{""Q0"":2}","survey-likert","9","53712","0.0-3.0-0.6","5d5d44acd2aa33001b70a228","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","420","He put half a dozen in his pouch.","3.25-4.25","","3","null"
