"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4700","{""Q0"":""69df69779e0c6fbc9585a32d""}","survey-text","0","4729","0.0-0.0","69df69779e0c6fbc9585a32d","","","","","","","","","","","",""
"2172","0","html-button-response","1","6903","0.0-1.0","69df69779e0c6fbc9585a32d","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"27936","0","html-button-response","2","34841","0.0-2.0","69df69779e0c6fbc9585a32d","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"32027","{""Q0"":3}","survey-likert","3","66871","0.0-3.0-0.0","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","4","null"
"19030","{""Q0"":4}","survey-likert","4","85903","0.0-3.0-0.1","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","696","Relief swept through her when she found one.",">5.25","","5","null"
"12710","{""Q0"":4}","survey-likert","5","98614","0.0-3.0-0.2","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","404","There is a little white at the base.","3.25-4.25","","5","null"
"9399","{""Q0"":3}","survey-likert","6","108016","0.0-3.0-0.3","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","398","What did you put for your best feature?","3.25-4.25","","4","null"
"13051","{""Q0"":6}","survey-likert","7","121068","0.0-3.0-0.4","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","81","I want you to have a good time.","<2.25","","7","null"
"7864","{""Q0"":3}","survey-likert","8","128934","0.0-3.0-0.5","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","42","It's the logical thing to do, isn't it?","<2.25","","4","null"
"7018","{""Q0"":4}","survey-likert","9","135953","0.0-3.0-0.6","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","145","Truth is, I don't know what to say.","<2.25","","5","null"
"6944","{""Q0"":6}","survey-likert","10","142898","0.0-3.0-0.7","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","55","You were right, you were right all along.","<2.25","","7","null"
"6362","{""Q0"":3}","survey-likert","11","149261","0.0-3.0-0.8","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","4","null"
"6586","{""Q0"":4}","survey-likert","12","155848","0.0-3.0-0.9","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","159","That's exactly what I want you to do.","<2.25","","5","null"
"8714","{""Q0"":4}","survey-likert","13","164563","0.0-3.0-0.10","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","471","It seems the rumors were not far off.","3.25-4.25","","5","null"
"9538","{""Q0"":3}","survey-likert","14","174103","0.0-3.0-0.11","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","668","Elizabeth was sorting jars and tins of food.",">5.25","","4","null"
"8310","{""Q0"":2}","survey-likert","15","182414","0.0-3.0-0.12","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","286","Did you see an animal of any kind?","2.25-3.25","","3","null"
"4891","{""Q0"":3}","survey-likert","16","187307","0.0-3.0-0.13","69df69779e0c6fbc9585a32d","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","258","I wonder how long I have been away.","2.25-3.25","","4","null"
