"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"17589","{""Q0"":""668be7aeec30f3aae126f42a""}","survey-text","0","17615","0.0-0.0","668be7aeec30f3aae126f42a","","","","","","","","","","","",""
"2844","0","html-button-response","1","20462","0.0-1.0","668be7aeec30f3aae126f42a","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"43800","0","html-button-response","2","64270","0.0-2.0","668be7aeec30f3aae126f42a","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8514","{""Q0"":1}","survey-likert","3","72795","0.0-3.0-0.0","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","91","This is the worst moment of my life.","<2.25","","2","null"
"3879","{""Q0"":0}","survey-likert","4","76676","0.0-3.0-0.1","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","5","Is there anything I can do for you?","<2.25","","1","null"
"4429","{""Q0"":5}","survey-likert","5","81107","0.0-3.0-0.2","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","285","And now there are trees all around us.","2.25-3.25","","6","null"
"20303","{""Q0"":4}","survey-likert","6","101412","0.0-3.0-0.3","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","5","null"
"11011","{""Q0"":0}","survey-likert","7","112425","0.0-3.0-0.4","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","67","Oh, I wish I could remember the name.","<2.25","","1","null"
"8208","{""Q0"":0}","survey-likert","8","120635","0.0-3.0-0.5","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","336","He looked at me with a wacky gaze.","3.25-4.25","","1","null"
"5873","{""Q0"":0}","survey-likert","9","126509","0.0-3.0-0.6","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","138","There is no use in talking about it.","<2.25","","1","null"
"3834","{""Q0"":6}","survey-likert","10","130345","0.0-3.0-0.7","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","502","We were surrounded by people from various origins.","4.25-5.25","","7","null"
"9202","{""Q0"":4}","survey-likert","11","139550","0.0-3.0-0.8","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","699","It also had real but limited economic advances.",">5.25","","5","null"
"5006","{""Q0"":0}","survey-likert","12","144557","0.0-3.0-0.9","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","92","Maybe you should take another look at it.","<2.25","","1","null"
"3180","{""Q0"":0}","survey-likert","13","147739","0.0-3.0-0.10","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","168","I'm just trying to find the right words.","2.25-3.25","","1","null"
"5225","{""Q0"":0}","survey-likert","14","152967","0.0-3.0-0.11","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","94","This is not where I want to be.","<2.25","","1","null"
"14303","{""Q0"":0}","survey-likert","15","167271","0.0-3.0-0.12","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","359","So tonight I decided to have a barbecue.","3.25-4.25","","1","null"
"3814","{""Q0"":0}","survey-likert","16","171088","0.0-3.0-0.13","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","771","Reactions worked totally off of his trained instincts.",">5.25","","1","null"
"4622","{""Q0"":0}","survey-likert","17","175712","0.0-3.0-0.14","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","115","What am I going to say to them?","<2.25","","1","null"
"3398","{""Q0"":0}","survey-likert","18","179112","0.0-3.0-0.15","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","99","I was trying to do the right thing.","<2.25","","1","null"
"6143","{""Q0"":5}","survey-likert","19","185257","0.0-3.0-0.16","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","304","We must move before the sun comes up.","2.25-3.25","","6","null"
"5901","{""Q0"":2}","survey-likert","20","191161","0.0-3.0-0.17","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","3","null"
"3410","{""Q0"":0}","survey-likert","21","194572","0.0-3.0-0.18","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","701","I was elected captain and James became jealous.",">5.25","","1","null"
"2706","{""Q0"":0}","survey-likert","22","197281","0.0-3.0-0.19","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","177","Frankly, I can't spare the time right now.","2.25-3.25","","1","null"
"3002","{""Q0"":5}","survey-likert","23","200285","0.0-3.0-0.20","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"15795","{""Q0"":4}","survey-likert","24","216082","0.0-3.0-0.21","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","764","Your writ runs in the hours of darkness.",">5.25","","5","null"
"2358","{""Q0"":0}","survey-likert","25","218441","0.0-3.0-0.22","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","455","However, I am without argument to explain it.","3.25-4.25","","1","null"
"3767","{""Q0"":0}","survey-likert","26","222210","0.0-3.0-0.23","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","288","Isn't she coming home for tea after all?","2.25-3.25","","1","null"
"2326","{""Q0"":0}","survey-likert","27","224538","0.0-3.0-0.24","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","76","I can't get it out of my head.","<2.25","","1","null"
"2719","{""Q0"":0}","survey-likert","28","227258","0.0-3.0-0.25","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","179","In the meantime, I had much to do.","2.25-3.25","","1","null"
"3254","{""Q0"":0}","survey-likert","29","230514","0.0-3.0-0.26","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","254","He had not expected them to believe him.","2.25-3.25","","1","null"
"2730","{""Q0"":0}","survey-likert","30","233246","0.0-3.0-0.27","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","345","It was a very heavy silence that followed.","3.25-4.25","","1","null"
"8495","{""Q0"":0}","survey-likert","31","241743","0.0-3.0-0.28","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","1","null"
"2400","{""Q0"":0}","survey-likert","32","244145","0.0-3.0-0.29","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","305","I went out to get him some food.","2.25-3.25","","1","null"
"2752","{""Q0"":0}","survey-likert","33","246899","0.0-3.0-0.30","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","518","Go figure, no one wears hats these days.","4.25-5.25","","1","null"
"3825","{""Q0"":0}","survey-likert","34","250725","0.0-3.0-0.31","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","532","They keep inviting us back every single year.","4.25-5.25","","1","null"
"7772","{""Q0"":0}","survey-likert","35","258499","0.0-3.0-0.32","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","466","He pulled up with all of his strength.","3.25-4.25","","1","null"
"4407","{""Q0"":0}","survey-likert","36","262908","0.0-3.0-0.33","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","234","Why do you think you're in this pickle?","2.25-3.25","","1","null"
"3661","{""Q0"":0}","survey-likert","37","266570","0.0-3.0-0.34","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","169","Well, of course, I'm sure you're a gentleman.","2.25-3.25","","1","null"
"2558","{""Q0"":0}","survey-likert","38","269130","0.0-3.0-0.35","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","69","Looks like someone wants to be a hero.","<2.25","","1","null"
"10216","{""Q0"":0}","survey-likert","39","279348","0.0-3.0-0.36","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","104","Everything you need to know is right there.","<2.25","","1","null"
"3591","{""Q0"":0}","survey-likert","40","282941","0.0-3.0-0.37","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","375","She can also be a bear at times.","3.25-4.25","","1","null"
"3056","{""Q0"":0}","survey-likert","41","285999","0.0-3.0-0.38","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","57","But I don't know exactly where she is.","<2.25","","1","null"
"3468","{""Q0"":0}","survey-likert","42","289469","0.0-3.0-0.39","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","600","It was not the most comfortable of transport.","4.25-5.25","","1","null"
"3511","{""Q0"":0}","survey-likert","43","292981","0.0-3.0-0.40","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","402","He might get fed up of his habits.","3.25-4.25","","1","null"
"3240","{""Q0"":6}","survey-likert","44","296223","0.0-3.0-0.41","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_40","This is an attention check. Please click 7.","attention_check","7","7","true"
"3922","{""Q0"":0}","survey-likert","45","300147","0.0-3.0-0.42","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","226","Her voice was too soft to be heard.","2.25-3.25","","1","null"
"2566","{""Q0"":0}","survey-likert","46","302715","0.0-3.0-0.43","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","588","But what did I know of such technology?","4.25-5.25","","1","null"
"2838","{""Q0"":0}","survey-likert","47","305556","0.0-3.0-0.44","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","390","No is a very powerful word, my friend.","3.25-4.25","","1","null"
"4377","{""Q0"":1}","survey-likert","48","309934","0.0-3.0-0.45","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","499","There was a room beyond a dividing wall.","4.25-5.25","","2","null"
"3110","{""Q0"":0}","survey-likert","49","313046","0.0-3.0-0.46","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","652","The thrill and the challenge top my list.",">5.25","","1","null"
"2986","{""Q0"":0}","survey-likert","50","316034","0.0-3.0-0.47","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","208","Maybe you'll find it later, maybe you won't.","2.25-3.25","","1","null"
"4299","{""Q0"":6}","survey-likert","51","320335","0.0-3.0-0.48","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","290","We have a few hours of light left.","2.25-3.25","","7","null"
"5100","{""Q0"":0}","survey-likert","52","325437","0.0-3.0-0.49","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","626","When juvenile, it is bright yellow in color.","4.25-5.25","","1","null"
"3019","{""Q0"":0}","survey-likert","53","328457","0.0-3.0-0.50","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","740","She began another long chant from the rituals.",">5.25","","1","null"
"12949","{""Q0"":0}","survey-likert","54","341407","0.0-3.0-0.51","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","176","I knew it was going to be okay.","2.25-3.25","","1","null"
"3326","{""Q0"":0}","survey-likert","55","344735","0.0-3.0-0.52","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","186","Why couldn't you just keep your head down?","2.25-3.25","","1","null"
"2258","{""Q0"":0}","survey-likert","56","346996","0.0-3.0-0.53","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","677","Less successful was the area of educational politics.",">5.25","","1","null"
"2292","{""Q0"":0}","survey-likert","57","349290","0.0-3.0-0.54","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","472","Your mouth is so tight, and turned down.","3.25-4.25","","1","null"
"3902","{""Q0"":5}","survey-likert","58","353194","0.0-3.0-0.55","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","203","We need to get out of the sun.","2.25-3.25","","6","null"
"2635","{""Q0"":0}","survey-likert","59","355832","0.0-3.0-0.56","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","337","The three men look at each other, dumbfounded.","3.25-4.25","","1","null"
"2572","{""Q0"":0}","survey-likert","60","358406","0.0-3.0-0.57","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","16","I don't know what I'm going to do.","<2.25","","1","null"
"10263","{""Q0"":3}","survey-likert","61","368672","0.0-3.0-0.58","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","752","I got a bigger customer base this summer.",">5.25","","4","null"
"3037","{""Q0"":0}","survey-likert","62","371711","0.0-3.0-0.59","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","497","He shifted uneasily, then settled into thoughtful silence.","4.25-5.25","","1","null"
"3521","{""Q0"":0}","survey-likert","63","375233","0.0-3.0-0.60","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","531","The keys were luckily still in the ignition.","4.25-5.25","","1","null"
"2752","{""Q0"":0}","survey-likert","64","377987","0.0-3.0-0.61","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","550","All of that makes you look rather official.","4.25-5.25","","1","null"
"2324","{""Q0"":6}","survey-likert","65","380313","0.0-3.0-0.62","668be7aeec30f3aae126f42a","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_60","This is an attention check. Please click 7.","attention_check","7","7","true"
