"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10074","{""Q0"":""67e074f58a5ea7d9897f3223""}","survey-text","0","10100","0.0-0.0","67e074f58a5ea7d9897f3223","","","","","","","","","","","",""
"50703","0","html-button-response","1","60808","0.0-1.0","67e074f58a5ea7d9897f3223","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"60162","0","html-button-response","2","120981","0.0-2.0","67e074f58a5ea7d9897f3223","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12953","{""Q0"":3}","survey-likert","3","133943","0.0-3.0-0.0","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","49","All you had to do was walk away.","<2.25","","4","null"
"6554","{""Q0"":4}","survey-likert","4","140513","0.0-3.0-0.1","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","153","Only one of them could have done that.","<2.25","","5","null"
"7076","{""Q0"":4}","survey-likert","5","147595","0.0-3.0-0.2","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","326","He was holding his backpack over his head.","3.25-4.25","","5","null"
"8999","{""Q0"":1}","survey-likert","6","156601","0.0-3.0-0.3","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","2","null"
"5337","{""Q0"":5}","survey-likert","7","161942","0.0-3.0-0.4","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","59","I really haven't made up my mind yet.","<2.25","","6","null"
"11863","{""Q0"":2}","survey-likert","8","173812","0.0-3.0-0.5","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","512","The other two float out into the vacuum.","4.25-5.25","","3","null"
"10188","{""Q0"":2}","survey-likert","9","184010","0.0-3.0-0.6","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","420","He put half a dozen in his pouch.","3.25-4.25","","3","null"
"6738","{""Q0"":3}","survey-likert","10","190758","0.0-3.0-0.7","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","68","He picked it up and looked at it.","<2.25","","4","null"
"6773","{""Q0"":5}","survey-likert","11","197547","0.0-3.0-0.8","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","733","They must purchase the electric power at wholesale.",">5.25","","6","null"
"11106","{""Q0"":4}","survey-likert","12","208657","0.0-3.0-0.9","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","403","They were putting on a mask of calm.","3.25-4.25","","5","null"
"11437","{""Q0"":4}","survey-likert","13","220102","0.0-3.0-0.10","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","625","With luck, maybe it will work without trouble.","4.25-5.25","","5","null"
"6569","{""Q0"":4}","survey-likert","14","226675","0.0-3.0-0.11","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","185","Suddenly there was an image in my mind.","2.25-3.25","","5","null"
"8305","{""Q0"":5}","survey-likert","15","234985","0.0-3.0-0.12","67e074f58a5ea7d9897f3223","","[0]","","6","1","How much does the sentence make sense?","139","There's a lot of things I can't change.","<2.25","","6","null"
