"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"47721","{""Q0"":""6a0c9d49553062410f21daba""}","survey-text","0","47746","0.0-0.0","6a0c9d49553062410f21daba","","","","","","","","","","","",""
"33882","0","html-button-response","1","81632","0.0-1.0","6a0c9d49553062410f21daba","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"52086","0","html-button-response","2","133720","0.0-2.0","6a0c9d49553062410f21daba","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5852","{""Q0"":6}","survey-likert","3","139575","0.0-3.0-0.0","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","117","Now, why did you ask to see me?","<2.25","","7","null"
"8146","{""Q0"":6}","survey-likert","4","147725","0.0-3.0-0.1","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","726","Or pretend we run an imaginary puppy store?",">5.25","","7","null"
"7770","{""Q0"":2}","survey-likert","5","155497","0.0-3.0-0.2","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","717","The crystals all over his car were growing.",">5.25","","3","null"
"5327","{""Q0"":6}","survey-likert","6","160826","0.0-3.0-0.3","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","7","null"
"3209","{""Q0"":6}","survey-likert","7","164037","0.0-3.0-0.4","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","249","I was just giving you a hard time.","2.25-3.25","","7","null"
"4424","{""Q0"":6}","survey-likert","8","168463","0.0-3.0-0.5","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","316","I could not believe what they were saying.","2.25-3.25","","7","null"
"4554","{""Q0"":6}","survey-likert","9","173020","0.0-3.0-0.6","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","7","null"
"4661","{""Q0"":5}","survey-likert","10","177682","0.0-3.0-0.7","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","800","Cass stands there looking at him march away.",">5.25","","6","null"
"7729","{""Q0"":1}","survey-likert","11","185414","0.0-3.0-0.8","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","605","It means methane gas leeching from the soil.","4.25-5.25","","2","null"
"4579","{""Q0"":6}","survey-likert","12","189994","0.0-3.0-0.9","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","795","Something ancient stirred far off in the forest.",">5.25","","7","null"
"10519","{""Q0"":4}","survey-likert","13","200516","0.0-3.0-0.10","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","695","This development enabled the emergence of secondary consciousness.",">5.25","","5","null"
"6128","{""Q0"":5}","survey-likert","14","206646","0.0-3.0-0.11","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","6","null"
"5198","{""Q0"":5}","survey-likert","15","211845","0.0-3.0-0.12","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","6","null"
"5027","{""Q0"":6}","survey-likert","16","216874","0.0-3.0-0.13","6a0c9d49553062410f21daba","","[0]","","5","1","How much does the sentence make sense?","412","Can you see the spring in his step?","3.25-4.25","","7","null"
