"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"28378","{""Q0"":""69829e0339692c547b330df2""}","survey-text","0","28410","0.0-0.0","69829e0339692c547b330df2","","","","","","","","","","","",""
"1975","0","html-button-response","1","30389","0.0-1.0","69829e0339692c547b330df2","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"123963","0","html-button-response","2","154356","0.0-2.0","69829e0339692c547b330df2","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"25050","{""Q0"":6}","survey-likert","3","179409","0.0-3.0-0.0","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","117","Now, why did you ask to see me?","<2.25","","7","null"
"8446","{""Q0"":6}","survey-likert","4","187858","0.0-3.0-0.1","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","726","Or pretend we run an imaginary puppy store?",">5.25","","7","null"
"43878","{""Q0"":4}","survey-likert","5","231740","0.0-3.0-0.2","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","717","The crystals all over his car were growing.",">5.25","","5","null"
"3035","{""Q0"":3}","survey-likert","6","234776","0.0-3.0-0.3","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","4","null"
"3165","{""Q0"":4}","survey-likert","7","237944","0.0-3.0-0.4","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","249","I was just giving you a hard time.","2.25-3.25","","5","null"
"2710","{""Q0"":5}","survey-likert","8","240657","0.0-3.0-0.5","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","316","I could not believe what they were saying.","2.25-3.25","","6","null"
"3415","{""Q0"":3}","survey-likert","9","244074","0.0-3.0-0.6","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","4","null"
"3768","{""Q0"":4}","survey-likert","10","247844","0.0-3.0-0.7","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","800","Cass stands there looking at him march away.",">5.25","","5","null"
"4965","{""Q0"":5}","survey-likert","11","252810","0.0-3.0-0.8","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","605","It means methane gas leeching from the soil.","4.25-5.25","","6","null"
"8465","{""Q0"":6}","survey-likert","12","261277","0.0-3.0-0.9","69829e0339692c547b330df2","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","795","Something ancient stirred far off in the forest.",">5.25","","7","null"
