"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4062","{""Q0"":""5ecf40ccb218ec372490e3ea""}","survey-text","0","4068","0.0-0.0","5ecf40ccb218ec372490e3ea","","","","","","","","","","","",""
"2374","0","html-button-response","1","6444","0.0-1.0","5ecf40ccb218ec372490e3ea","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"2509","0","html-button-response","2","8953","0.0-2.0","5ecf40ccb218ec372490e3ea","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"30738","{""Q0"":0}","survey-likert","3","39693","0.0-3.0-0.0","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","1","null"
"23000","{""Q0"":0}","survey-likert","4","62694","0.0-3.0-0.1","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","696","Relief swept through her when she found one.",">5.25","","1","null"
"34955","{""Q0"":0}","survey-likert","5","97650","0.0-3.0-0.2","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","404","There is a little white at the base.","3.25-4.25","","1","null"
"46363","{""Q0"":0}","survey-likert","6","144014","0.0-3.0-0.3","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","398","What did you put for your best feature?","3.25-4.25","","1","null"
"17638","{""Q0"":0}","survey-likert","7","161653","0.0-3.0-0.4","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","81","I want you to have a good time.","<2.25","","1","null"
"11602","{""Q0"":0}","survey-likert","8","173257","0.0-3.0-0.5","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","42","It's the logical thing to do, isn't it?","<2.25","","1","null"
"5420","{""Q0"":0}","survey-likert","9","178677","0.0-3.0-0.6","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","145","Truth is, I don't know what to say.","<2.25","","1","null"
"6755","{""Q0"":0}","survey-likert","10","185433","0.0-3.0-0.7","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","55","You were right, you were right all along.","<2.25","","1","null"
"6371","{""Q0"":0}","survey-likert","11","191805","0.0-3.0-0.8","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","1","null"
"7139","{""Q0"":0}","survey-likert","12","198945","0.0-3.0-0.9","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","159","That's exactly what I want you to do.","<2.25","","1","null"
"5636","{""Q0"":0}","survey-likert","13","204582","0.0-3.0-0.10","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","471","It seems the rumors were not far off.","3.25-4.25","","1","null"
"6473","{""Q0"":0}","survey-likert","14","211055","0.0-3.0-0.11","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","668","Elizabeth was sorting jars and tins of food.",">5.25","","1","null"
"7607","{""Q0"":0}","survey-likert","15","218663","0.0-3.0-0.12","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","286","Did you see an animal of any kind?","2.25-3.25","","1","null"
"4971","{""Q0"":0}","survey-likert","16","223636","0.0-3.0-0.13","5ecf40ccb218ec372490e3ea","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","258","I wonder how long I have been away.","2.25-3.25","","1","null"
