"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4266","{""Q0"":""599186630675b100014daddd""}","survey-text","0","4321","0.0-0.0","599186630675b100014daddd","","","","","","","","","","","",""
"4354","0","html-button-response","1","8687","0.0-1.0","599186630675b100014daddd","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"4962","0","html-button-response","2","13652","0.0-2.0","599186630675b100014daddd","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10821","{""Q0"":3}","survey-likert","3","24481","0.0-3.0-0.0","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","451","You let greed get the better of you.","3.25-4.25","","4","null"
"12527","{""Q0"":2}","survey-likert","4","37015","0.0-3.0-0.1","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","362","It reminded her of her heart, her soul.","3.25-4.25","","3","null"
"6012","{""Q0"":3}","survey-likert","5","43033","0.0-3.0-0.2","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","622","She started to look uncomfortable then hid it.","4.25-5.25","","4","null"
"9553","{""Q0"":1}","survey-likert","6","52592","0.0-3.0-0.3","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","426","The thought of using makeup made her shiver.","3.25-4.25","","2","null"
"4025","{""Q0"":3}","survey-likert","7","56622","0.0-3.0-0.4","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","181","Don't let your guard down for a moment.","2.25-3.25","","4","null"
"3052","{""Q0"":2}","survey-likert","8","59680","0.0-3.0-0.5","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","456","A smile worked its way to her lips.","3.25-4.25","","3","null"
"2738","{""Q0"":2}","survey-likert","9","62421","0.0-3.0-0.6","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","220","What a day this was going to be!","2.25-3.25","","3","null"
"2177","{""Q0"":3}","survey-likert","10","64602","0.0-3.0-0.7","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","152","I am not going to talk about it.","<2.25","","4","null"
"2670","{""Q0"":2}","survey-likert","11","67277","0.0-3.0-0.8","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","460","He's so busy lately I hardly see him.","3.25-4.25","","3","null"
"3746","{""Q0"":2}","survey-likert","12","71028","0.0-3.0-0.9","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","281","What's this amazing thing that's happening to her?","2.25-3.25","","3","null"
"4387","{""Q0"":2}","survey-likert","13","75420","0.0-3.0-0.10","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","725","The assembly also sometimes is about moral teaching.",">5.25","","3","null"
"3181","{""Q0"":2}","survey-likert","14","78606","0.0-3.0-0.11","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","121","That's what I am trying to tell you.","<2.25","","3","null"
"3973","{""Q0"":3}","survey-likert","15","82584","0.0-3.0-0.12","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","351","It was as if the darkness itself thickened.","3.25-4.25","","4","null"
"5098","{""Q0"":1}","survey-likert","16","87685","0.0-3.0-0.13","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","559","He pointed out the device on the shield.","4.25-5.25","","2","null"
"2712","{""Q0"":1}","survey-likert","17","90400","0.0-3.0-0.14","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","100","As you can see, it is quite large.","<2.25","","2","null"
"2120","{""Q0"":1}","survey-likert","18","92526","0.0-3.0-0.15","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","164","We need to take it a step further.","2.25-3.25","","2","null"
"3660","{""Q0"":3}","survey-likert","19","96191","0.0-3.0-0.16","599186630675b100014daddd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","683","The air traffic control center functions without these.",">5.25","","4","null"
