"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7955","{""Q0"":""69ef5a48167bb8af67f70ffe""}","survey-text","0","7971","0.0-0.0","69ef5a48167bb8af67f70ffe","","","","","","","","","","","",""
"2317","0","html-button-response","1","10290","0.0-1.0","69ef5a48167bb8af67f70ffe","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"83744","0","html-button-response","2","94036","0.0-2.0","69ef5a48167bb8af67f70ffe","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5891","{""Q0"":1}","survey-likert","3","99939","0.0-3.0-0.0","69ef5a48167bb8af67f70ffe","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","91","This is the worst moment of my life.","<2.25","","2","null"
"12984","{""Q0"":5}","survey-likert","4","112925","0.0-3.0-0.1","69ef5a48167bb8af67f70ffe","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","5","Is there anything I can do for you?","<2.25","","6","null"
"6430","{""Q0"":5}","survey-likert","5","119356","0.0-3.0-0.2","69ef5a48167bb8af67f70ffe","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","285","And now there are trees all around us.","2.25-3.25","","6","null"
"7462","{""Q0"":5}","survey-likert","6","126820","0.0-3.0-0.3","69ef5a48167bb8af67f70ffe","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","6","null"
"3118","{""Q0"":1}","survey-likert","7","129939","0.0-3.0-0.4","69ef5a48167bb8af67f70ffe","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","67","Oh, I wish I could remember the name.","<2.25","","2","null"
"3360","{""Q0"":1}","survey-likert","8","133301","0.0-3.0-0.5","69ef5a48167bb8af67f70ffe","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","336","He looked at me with a wacky gaze.","3.25-4.25","","2","null"
"6309","{""Q0"":1}","survey-likert","9","139612","0.0-3.0-0.6","69ef5a48167bb8af67f70ffe","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","138","There is no use in talking about it.","<2.25","","2","null"
