"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5067","{""Q0"":""5b72d3f8afce7600019fe275""}","survey-text","0","5097","0.0-0.0","5b72d3f8afce7600019fe275","","","","","","","","","","","",""
"2068","0","html-button-response","1","7167","0.0-1.0","5b72d3f8afce7600019fe275","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"4767","0","html-button-response","2","11934","0.0-2.0","5b72d3f8afce7600019fe275","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8558","{""Q0"":6}","survey-likert","3","20494","0.0-3.0-0.0","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","7","null"
"5549","{""Q0"":6}","survey-likert","4","26046","0.0-3.0-0.1","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","696","Relief swept through her when she found one.",">5.25","","7","null"
"6422","{""Q0"":6}","survey-likert","5","32470","0.0-3.0-0.2","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","404","There is a little white at the base.","3.25-4.25","","7","null"
"6334","{""Q0"":5}","survey-likert","6","38806","0.0-3.0-0.3","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","398","What did you put for your best feature?","3.25-4.25","","6","null"
"4790","{""Q0"":6}","survey-likert","7","43598","0.0-3.0-0.4","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","81","I want you to have a good time.","<2.25","","7","null"
"3838","{""Q0"":6}","survey-likert","8","47438","0.0-3.0-0.5","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","42","It's the logical thing to do, isn't it?","<2.25","","7","null"
"2870","{""Q0"":6}","survey-likert","9","50310","0.0-3.0-0.6","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","145","Truth is, I don't know what to say.","<2.25","","7","null"
"3758","{""Q0"":6}","survey-likert","10","54070","0.0-3.0-0.7","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","55","You were right, you were right all along.","<2.25","","7","null"
"5062","{""Q0"":6}","survey-likert","11","59133","0.0-3.0-0.8","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","7","null"
"3495","{""Q0"":6}","survey-likert","12","62629","0.0-3.0-0.9","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","159","That's exactly what I want you to do.","<2.25","","7","null"
"3119","{""Q0"":6}","survey-likert","13","65749","0.0-3.0-0.10","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","471","It seems the rumors were not far off.","3.25-4.25","","7","null"
"4671","{""Q0"":6}","survey-likert","14","70421","0.0-3.0-0.11","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","668","Elizabeth was sorting jars and tins of food.",">5.25","","7","null"
"5343","{""Q0"":6}","survey-likert","15","75765","0.0-3.0-0.12","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","286","Did you see an animal of any kind?","2.25-3.25","","7","null"
"6287","{""Q0"":6}","survey-likert","16","82053","0.0-3.0-0.13","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","258","I wonder how long I have been away.","2.25-3.25","","7","null"
"5230","{""Q0"":6}","survey-likert","17","87285","0.0-3.0-0.14","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","582","Then, she filled a bucket for her horse.","4.25-5.25","","7","null"
"80663","{""Q0"":6}","survey-likert","18","167949","0.0-3.0-0.15","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","202","He'd want to know as soon as possible.","2.25-3.25","","7","null"
"4254","{""Q0"":6}","survey-likert","19","172205","0.0-3.0-0.16","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","193","I was supposed to be doing something else.","2.25-3.25","","7","null"
"9207","{""Q0"":6}","survey-likert","20","181413","0.0-3.0-0.17","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","522","Expensive furniture and paintings filled room after room.","4.25-5.25","","7","null"
"8511","{""Q0"":6}","survey-likert","21","189925","0.0-3.0-0.18","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","498","Very little is known about his sumo career.","4.25-5.25","","7","null"
"3142","{""Q0"":6}","survey-likert","22","193069","0.0-3.0-0.19","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","23","May I buy you a cup of coffee?","<2.25","","7","null"
"3031","{""Q0"":5}","survey-likert","23","196101","0.0-3.0-0.20","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"4710","{""Q0"":6}","survey-likert","24","200813","0.0-3.0-0.21","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","331","Was there anything left for me to find?","3.25-4.25","","7","null"
"2511","{""Q0"":6}","survey-likert","25","203325","0.0-3.0-0.22","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","38","Are you sure you want to see it?","<2.25","","7","null"
"6439","{""Q0"":0}","survey-likert","26","209765","0.0-3.0-0.23","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","367","When you are down, your money is sad.","3.25-4.25","","1","null"
"5567","{""Q0"":3}","survey-likert","27","215333","0.0-3.0-0.24","5b72d3f8afce7600019fe275","","[0]","","8","1","How much does the sentence make sense?","678","My lungs felt dusty from all the books.",">5.25","","4","null"
