"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"28146","{""Q0"":""67e1a81f94a4e37a7e8e340a""}","survey-text","0","28176","0.0-0.0","67e1a81f94a4e37a7e8e340a","","","","","","","","","","","",""
"3884","0","html-button-response","1","32064","0.0-1.0","67e1a81f94a4e37a7e8e340a","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"31622","0","html-button-response","2","63687","0.0-2.0","67e1a81f94a4e37a7e8e340a","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"20722","{""Q0"":3}","survey-likert","3","84412","0.0-3.0-0.0","67e1a81f94a4e37a7e8e340a","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","4","null"
"16574","{""Q0"":4}","survey-likert","4","100989","0.0-3.0-0.1","67e1a81f94a4e37a7e8e340a","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","696","Relief swept through her when she found one.",">5.25","","5","null"
"10319","{""Q0"":5}","survey-likert","5","111311","0.0-3.0-0.2","67e1a81f94a4e37a7e8e340a","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","404","There is a little white at the base.","3.25-4.25","","6","null"
"5774","{""Q0"":3}","survey-likert","6","117087","0.0-3.0-0.3","67e1a81f94a4e37a7e8e340a","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","398","What did you put for your best feature?","3.25-4.25","","4","null"
"5010","{""Q0"":4}","survey-likert","7","122099","0.0-3.0-0.4","67e1a81f94a4e37a7e8e340a","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","81","I want you to have a good time.","<2.25","","5","null"
"47428","{""Q0"":0}","survey-likert","8","169529","0.0-3.0-0.5","67e1a81f94a4e37a7e8e340a","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","42","It's the logical thing to do, isn't it?","<2.25","","1","null"
"40737","{""Q0"":0}","survey-likert","9","210269","0.0-3.0-0.6","67e1a81f94a4e37a7e8e340a","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","145","Truth is, I don't know what to say.","<2.25","","1","null"
