"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3218","{""Q0"":""696158333ced5b850fc8fd79""}","survey-text","0","3238","0.0-0.0","696158333ced5b850fc8fd79","","","","","","","","","","","",""
"2081","0","html-button-response","1","5320","0.0-1.0","696158333ced5b850fc8fd79","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"24384","0","html-button-response","2","29706","0.0-2.0","696158333ced5b850fc8fd79","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5932","{""Q0"":6}","survey-likert","3","35640","0.0-3.0-0.0","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","91","This is the worst moment of my life.","<2.25","","7","null"
"3848","{""Q0"":6}","survey-likert","4","39489","0.0-3.0-0.1","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","5","Is there anything I can do for you?","<2.25","","7","null"
"5066","{""Q0"":5}","survey-likert","5","44556","0.0-3.0-0.2","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","285","And now there are trees all around us.","2.25-3.25","","6","null"
"6600","{""Q0"":6}","survey-likert","6","51158","0.0-3.0-0.3","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","7","null"
"3248","{""Q0"":6}","survey-likert","7","54408","0.0-3.0-0.4","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","67","Oh, I wish I could remember the name.","<2.25","","7","null"
"3482","{""Q0"":5}","survey-likert","8","57892","0.0-3.0-0.5","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","336","He looked at me with a wacky gaze.","3.25-4.25","","6","null"
"2765","{""Q0"":6}","survey-likert","9","60658","0.0-3.0-0.6","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","138","There is no use in talking about it.","<2.25","","7","null"
"2898","{""Q0"":6}","survey-likert","10","63559","0.0-3.0-0.7","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","502","We were surrounded by people from various origins.","4.25-5.25","","7","null"
"4215","{""Q0"":5}","survey-likert","11","67776","0.0-3.0-0.8","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","699","It also had real but limited economic advances.",">5.25","","6","null"
"2898","{""Q0"":6}","survey-likert","12","70676","0.0-3.0-0.9","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","92","Maybe you should take another look at it.","<2.25","","7","null"
"4148","{""Q0"":6}","survey-likert","13","74826","0.0-3.0-0.10","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","168","I'm just trying to find the right words.","2.25-3.25","","7","null"
"3032","{""Q0"":6}","survey-likert","14","77860","0.0-3.0-0.11","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","94","This is not where I want to be.","<2.25","","7","null"
"3182","{""Q0"":6}","survey-likert","15","81043","0.0-3.0-0.12","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","359","So tonight I decided to have a barbecue.","3.25-4.25","","7","null"
"5099","{""Q0"":3}","survey-likert","16","86144","0.0-3.0-0.13","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","771","Reactions worked totally off of his trained instincts.",">5.25","","4","null"
"4282","{""Q0"":6}","survey-likert","17","90427","0.0-3.0-0.14","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","115","What am I going to say to them?","<2.25","","7","null"
"2415","{""Q0"":6}","survey-likert","18","92844","0.0-3.0-0.15","696158333ced5b850fc8fd79","","[0]","","3","1","How much does the sentence make sense?","99","I was trying to do the right thing.","<2.25","","7","null"
