"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6644","{""Q0"":""645bb86a975c3b3594fd0a4a""}","survey-text","0","6653","0.0-0.0","645bb86a975c3b3594fd0a4a","","","","","","","","","","","",""
"45086","0","html-button-response","1","51740","0.0-1.0","645bb86a975c3b3594fd0a4a","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"26587","0","html-button-response","2","78328","0.0-2.0","645bb86a975c3b3594fd0a4a","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12510","{""Q0"":3}","survey-likert","3","90839","0.0-3.0-0.0","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","4","null"
"6495","{""Q0"":4}","survey-likert","4","97335","0.0-3.0-0.1","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","696","Relief swept through her when she found one.",">5.25","","5","null"
"8511","{""Q0"":3}","survey-likert","5","105847","0.0-3.0-0.2","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","404","There is a little white at the base.","3.25-4.25","","4","null"
"7209","{""Q0"":3}","survey-likert","6","113057","0.0-3.0-0.3","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","398","What did you put for your best feature?","3.25-4.25","","4","null"
"5115","{""Q0"":4}","survey-likert","7","118173","0.0-3.0-0.4","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","81","I want you to have a good time.","<2.25","","5","null"
"4473","{""Q0"":3}","survey-likert","8","122648","0.0-3.0-0.5","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","42","It's the logical thing to do, isn't it?","<2.25","","4","null"
"4617","{""Q0"":3}","survey-likert","9","127266","0.0-3.0-0.6","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","145","Truth is, I don't know what to say.","<2.25","","4","null"
"5670","{""Q0"":3}","survey-likert","10","132938","0.0-3.0-0.7","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","55","You were right, you were right all along.","<2.25","","4","null"
"5819","{""Q0"":2}","survey-likert","11","138758","0.0-3.0-0.8","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","3","null"
"4372","{""Q0"":4}","survey-likert","12","143131","0.0-3.0-0.9","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","159","That's exactly what I want you to do.","<2.25","","5","null"
"5005","{""Q0"":3}","survey-likert","13","148137","0.0-3.0-0.10","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","471","It seems the rumors were not far off.","3.25-4.25","","4","null"
"4679","{""Q0"":3}","survey-likert","14","152817","0.0-3.0-0.11","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","668","Elizabeth was sorting jars and tins of food.",">5.25","","4","null"
"4789","{""Q0"":3}","survey-likert","15","157607","0.0-3.0-0.12","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","286","Did you see an animal of any kind?","2.25-3.25","","4","null"
"4241","{""Q0"":2}","survey-likert","16","161849","0.0-3.0-0.13","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","258","I wonder how long I have been away.","2.25-3.25","","3","null"
"4241","{""Q0"":2}","survey-likert","17","166092","0.0-3.0-0.14","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","582","Then, she filled a bucket for her horse.","4.25-5.25","","3","null"
"4884","{""Q0"":2}","survey-likert","18","170977","0.0-3.0-0.15","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","202","He'd want to know as soon as possible.","2.25-3.25","","3","null"
"5328","{""Q0"":2}","survey-likert","19","176306","0.0-3.0-0.16","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","193","I was supposed to be doing something else.","2.25-3.25","","3","null"
"5569","{""Q0"":3}","survey-likert","20","181876","0.0-3.0-0.17","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","522","Expensive furniture and paintings filled room after room.","4.25-5.25","","4","null"
"4039","{""Q0"":3}","survey-likert","21","185916","0.0-3.0-0.18","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","498","Very little is known about his sumo career.","4.25-5.25","","4","null"
"4487","{""Q0"":3}","survey-likert","22","190404","0.0-3.0-0.19","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","23","May I buy you a cup of coffee?","<2.25","","4","null"
"4395","{""Q0"":1}","survey-likert","23","194800","0.0-3.0-0.20","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"6600","{""Q0"":3}","survey-likert","24","201401","0.0-3.0-0.21","645bb86a975c3b3594fd0a4a","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","331","Was there anything left for me to find?","3.25-4.25","","4","null"
