"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"16130","{""Q0"":""69fcdd868c3e252dc8b53e7c""}","survey-text","0","16178","0.0-0.0","69fcdd868c3e252dc8b53e7c","","","","","","","","","","","",""
"15067","0","html-button-response","1","31250","0.0-1.0","69fcdd868c3e252dc8b53e7c","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"48559","0","html-button-response","2","79811","0.0-2.0","69fcdd868c3e252dc8b53e7c","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7703","{""Q0"":1}","survey-likert","3","87519","0.0-3.0-0.0","69fcdd868c3e252dc8b53e7c","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","451","You let greed get the better of you.","3.25-4.25","","2","null"
"6104","{""Q0"":1}","survey-likert","4","93628","0.0-3.0-0.1","69fcdd868c3e252dc8b53e7c","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","362","It reminded her of her heart, her soul.","3.25-4.25","","2","null"
"5374","{""Q0"":5}","survey-likert","5","99007","0.0-3.0-0.2","69fcdd868c3e252dc8b53e7c","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","622","She started to look uncomfortable then hid it.","4.25-5.25","","6","null"
"7135","{""Q0"":5}","survey-likert","6","106146","0.0-3.0-0.3","69fcdd868c3e252dc8b53e7c","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","426","The thought of using makeup made her shiver.","3.25-4.25","","6","null"
"4312","{""Q0"":1}","survey-likert","7","110462","0.0-3.0-0.4","69fcdd868c3e252dc8b53e7c","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","181","Don't let your guard down for a moment.","2.25-3.25","","2","null"
"5804","{""Q0"":5}","survey-likert","8","116272","0.0-3.0-0.5","69fcdd868c3e252dc8b53e7c","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","456","A smile worked its way to her lips.","3.25-4.25","","6","null"
"4732","{""Q0"":1}","survey-likert","9","121008","0.0-3.0-0.6","69fcdd868c3e252dc8b53e7c","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","220","What a day this was going to be!","2.25-3.25","","2","null"
