"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4129","{""Q0"":""62682277645054f5802459b8""}","survey-text","0","4143","0.0-0.0","62682277645054f5802459b8","","","","","","","","","","","",""
"3263","0","html-button-response","1","7412","0.0-1.0","62682277645054f5802459b8","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"47712","0","html-button-response","2","55127","0.0-2.0","62682277645054f5802459b8","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5121","{""Q0"":6}","survey-likert","3","60253","0.0-3.0-0.0","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","91","This is the worst moment of my life.","<2.25","","7","null"
"4236","{""Q0"":6}","survey-likert","4","64491","0.0-3.0-0.1","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","5","Is there anything I can do for you?","<2.25","","7","null"
"5960","{""Q0"":6}","survey-likert","5","70454","0.0-3.0-0.2","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","285","And now there are trees all around us.","2.25-3.25","","7","null"
"4162","{""Q0"":6}","survey-likert","6","74620","0.0-3.0-0.3","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","7","null"
"3903","{""Q0"":6}","survey-likert","7","78527","0.0-3.0-0.4","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","67","Oh, I wish I could remember the name.","<2.25","","7","null"
"3410","{""Q0"":6}","survey-likert","8","81941","0.0-3.0-0.5","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","336","He looked at me with a wacky gaze.","3.25-4.25","","7","null"
"3363","{""Q0"":6}","survey-likert","9","85307","0.0-3.0-0.6","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","138","There is no use in talking about it.","<2.25","","7","null"
"4862","{""Q0"":5}","survey-likert","10","90171","0.0-3.0-0.7","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","502","We were surrounded by people from various origins.","4.25-5.25","","6","null"
"5228","{""Q0"":6}","survey-likert","11","95402","0.0-3.0-0.8","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","699","It also had real but limited economic advances.",">5.25","","7","null"
"16504","{""Q0"":6}","survey-likert","12","111909","0.0-3.0-0.9","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","92","Maybe you should take another look at it.","<2.25","","7","null"
"4074","{""Q0"":6}","survey-likert","13","115987","0.0-3.0-0.10","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","168","I'm just trying to find the right words.","2.25-3.25","","7","null"
"3310","{""Q0"":6}","survey-likert","14","119301","0.0-3.0-0.11","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","94","This is not where I want to be.","<2.25","","7","null"
"3648","{""Q0"":6}","survey-likert","15","122953","0.0-3.0-0.12","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","359","So tonight I decided to have a barbecue.","3.25-4.25","","7","null"
"6243","{""Q0"":5}","survey-likert","16","129200","0.0-3.0-0.13","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","771","Reactions worked totally off of his trained instincts.",">5.25","","6","null"
"4101","{""Q0"":6}","survey-likert","17","133305","0.0-3.0-0.14","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","115","What am I going to say to them?","<2.25","","7","null"
"2605","{""Q0"":6}","survey-likert","18","135913","0.0-3.0-0.15","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","99","I was trying to do the right thing.","<2.25","","7","null"
"3067","{""Q0"":6}","survey-likert","19","138984","0.0-3.0-0.16","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","304","We must move before the sun comes up.","2.25-3.25","","7","null"
"3317","{""Q0"":6}","survey-likert","20","142304","0.0-3.0-0.17","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","7","null"
"3798","{""Q0"":6}","survey-likert","21","146105","0.0-3.0-0.18","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","701","I was elected captain and James became jealous.",">5.25","","7","null"
"2918","{""Q0"":6}","survey-likert","22","149027","0.0-3.0-0.19","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","177","Frankly, I can't spare the time right now.","2.25-3.25","","7","null"
"4349","{""Q0"":0}","survey-likert","23","153380","0.0-3.0-0.20","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"9809","{""Q0"":1}","survey-likert","24","163193","0.0-3.0-0.21","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","764","Your writ runs in the hours of darkness.",">5.25","","2","null"
"5309","{""Q0"":5}","survey-likert","25","168505","0.0-3.0-0.22","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","455","However, I am without argument to explain it.","3.25-4.25","","6","null"
"3995","{""Q0"":6}","survey-likert","26","172501","0.0-3.0-0.23","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","288","Isn't she coming home for tea after all?","2.25-3.25","","7","null"
"2810","{""Q0"":6}","survey-likert","27","175315","0.0-3.0-0.24","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","76","I can't get it out of my head.","<2.25","","7","null"
"3721","{""Q0"":6}","survey-likert","28","179039","0.0-3.0-0.25","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","179","In the meantime, I had much to do.","2.25-3.25","","7","null"
"4191","{""Q0"":6}","survey-likert","29","183233","0.0-3.0-0.26","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","254","He had not expected them to believe him.","2.25-3.25","","7","null"
"2682","{""Q0"":6}","survey-likert","30","185919","0.0-3.0-0.27","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","345","It was a very heavy silence that followed.","3.25-4.25","","7","null"
"6374","{""Q0"":2}","survey-likert","31","192297","0.0-3.0-0.28","62682277645054f5802459b8","","[0]","","3","1","How much does the sentence make sense?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","3","null"
