"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3173","{""Q0"":""697cc2db37532131b9fb9738""}","survey-text","0","3188","0.0-0.0","697cc2db37532131b9fb9738","","","","","","","","","","","",""
"3454","0","html-button-response","1","6645","0.0-1.0","697cc2db37532131b9fb9738","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"47251","0","html-button-response","2","53898","0.0-2.0","697cc2db37532131b9fb9738","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"16963","{""Q0"":3}","survey-likert","3","70864","0.0-3.0-0.0","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","656","Now it runs without any rake sharing arrangement.",">5.25","","4","null"
"4761","{""Q0"":5}","survey-likert","4","75628","0.0-3.0-0.1","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","702","I began to ride a first rate hunch.",">5.25","","6","null"
"3429","{""Q0"":5}","survey-likert","5","79059","0.0-3.0-0.2","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","251","Not that I didn't like the cat, too.","2.25-3.25","","6","null"
"4011","{""Q0"":6}","survey-likert","6","83072","0.0-3.0-0.3","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","235","I'm in the middle of something important here.","2.25-3.25","","7","null"
"2904","{""Q0"":4}","survey-likert","7","85979","0.0-3.0-0.4","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","384","The launch was delayed by a few months.","3.25-4.25","","5","null"
"3525","{""Q0"":5}","survey-likert","8","89507","0.0-3.0-0.5","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","330","He got up and headed toward the kitchen.","3.25-4.25","","6","null"
"5984","{""Q0"":6}","survey-likert","9","95495","0.0-3.0-0.6","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","39","Promise me you won't put yourself in danger.","<2.25","","7","null"
"4360","{""Q0"":5}","survey-likert","10","99858","0.0-3.0-0.7","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","6","null"
"7311","{""Q0"":5}","survey-likert","11","107172","0.0-3.0-0.8","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","6","null"
"3498","{""Q0"":5}","survey-likert","12","110673","0.0-3.0-0.9","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","314","A knock at the front door interrupted me.","2.25-3.25","","6","null"
"4968","{""Q0"":6}","survey-likert","13","115642","0.0-3.0-0.10","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","705","He gestures between us, like now we're connected.",">5.25","","7","null"
"4639","{""Q0"":3}","survey-likert","14","120284","0.0-3.0-0.11","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","287","Right now it's just wonderful to be back.","2.25-3.25","","4","null"
"17428","{""Q0"":5}","survey-likert","15","137715","0.0-3.0-0.12","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","477","There is too much happening in world politics.","3.25-4.25","","6","null"
"4730","{""Q0"":5}","survey-likert","16","142447","0.0-3.0-0.13","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","297","How many times did you try calling her?","2.25-3.25","","6","null"
"5765","{""Q0"":6}","survey-likert","17","148215","0.0-3.0-0.14","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","363","Freedom is the greatest prize of them all.","3.25-4.25","","7","null"
"8491","{""Q0"":5}","survey-likert","18","156709","0.0-3.0-0.15","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","561","You alone have stood up to their guards.","4.25-5.25","","6","null"
"4918","{""Q0"":5}","survey-likert","19","161630","0.0-3.0-0.16","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","6","null"
"4695","{""Q0"":4}","survey-likert","20","166326","0.0-3.0-0.17","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","579","Well, you should always let a roast rest.","4.25-5.25","","5","null"
"7011","{""Q0"":5}","survey-likert","21","173340","0.0-3.0-0.18","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","452","Everything was running as usual in her head.","3.25-4.25","","6","null"
"6445","{""Q0"":5}","survey-likert","22","179788","0.0-3.0-0.19","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","4","Do you understand what I'm trying to say?","<2.25","","6","null"
"6563","{""Q0"":2}","survey-likert","23","186354","0.0-3.0-0.20","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"5213","{""Q0"":5}","survey-likert","24","191569","0.0-3.0-0.21","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","671","Teddy tilted his face into the soft rain.",">5.25","","6","null"
"6760","{""Q0"":6}","survey-likert","25","198331","0.0-3.0-0.22","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","435","And how are you enjoying this fine evening?","3.25-4.25","","7","null"
"5798","{""Q0"":4}","survey-likert","26","204132","0.0-3.0-0.23","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","347","When she stepped into view, she saw everyone.","3.25-4.25","","5","null"
"2471","{""Q0"":5}","survey-likert","27","206604","0.0-3.0-0.24","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","747","And Matt wandered off to investigate the grounds.",">5.25","","6","null"
"4398","{""Q0"":2}","survey-likert","28","211003","0.0-3.0-0.25","697cc2db37532131b9fb9738","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","225","I'm not the only one on your trail.","2.25-3.25","","3","null"
