"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5230","{""Q0"":""697bdfa46a4d3c372808592f""}","survey-text","0","5241","0.0-0.0","697bdfa46a4d3c372808592f","","","","","","","","","","","",""
"12049","0","html-button-response","1","17291","0.0-1.0","697bdfa46a4d3c372808592f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"18310","0","html-button-response","2","35603","0.0-2.0","697bdfa46a4d3c372808592f","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9518","{""Q0"":0}","survey-likert","3","45123","0.0-3.0-0.0","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","91","This is the worst moment of my life.","<2.25","","1","null"
"6973","{""Q0"":4}","survey-likert","4","52098","0.0-3.0-0.1","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","5","Is there anything I can do for you?","<2.25","","5","null"
"3975","{""Q0"":5}","survey-likert","5","56075","0.0-3.0-0.2","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","285","And now there are trees all around us.","2.25-3.25","","6","null"
"3964","{""Q0"":3}","survey-likert","6","60041","0.0-3.0-0.3","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","4","null"
"6568","{""Q0"":2}","survey-likert","7","66610","0.0-3.0-0.4","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","67","Oh, I wish I could remember the name.","<2.25","","3","null"
"4151","{""Q0"":3}","survey-likert","8","70762","0.0-3.0-0.5","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","336","He looked at me with a wacky gaze.","3.25-4.25","","4","null"
"4282","{""Q0"":1}","survey-likert","9","75046","0.0-3.0-0.6","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","138","There is no use in talking about it.","<2.25","","2","null"
"3990","{""Q0"":4}","survey-likert","10","79038","0.0-3.0-0.7","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","502","We were surrounded by people from various origins.","4.25-5.25","","5","null"
"6633","{""Q0"":4}","survey-likert","11","85672","0.0-3.0-0.8","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","699","It also had real but limited economic advances.",">5.25","","5","null"
"4562","{""Q0"":2}","survey-likert","12","90235","0.0-3.0-0.9","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","92","Maybe you should take another look at it.","<2.25","","3","null"
"3402","{""Q0"":2}","survey-likert","13","93639","0.0-3.0-0.10","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","168","I'm just trying to find the right words.","2.25-3.25","","3","null"
"5253","{""Q0"":0}","survey-likert","14","98894","0.0-3.0-0.11","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","94","This is not where I want to be.","<2.25","","1","null"
"3834","{""Q0"":5}","survey-likert","15","102729","0.0-3.0-0.12","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","359","So tonight I decided to have a barbecue.","3.25-4.25","","6","null"
"4923","{""Q0"":3}","survey-likert","16","107654","0.0-3.0-0.13","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","771","Reactions worked totally off of his trained instincts.",">5.25","","4","null"
"4908","{""Q0"":2}","survey-likert","17","112564","0.0-3.0-0.14","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","115","What am I going to say to them?","<2.25","","3","null"
"3576","{""Q0"":2}","survey-likert","18","116141","0.0-3.0-0.15","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","99","I was trying to do the right thing.","<2.25","","3","null"
"4195","{""Q0"":4}","survey-likert","19","120337","0.0-3.0-0.16","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","304","We must move before the sun comes up.","2.25-3.25","","5","null"
"3504","{""Q0"":5}","survey-likert","20","123843","0.0-3.0-0.17","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","6","null"
"4292","{""Q0"":2}","survey-likert","21","128136","0.0-3.0-0.18","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","701","I was elected captain and James became jealous.",">5.25","","3","null"
"3109","{""Q0"":2}","survey-likert","22","131246","0.0-3.0-0.19","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","177","Frankly, I can't spare the time right now.","2.25-3.25","","3","null"
"2490","{""Q0"":2}","survey-likert","23","133738","0.0-3.0-0.20","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"5163","{""Q0"":1}","survey-likert","24","138903","0.0-3.0-0.21","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","764","Your writ runs in the hours of darkness.",">5.25","","2","null"
"5422","{""Q0"":3}","survey-likert","25","144326","0.0-3.0-0.22","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","455","However, I am without argument to explain it.","3.25-4.25","","4","null"
"3858","{""Q0"":2}","survey-likert","26","148185","0.0-3.0-0.23","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","288","Isn't she coming home for tea after all?","2.25-3.25","","3","null"
"3152","{""Q0"":1}","survey-likert","27","151338","0.0-3.0-0.24","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","76","I can't get it out of my head.","<2.25","","2","null"
"2495","{""Q0"":4}","survey-likert","28","153835","0.0-3.0-0.25","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","179","In the meantime, I had much to do.","2.25-3.25","","5","null"
"4923","{""Q0"":5}","survey-likert","29","158759","0.0-3.0-0.26","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","254","He had not expected them to believe him.","2.25-3.25","","6","null"
"2758","{""Q0"":1}","survey-likert","30","161518","0.0-3.0-0.27","697bdfa46a4d3c372808592f","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","345","It was a very heavy silence that followed.","3.25-4.25","","2","null"
