"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"9599","{""Q0"":""64573b49f7101123b3ef0407""}","survey-text","0","9618","0.0-0.0","64573b49f7101123b3ef0407","","","","","","","","","","","",""
"41370","0","html-button-response","1","50994","0.0-1.0","64573b49f7101123b3ef0407","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"90298","0","html-button-response","2","141293","0.0-2.0","64573b49f7101123b3ef0407","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7491","{""Q0"":0}","survey-likert","3","148789","0.0-3.0-0.0","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","451","You let greed get the better of you.","3.25-4.25","","1","null"
"7832","{""Q0"":6}","survey-likert","4","156625","0.0-3.0-0.1","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","362","It reminded her of her heart, her soul.","3.25-4.25","","7","null"
"5975","{""Q0"":2}","survey-likert","5","162604","0.0-3.0-0.2","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","622","She started to look uncomfortable then hid it.","4.25-5.25","","3","null"
"7532","{""Q0"":3}","survey-likert","6","170140","0.0-3.0-0.3","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","426","The thought of using makeup made her shiver.","3.25-4.25","","4","null"
"7557","{""Q0"":2}","survey-likert","7","177700","0.0-3.0-0.4","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","181","Don't let your guard down for a moment.","2.25-3.25","","3","null"
"4671","{""Q0"":6}","survey-likert","8","182375","0.0-3.0-0.5","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","456","A smile worked its way to her lips.","3.25-4.25","","7","null"
"7849","{""Q0"":3}","survey-likert","9","190228","0.0-3.0-0.6","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","220","What a day this was going to be!","2.25-3.25","","4","null"
"6924","{""Q0"":1}","survey-likert","10","197154","0.0-3.0-0.7","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","152","I am not going to talk about it.","<2.25","","2","null"
"8052","{""Q0"":0}","survey-likert","11","205209","0.0-3.0-0.8","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","460","He's so busy lately I hardly see him.","3.25-4.25","","1","null"
"7021","{""Q0"":5}","survey-likert","12","212234","0.0-3.0-0.9","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","281","What's this amazing thing that's happening to her?","2.25-3.25","","6","null"
"35665","{""Q0"":5}","survey-likert","13","247902","0.0-3.0-0.10","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","725","The assembly also sometimes is about moral teaching.",">5.25","","6","null"
"12347","{""Q0"":3}","survey-likert","14","260253","0.0-3.0-0.11","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","121","That's what I am trying to tell you.","<2.25","","4","null"
"10339","{""Q0"":1}","survey-likert","15","270595","0.0-3.0-0.12","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","351","It was as if the darkness itself thickened.","3.25-4.25","","2","null"
"8895","{""Q0"":3}","survey-likert","16","279493","0.0-3.0-0.13","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","559","He pointed out the device on the shield.","4.25-5.25","","4","null"
"6233","{""Q0"":3}","survey-likert","17","285729","0.0-3.0-0.14","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","100","As you can see, it is quite large.","<2.25","","4","null"
"6006","{""Q0"":4}","survey-likert","18","291737","0.0-3.0-0.15","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","164","We need to take it a step further.","2.25-3.25","","5","null"
"8916","{""Q0"":3}","survey-likert","19","300657","0.0-3.0-0.16","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","683","The air traffic control center functions without these.",">5.25","","4","null"
"5217","{""Q0"":5}","survey-likert","20","305877","0.0-3.0-0.17","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","32","I want you to be my best man.","<2.25","","6","null"
"7039","{""Q0"":3}","survey-likert","21","312918","0.0-3.0-0.18","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","4","null"
"12529","{""Q0"":4}","survey-likert","22","325450","0.0-3.0-0.19","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","672","The metal collects charged particles, drawing a current.",">5.25","","5","null"
"4480","{""Q0"":6}","survey-likert","23","329933","0.0-3.0-0.20","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"6469","{""Q0"":2}","survey-likert","24","336406","0.0-3.0-0.21","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","612","He knows what happened at the shirt place.","4.25-5.25","","3","null"
"7570","{""Q0"":0}","survey-likert","25","343979","0.0-3.0-0.22","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","41","You're going to have to talk to them.","<2.25","","1","null"
"6693","{""Q0"":3}","survey-likert","26","350675","0.0-3.0-0.23","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","54","Would you like to come back one day?","<2.25","","4","null"
"9715","{""Q0"":2}","survey-likert","27","360392","0.0-3.0-0.24","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","445","She took not one more step toward him.","3.25-4.25","","3","null"
"11614","{""Q0"":4}","survey-likert","28","372009","0.0-3.0-0.25","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","718","All three anchor stores are on one level.",">5.25","","5","null"
"38547","{""Q0"":4}","survey-likert","29","410559","0.0-3.0-0.26","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","346","He leaned forward, looking directly at the president.","3.25-4.25","","5","null"
"5473","{""Q0"":5}","survey-likert","30","416035","0.0-3.0-0.27","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","538","The platform carried us to the surface again.","4.25-5.25","","6","null"
"9835","{""Q0"":3}","survey-likert","31","425873","0.0-3.0-0.28","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","793","A short row of stores lay directly ahead.",">5.25","","4","null"
"8185","{""Q0"":2}","survey-likert","32","434061","0.0-3.0-0.29","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","761","Peter drove away and David came back inside.",">5.25","","3","null"
"4727","{""Q0"":1}","survey-likert","33","438792","0.0-3.0-0.30","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","156","What do you want to hear from me?","<2.25","","2","null"
"16352","{""Q0"":3}","survey-likert","34","455146","0.0-3.0-0.31","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","408","I opened the heavy door and looked inside.","3.25-4.25","","4","null"
"10204","{""Q0"":4}","survey-likert","35","465353","0.0-3.0-0.32","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","642","It stems from a primal attraction for shelter.",">5.25","","5","null"
"5459","{""Q0"":2}","survey-likert","36","470816","0.0-3.0-0.33","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","86","That's just the way it is for me.","<2.25","","3","null"
"6652","{""Q0"":4}","survey-likert","37","477471","0.0-3.0-0.34","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","621","I set the girl down by the others.","4.25-5.25","","5","null"
"4213","{""Q0"":6}","survey-likert","38","481687","0.0-3.0-0.35","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","575","He smiled when he saw the shadows part.","4.25-5.25","","7","null"
"7868","{""Q0"":1}","survey-likert","39","489557","0.0-3.0-0.36","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","571","The next morning she was literally shaken awake.","4.25-5.25","","2","null"
"27838","{""Q0"":4}","survey-likert","40","517398","0.0-3.0-0.37","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","114","Well, you can sleep here if you want.","<2.25","","5","null"
"7361","{""Q0"":3}","survey-likert","41","524763","0.0-3.0-0.38","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","781","That one moment could erase all you've accomplished.",">5.25","","4","null"
"7886","{""Q0"":1}","survey-likert","42","532652","0.0-3.0-0.39","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","503","She was almost twelve, her passions yet unfettered.","4.25-5.25","","2","null"
"5786","{""Q0"":2}","survey-likert","43","538440","0.0-3.0-0.40","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","500","Jane heaved her paperwork out of the kitchen.","4.25-5.25","","3","null"
"3740","{""Q0"":2}","survey-likert","44","542183","0.0-3.0-0.41","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_40","This is an attention check. Please click 3.","attention_check","3","3","true"
"15630","{""Q0"":4}","survey-likert","45","557815","0.0-3.0-0.42","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","583","He served briefly as a superior court judge.","4.25-5.25","","5","null"
"6854","{""Q0"":1}","survey-likert","46","564672","0.0-3.0-0.43","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","174","She closed the door and leaned against it.","2.25-3.25","","2","null"
"5373","{""Q0"":0}","survey-likert","47","570049","0.0-3.0-0.44","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","75","How dare you speak to me like that?","<2.25","","1","null"
"4509","{""Q0"":2}","survey-likert","48","574561","0.0-3.0-0.45","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","414","I am one step away from saying that","3.25-4.25","","3","null"
"5317","{""Q0"":3}","survey-likert","49","579881","0.0-3.0-0.46","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","167","He walked to the window and looked out.","2.25-3.25","","4","null"
"8862","{""Q0"":1}","survey-likert","50","588746","0.0-3.0-0.47","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","623","Why had just those two not been found?","4.25-5.25","","2","null"
"5056","{""Q0"":3}","survey-likert","51","593806","0.0-3.0-0.48","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","119","Here is what I want you to do.","<2.25","","4","null"
"6735","{""Q0"":5}","survey-likert","52","600543","0.0-3.0-0.49","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","309","It is the only member of its genus.","2.25-3.25","","6","null"
"10528","{""Q0"":5}","survey-likert","53","611074","0.0-3.0-0.50","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","482","His scientific publications were focused on string theory.","4.25-5.25","","6","null"
"5125","{""Q0"":6}","survey-likert","54","616202","0.0-3.0-0.51","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","731","He would arrive tomorrow, exciting her beyond belief.",">5.25","","7","null"
"7291","{""Q0"":4}","survey-likert","55","623496","0.0-3.0-0.52","64573b49f7101123b3ef0407","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","385","It's the most accurate way to verify information.","3.25-4.25","","5","null"
