"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6778","{""Q0"":""6655087174a66ba157a211f3""}","survey-text","0","6791","0.0-0.0","6655087174a66ba157a211f3","","","","","","","","","","","",""
"6262","0","html-button-response","1","13054","0.0-1.0","6655087174a66ba157a211f3","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"16071","0","html-button-response","2","29126","0.0-2.0","6655087174a66ba157a211f3","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10599","{""Q0"":0}","survey-likert","3","39726","0.0-3.0-0.0","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","108","What do you do to make ends meet?","<2.25","","1","null"
"6111","{""Q0"":0}","survey-likert","4","45838","0.0-3.0-0.1","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","1","null"
"4847","{""Q0"":0}","survey-likert","5","50686","0.0-3.0-0.2","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","774","The sheep turn round and charge the shepherd?",">5.25","","1","null"
"4759","{""Q0"":0}","survey-likert","6","55446","0.0-3.0-0.3","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","783","There was more chatter and tapping of watches.",">5.25","","1","null"
"4847","{""Q0"":3}","survey-likert","7","60294","0.0-3.0-0.4","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","166","I'd love to hear about what you're doing.","2.25-3.25","","4","null"
"8335","{""Q0"":1}","survey-likert","8","68630","0.0-3.0-0.5","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","2","null"
"3751","{""Q0"":0}","survey-likert","9","72382","0.0-3.0-0.6","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","1","null"
"3959","{""Q0"":5}","survey-likert","10","76342","0.0-3.0-0.7","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","541","Music and laughter came from inside the shop.","4.25-5.25","","6","null"
"3599","{""Q0"":0}","survey-likert","11","79942","0.0-3.0-0.8","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","324","She turned her attention back to the furnishings.","3.25-4.25","","1","null"
"3303","{""Q0"":0}","survey-likert","12","83246","0.0-3.0-0.9","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","1","null"
"3903","{""Q0"":0}","survey-likert","13","87150","0.0-3.0-0.10","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","27","Sir, would you like to leave a message?","<2.25","","1","null"
"4207","{""Q0"":0}","survey-likert","14","91357","0.0-3.0-0.11","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","1","null"
"3271","{""Q0"":3}","survey-likert","15","94629","0.0-3.0-0.12","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","778","That was very interesting research George was doing!",">5.25","","4","null"
"4151","{""Q0"":4}","survey-likert","16","98781","0.0-3.0-0.13","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","619","The next morning found him eager to begin.","4.25-5.25","","5","null"
"7255","{""Q0"":3}","survey-likert","17","106037","0.0-3.0-0.14","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","708","The guy most likely looked at life simply.",">5.25","","4","null"
"3511","{""Q0"":0}","survey-likert","18","109549","0.0-3.0-0.15","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","438","Footsteps moved toward them up the side street.","3.25-4.25","","1","null"
"4423","{""Q0"":0}","survey-likert","19","113973","0.0-3.0-0.16","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","381","The flow of data is returning to normal.","3.25-4.25","","1","null"
"2855","{""Q0"":0}","survey-likert","20","116829","0.0-3.0-0.17","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","333","He looked at the poster on the wall.","3.25-4.25","","1","null"
"3511","{""Q0"":0}","survey-likert","21","120341","0.0-3.0-0.18","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","688","I watched him head to the other barn.",">5.25","","1","null"
"6167","{""Q0"":1}","survey-likert","22","126509","0.0-3.0-0.19","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","43","Call me when you get close, all right?","<2.25","","2","null"
"4671","{""Q0"":3}","survey-likert","23","131181","0.0-3.0-0.20","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"4511","{""Q0"":0}","survey-likert","24","135693","0.0-3.0-0.21","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","204","If I get any information, I'll call you.","2.25-3.25","","1","null"
"4383","{""Q0"":0}","survey-likert","25","140077","0.0-3.0-0.22","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","679","Other passengers reviewed shopping lists and read books.",">5.25","","1","null"
"3351","{""Q0"":0}","survey-likert","26","143429","0.0-3.0-0.23","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","134","No, that's not the way I see it.","<2.25","","1","null"
"4583","{""Q0"":0}","survey-likert","27","148013","0.0-3.0-0.24","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","409","It would be like believing in the postman.","3.25-4.25","","1","null"
"3591","{""Q0"":3}","survey-likert","28","151605","0.0-3.0-0.25","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","734","I laughed too, loving his delightful British accent.",">5.25","","4","null"
"7503","{""Q0"":0}","survey-likert","29","159109","0.0-3.0-0.26","6655087174a66ba157a211f3","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","178","It was the way it had always been.","2.25-3.25","","1","null"
