"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3079","{""Q0"":""6a2457af4fcb35dd5633e865""}","survey-text","0","3086","0.0-0.0","6a2457af4fcb35dd5633e865","","","","","","","","","","","",""
"4103","0","html-button-response","1","7190","0.0-1.0","6a2457af4fcb35dd5633e865","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"13095","0","html-button-response","2","20285","0.0-2.0","6a2457af4fcb35dd5633e865","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"4007","{""Q0"":4}","survey-likert","3","24294","0.0-3.0-0.0","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","117","Now, why did you ask to see me?","<2.25","","5","null"
"3424","{""Q0"":4}","survey-likert","4","27719","0.0-3.0-0.1","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","726","Or pretend we run an imaginary puppy store?",">5.25","","5","null"
"4023","{""Q0"":4}","survey-likert","5","31743","0.0-3.0-0.2","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","717","The crystals all over his car were growing.",">5.25","","5","null"
"2968","{""Q0"":4}","survey-likert","6","34712","0.0-3.0-0.3","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","5","null"
"2527","{""Q0"":5}","survey-likert","7","37240","0.0-3.0-0.4","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","249","I was just giving you a hard time.","2.25-3.25","","6","null"
"2208","{""Q0"":5}","survey-likert","8","39448","0.0-3.0-0.5","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","316","I could not believe what they were saying.","2.25-3.25","","6","null"
"2920","{""Q0"":5}","survey-likert","9","42369","0.0-3.0-0.6","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","6","null"
"2367","{""Q0"":4}","survey-likert","10","44737","0.0-3.0-0.7","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","800","Cass stands there looking at him march away.",">5.25","","5","null"
"5234","{""Q0"":0}","survey-likert","11","49972","0.0-3.0-0.8","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","605","It means methane gas leeching from the soil.","4.25-5.25","","1","null"
"2623","{""Q0"":1}","survey-likert","12","52596","0.0-3.0-0.9","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","795","Something ancient stirred far off in the forest.",">5.25","","2","null"
"3224","{""Q0"":0}","survey-likert","13","55821","0.0-3.0-0.10","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","695","This development enabled the emergence of secondary consciousness.",">5.25","","1","null"
"3311","{""Q0"":1}","survey-likert","14","59133","0.0-3.0-0.11","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","2","null"
"2401","{""Q0"":4}","survey-likert","15","61535","0.0-3.0-0.12","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","5","null"
"1927","{""Q0"":5}","survey-likert","16","63463","0.0-3.0-0.13","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","412","Can you see the spring in his step?","3.25-4.25","","6","null"
"7033","{""Q0"":2}","survey-likert","17","70496","0.0-3.0-0.14","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","382","I feel a new sun on my skin","3.25-4.25","","3","null"
"2167","{""Q0"":2}","survey-likert","18","72664","0.0-3.0-0.15","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","585","I did get a lot accomplished this week.","4.25-5.25","","3","null"
"2311","{""Q0"":4}","survey-likert","19","74976","0.0-3.0-0.16","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","21","I don't know what to do with you.","<2.25","","5","null"
"1928","{""Q0"":2}","survey-likert","20","76905","0.0-3.0-0.17","6a2457af4fcb35dd5633e865","","[0]","","5","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","36","I think I'm going to go to bed.","<2.25","","3","null"
