"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"2194","{""Q0"":""6942e666a1c586377a926f4d""}","survey-text","0","2205","0.0-0.0","6942e666a1c586377a926f4d","","","","","","","","","","","",""
"3745","0","html-button-response","1","5952","0.0-1.0","6942e666a1c586377a926f4d","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"18519","0","html-button-response","2","24472","0.0-2.0","6942e666a1c586377a926f4d","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5979","{""Q0"":2}","survey-likert","3","30453","0.0-3.0-0.0","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","743","She noticed his particular attitude and his attention.",">5.25","","3","null"
"4598","{""Q0"":0}","survey-likert","4","35052","0.0-3.0-0.1","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","762","And now, Logan had stirred the pot again.",">5.25","","1","null"
"4232","{""Q0"":0}","survey-likert","5","39285","0.0-3.0-0.2","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"6215","{""Q0"":4}","survey-likert","6","45502","0.0-3.0-0.3","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","682","He resisted checking his notebook, determined to impress.",">5.25","","5","null"
"3664","{""Q0"":0}","survey-likert","7","49168","0.0-3.0-0.4","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","423","It is time to meet with the duke.","3.25-4.25","","1","null"
"4748","{""Q0"":0}","survey-likert","8","53917","0.0-3.0-0.5","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"5667","{""Q0"":1}","survey-likert","9","59585","0.0-3.0-0.6","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","2","null"
"4298","{""Q0"":1}","survey-likert","10","63885","0.0-3.0-0.7","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","70","There's a message for you at the office.","<2.25","","2","null"
"5399","{""Q0"":2}","survey-likert","11","69285","0.0-3.0-0.8","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","253","That could only mean one of three things.","2.25-3.25","","3","null"
"4198","{""Q0"":2}","survey-likert","12","73485","0.0-3.0-0.9","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","127","You know that as well as I do.","<2.25","","3","null"
"5398","{""Q0"":0}","survey-likert","13","78885","0.0-3.0-0.10","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","686","The terminal palps are covered with substantial feathers.",">5.25","","1","null"
"4182","{""Q0"":0}","survey-likert","14","83068","0.0-3.0-0.11","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","1","null"
"3632","{""Q0"":1}","survey-likert","15","86702","0.0-3.0-0.12","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","2","null"
"4115","{""Q0"":4}","survey-likert","16","90818","0.0-3.0-0.13","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","448","She hurried to catch up with the others.","3.25-4.25","","5","null"
"2948","{""Q0"":1}","survey-likert","17","93768","0.0-3.0-0.14","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","697","She shoved her paper over at the boy.",">5.25","","2","null"
"4532","{""Q0"":4}","survey-likert","18","98302","0.0-3.0-0.15","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","434","It went against everything that he was taught.","3.25-4.25","","5","null"
"3982","{""Q0"":2}","survey-likert","19","102285","0.0-3.0-0.16","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","773","Shipment of grub worms coming in first thing.",">5.25","","3","null"
"4865","{""Q0"":1}","survey-likert","20","107151","0.0-3.0-0.17","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","465","They all cast nervous glances at each other.","3.25-4.25","","2","null"
"3333","{""Q0"":5}","survey-likert","21","110485","0.0-3.0-0.18","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","383","The four grown-ups were seated around the table.","3.25-4.25","","6","null"
"3014","{""Q0"":4}","survey-likert","22","113501","0.0-3.0-0.19","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","432","There's one coming along the path right now.","3.25-4.25","","5","null"
"2183","{""Q0"":1}","survey-likert","23","115685","0.0-3.0-0.20","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"5815","{""Q0"":3}","survey-likert","24","121501","0.0-3.0-0.21","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","524","She threw the whole amount into that fund.","4.25-5.25","","4","null"
"4698","{""Q0"":1}","survey-likert","25","126201","0.0-3.0-0.22","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","2","null"
"5532","{""Q0"":2}","survey-likert","26","131735","0.0-3.0-0.23","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","663","The three women shared a harsh, knowing laugh.",">5.25","","3","null"
"2998","{""Q0"":4}","survey-likert","27","134734","0.0-3.0-0.24","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","356","It had been snowing nonstop for a week.","3.25-4.25","","5","null"
"3765","{""Q0"":5}","survey-likert","28","138501","0.0-3.0-0.25","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","546","Through all the confusion came an overwhelming clarity.","4.25-5.25","","6","null"
"3032","{""Q0"":4}","survey-likert","29","141535","0.0-3.0-0.26","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","602","She lifted the goblet and toasted her employer.","4.25-5.25","","5","null"
"3565","{""Q0"":1}","survey-likert","30","145101","0.0-3.0-0.27","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","348","The craggy-faced man was leaning on a stick.","3.25-4.25","","2","null"
"2365","{""Q0"":0}","survey-likert","31","147468","0.0-3.0-0.28","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","406","I reached my limit a long time ago.","3.25-4.25","","1","null"
"3798","{""Q0"":0}","survey-likert","32","151267","0.0-3.0-0.29","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","523","The separation was almost too painful to stand.","4.25-5.25","","1","null"
"3832","{""Q0"":3}","survey-likert","33","155100","0.0-3.0-0.30","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","192","Before I go, there's something I should say.","2.25-3.25","","4","null"
"4483","{""Q0"":4}","survey-likert","34","159584","0.0-3.0-0.31","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","461","Not a wiggling, mewing black and white kitten.","3.25-4.25","","5","null"
"2632","{""Q0"":6}","survey-likert","35","162218","0.0-3.0-0.32","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","797","A genuine smile rides low on her lips.",">5.25","","7","null"
"3282","{""Q0"":0}","survey-likert","36","165501","0.0-3.0-0.33","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","757","She considered pretending she was asleep or gone.",">5.25","","1","null"
"3015","{""Q0"":0}","survey-likert","37","168518","0.0-3.0-0.34","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","519","So now you suddenly care about my future?","4.25-5.25","","1","null"
"2999","{""Q0"":4}","survey-likert","38","171518","0.0-3.0-0.35","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","3","Why are you looking at me like that?","<2.25","","5","null"
"4082","{""Q0"":4}","survey-likert","39","175601","0.0-3.0-0.36","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","529","We can presume that that was no coincidence.","4.25-5.25","","5","null"
"3631","{""Q0"":1}","survey-likert","40","179235","0.0-3.0-0.37","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","98","Suddenly, I saw a look in his eyes.","<2.25","","2","null"
"3432","{""Q0"":1}","survey-likert","41","182668","0.0-3.0-0.38","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","10","I'll tell you what I'm going to do.","<2.25","","2","null"
"4232","{""Q0"":5}","survey-likert","42","186902","0.0-3.0-0.39","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","56","I know how important this is to you.","<2.25","","6","null"
"4031","{""Q0"":3}","survey-likert","43","190934","0.0-3.0-0.40","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","278","I just need to be alone, you know?","2.25-3.25","","4","null"
"1800","{""Q0"":2}","survey-likert","44","192734","0.0-3.0-0.41","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_40","This is an attention check. Please click 3.","attention_check","3","3","true"
"3516","{""Q0"":2}","survey-likert","45","196251","0.0-3.0-0.42","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","447","There was a feverish intensity in the words.","3.25-4.25","","3","null"
"4631","{""Q0"":1}","survey-likert","46","200884","0.0-3.0-0.43","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","376","The wind stirred the branches of the tree.","3.25-4.25","","2","null"
"5165","{""Q0"":4}","survey-likert","47","206051","0.0-3.0-0.44","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","350","He heaved a sigh and swallowed his pride.","3.25-4.25","","5","null"
"23366","{""Q0"":5}","survey-likert","48","229418","0.0-3.0-0.45","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","676","He has aerial work and aircraft testing experience.",">5.25","","6","null"
"4982","{""Q0"":1}","survey-likert","49","234401","0.0-3.0-0.46","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","586","I knew my history, limited as it was.","4.25-5.25","","2","null"
"3848","{""Q0"":3}","survey-likert","50","238251","0.0-3.0-0.47","6942e666a1c586377a926f4d","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","371","The creature didn't look anything like a werewolf.","3.25-4.25","","4","null"
