"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"14926","{""Q0"":""65c2918667159a6c2d475b03""}","survey-text","0","14948","0.0-0.0","65c2918667159a6c2d475b03","","","","","","","","","","","",""
"14136","0","html-button-response","1","29086","0.0-1.0","65c2918667159a6c2d475b03","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"29049","0","html-button-response","2","58136","0.0-2.0","65c2918667159a6c2d475b03","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9798","{""Q0"":0}","survey-likert","3","67937","0.0-3.0-0.0","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"4270","{""Q0"":0}","survey-likert","4","72209","0.0-3.0-0.1","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","1","null"
"3831","{""Q0"":0}","survey-likert","5","76042","0.0-3.0-0.2","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"6966","{""Q0"":0}","survey-likert","6","83010","0.0-3.0-0.3","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","1","null"
"3383","{""Q0"":0}","survey-likert","7","86395","0.0-3.0-0.4","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","1","null"
"4624","{""Q0"":0}","survey-likert","8","91021","0.0-3.0-0.5","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"5134","{""Q0"":3}","survey-likert","9","96156","0.0-3.0-0.6","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","4","null"
"7159","{""Q0"":2}","survey-likert","10","103317","0.0-3.0-0.7","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","70","There's a message for you at the office.","<2.25","","3","null"
"3151","{""Q0"":0}","survey-likert","11","106469","0.0-3.0-0.8","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","253","That could only mean one of three things.","2.25-3.25","","1","null"
"3360","{""Q0"":0}","survey-likert","12","109830","0.0-3.0-0.9","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","127","You know that as well as I do.","<2.25","","1","null"
"8183","{""Q0"":2}","survey-likert","13","118015","0.0-3.0-0.10","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","686","The terminal palps are covered with substantial feathers.",">5.25","","3","null"
"4600","{""Q0"":0}","survey-likert","14","122616","0.0-3.0-0.11","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","1","null"
"3663","{""Q0"":4}","survey-likert","15","126280","0.0-3.0-0.12","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","5","null"
"5800","{""Q0"":1}","survey-likert","16","132083","0.0-3.0-0.13","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","448","She hurried to catch up with the others.","3.25-4.25","","2","null"
"3582","{""Q0"":0}","survey-likert","17","135666","0.0-3.0-0.14","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","697","She shoved her paper over at the boy.",">5.25","","1","null"
"3310","{""Q0"":0}","survey-likert","18","138978","0.0-3.0-0.15","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","434","It went against everything that he was taught.","3.25-4.25","","1","null"
"4599","{""Q0"":2}","survey-likert","19","143578","0.0-3.0-0.16","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","773","Shipment of grub worms coming in first thing.",">5.25","","3","null"
"20348","{""Q0"":0}","survey-likert","20","163928","0.0-3.0-0.17","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","465","They all cast nervous glances at each other.","3.25-4.25","","1","null"
"4759","{""Q0"":2}","survey-likert","21","168689","0.0-3.0-0.18","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","383","The four grown-ups were seated around the table.","3.25-4.25","","3","null"
"5008","{""Q0"":5}","survey-likert","22","173698","0.0-3.0-0.19","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","432","There's one coming along the path right now.","3.25-4.25","","6","null"
"3224","{""Q0"":1}","survey-likert","23","176923","0.0-3.0-0.20","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"3774","{""Q0"":0}","survey-likert","24","180699","0.0-3.0-0.21","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","524","She threw the whole amount into that fund.","4.25-5.25","","1","null"
"4038","{""Q0"":4}","survey-likert","25","184739","0.0-3.0-0.22","65c2918667159a6c2d475b03","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","5","null"
