"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"21403","{""Q0"":""6a078c84e91845990ebc8cb2""}","survey-text","0","21445","0.0-0.0","6a078c84e91845990ebc8cb2","","","","","","","","","","","",""
"8755","0","html-button-response","1","30204","0.0-1.0","6a078c84e91845990ebc8cb2","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"29601","0","html-button-response","2","59814","0.0-2.0","6a078c84e91845990ebc8cb2","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"13166","{""Q0"":5}","survey-likert","3","73002","0.0-3.0-0.0","6a078c84e91845990ebc8cb2","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","743","She noticed his particular attitude and his attention.",">5.25","","6","null"
"3735","{""Q0"":5}","survey-likert","4","76743","0.0-3.0-0.1","6a078c84e91845990ebc8cb2","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","762","And now, Logan had stirred the pot again.",">5.25","","6","null"
"3347","{""Q0"":6}","survey-likert","5","80095","0.0-3.0-0.2","6a078c84e91845990ebc8cb2","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","7","null"
"3504","{""Q0"":6}","survey-likert","6","83607","0.0-3.0-0.3","6a078c84e91845990ebc8cb2","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","682","He resisted checking his notebook, determined to impress.",">5.25","","7","null"
"3684","{""Q0"":3}","survey-likert","7","87293","0.0-3.0-0.4","6a078c84e91845990ebc8cb2","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","423","It is time to meet with the duke.","3.25-4.25","","4","null"
"7484","{""Q0"":2}","survey-likert","8","94782","0.0-3.0-0.5","6a078c84e91845990ebc8cb2","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","551","You have acquired this power in two days?","4.25-5.25","","3","null"
"4505","{""Q0"":1}","survey-likert","9","99289","0.0-3.0-0.6","6a078c84e91845990ebc8cb2","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","2","null"
