"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"14084","{""Q0"":""6982fc304b8a81e87d40e5bd""}","survey-text","0","14394","0.0-0.0","6982fc304b8a81e87d40e5bd","","","","","","","","","","","",""
"2263","0","html-button-response","1","16662","0.0-1.0","6982fc304b8a81e87d40e5bd","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"148124","0","html-button-response","2","164791","0.0-2.0","6982fc304b8a81e87d40e5bd","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11946","{""Q0"":5}","survey-likert","3","176748","0.0-3.0-0.0","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","451","You let greed get the better of you.","3.25-4.25","","6","null"
"7072","{""Q0"":6}","survey-likert","4","183825","0.0-3.0-0.1","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","362","It reminded her of her heart, her soul.","3.25-4.25","","7","null"
"5381","{""Q0"":5}","survey-likert","5","189210","0.0-3.0-0.2","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","622","She started to look uncomfortable then hid it.","4.25-5.25","","6","null"
"7428","{""Q0"":6}","survey-likert","6","196644","0.0-3.0-0.3","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","426","The thought of using makeup made her shiver.","3.25-4.25","","7","null"
"6294","{""Q0"":5}","survey-likert","7","202943","0.0-3.0-0.4","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","181","Don't let your guard down for a moment.","2.25-3.25","","6","null"
"11995","{""Q0"":6}","survey-likert","8","214943","0.0-3.0-0.5","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","456","A smile worked its way to her lips.","3.25-4.25","","7","null"
"7850","{""Q0"":5}","survey-likert","9","222797","0.0-3.0-0.6","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","220","What a day this was going to be!","2.25-3.25","","6","null"
"4052","{""Q0"":5}","survey-likert","10","226854","0.0-3.0-0.7","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","152","I am not going to talk about it.","<2.25","","6","null"
"5831","{""Q0"":5}","survey-likert","11","232689","0.0-3.0-0.8","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","460","He's so busy lately I hardly see him.","3.25-4.25","","6","null"
"10038","{""Q0"":6}","survey-likert","12","242733","0.0-3.0-0.9","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","281","What's this amazing thing that's happening to her?","2.25-3.25","","7","null"
"16227","{""Q0"":5}","survey-likert","13","258962","0.0-3.0-0.10","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","725","The assembly also sometimes is about moral teaching.",">5.25","","6","null"
"9043","{""Q0"":6}","survey-likert","14","268007","0.0-3.0-0.11","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","121","That's what I am trying to tell you.","<2.25","","7","null"
"5499","{""Q0"":0}","survey-likert","15","273512","0.0-3.0-0.12","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","351","It was as if the darkness itself thickened.","3.25-4.25","","1","null"
"7528","{""Q0"":0}","survey-likert","16","281043","0.0-3.0-0.13","6982fc304b8a81e87d40e5bd","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","559","He pointed out the device on the shield.","4.25-5.25","","1","null"
