"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5608","{""Q0"":""67286b26eda1a73d19160079""}","survey-text","0","5662","0.0-0.0","67286b26eda1a73d19160079","","","","","","","","","","","",""
"16770","0","html-button-response","1","22439","0.0-1.0","67286b26eda1a73d19160079","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"51810","0","html-button-response","2","74250","0.0-2.0","67286b26eda1a73d19160079","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9757","{""Q0"":0}","survey-likert","3","84018","0.0-3.0-0.0","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","1","null"
"7089","{""Q0"":0}","survey-likert","4","91114","0.0-3.0-0.1","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","696","Relief swept through her when she found one.",">5.25","","1","null"
"10121","{""Q0"":6}","survey-likert","5","101244","0.0-3.0-0.2","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","404","There is a little white at the base.","3.25-4.25","","7","null"
"5913","{""Q0"":0}","survey-likert","6","107159","0.0-3.0-0.3","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","398","What did you put for your best feature?","3.25-4.25","","1","null"
"7044","{""Q0"":0}","survey-likert","7","114206","0.0-3.0-0.4","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","81","I want you to have a good time.","<2.25","","1","null"
"8026","{""Q0"":0}","survey-likert","8","122242","0.0-3.0-0.5","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","42","It's the logical thing to do, isn't it?","<2.25","","1","null"
"4906","{""Q0"":0}","survey-likert","9","127154","0.0-3.0-0.6","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","145","Truth is, I don't know what to say.","<2.25","","1","null"
"6257","{""Q0"":1}","survey-likert","10","133414","0.0-3.0-0.7","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","55","You were right, you were right all along.","<2.25","","2","null"
"12061","{""Q0"":3}","survey-likert","11","145482","0.0-3.0-0.8","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","4","null"
"6162","{""Q0"":0}","survey-likert","12","151647","0.0-3.0-0.9","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","159","That's exactly what I want you to do.","<2.25","","1","null"
"5471","{""Q0"":0}","survey-likert","13","157127","0.0-3.0-0.10","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","471","It seems the rumors were not far off.","3.25-4.25","","1","null"
"8011","{""Q0"":1}","survey-likert","14","165144","0.0-3.0-0.11","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","668","Elizabeth was sorting jars and tins of food.",">5.25","","2","null"
"8063","{""Q0"":5}","survey-likert","15","173218","0.0-3.0-0.12","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","286","Did you see an animal of any kind?","2.25-3.25","","6","null"
"3687","{""Q0"":0}","survey-likert","16","176916","0.0-3.0-0.13","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","258","I wonder how long I have been away.","2.25-3.25","","1","null"
"13987","{""Q0"":5}","survey-likert","17","190911","0.0-3.0-0.14","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","582","Then, she filled a bucket for her horse.","4.25-5.25","","6","null"
"5923","{""Q0"":0}","survey-likert","18","196837","0.0-3.0-0.15","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","202","He'd want to know as soon as possible.","2.25-3.25","","1","null"
"4416","{""Q0"":0}","survey-likert","19","201259","0.0-3.0-0.16","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","193","I was supposed to be doing something else.","2.25-3.25","","1","null"
"7494","{""Q0"":5}","survey-likert","20","208760","0.0-3.0-0.17","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","522","Expensive furniture and paintings filled room after room.","4.25-5.25","","6","null"
"12751","{""Q0"":1}","survey-likert","21","221521","0.0-3.0-0.18","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","498","Very little is known about his sumo career.","4.25-5.25","","2","null"
"4226","{""Q0"":1}","survey-likert","22","225763","0.0-3.0-0.19","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","23","May I buy you a cup of coffee?","<2.25","","2","null"
"6626","{""Q0"":0}","survey-likert","23","232398","0.0-3.0-0.20","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"7069","{""Q0"":1}","survey-likert","24","239474","0.0-3.0-0.21","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","331","Was there anything left for me to find?","3.25-4.25","","2","null"
"10061","{""Q0"":0}","survey-likert","25","249537","0.0-3.0-0.22","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","38","Are you sure you want to see it?","<2.25","","1","null"
"6638","{""Q0"":0}","survey-likert","26","256182","0.0-3.0-0.23","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","367","When you are down, your money is sad.","3.25-4.25","","1","null"
"8132","{""Q0"":1}","survey-likert","27","264321","0.0-3.0-0.24","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","678","My lungs felt dusty from all the books.",">5.25","","2","null"
"7054","{""Q0"":5}","survey-likert","28","271387","0.0-3.0-0.25","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","248","Slowly I was getting used to the dark.","2.25-3.25","","6","null"
"8203","{""Q0"":1}","survey-likert","29","279592","0.0-3.0-0.26","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","504","Slowly, a faint energy signature started to resonate.","4.25-5.25","","2","null"
"3773","{""Q0"":5}","survey-likert","30","283368","0.0-3.0-0.27","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","58","Hey, what do you think of these boots?","<2.25","","6","null"
"7150","{""Q0"":5}","survey-likert","31","290522","0.0-3.0-0.28","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","689","The absence of water dripping indicated a column.",">5.25","","6","null"
"4855","{""Q0"":0}","survey-likert","32","295384","0.0-3.0-0.29","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","247","I didn't want to say goodbye to anyone.","2.25-3.25","","1","null"
"3383","{""Q0"":0}","survey-likert","33","298769","0.0-3.0-0.30","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","45","Yes, this is what I wanted to say.","<2.25","","1","null"
"5014","{""Q0"":0}","survey-likert","34","303786","0.0-3.0-0.31","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","515","Here is the six month's increase in advance.","4.25-5.25","","1","null"
"4199","{""Q0"":1}","survey-likert","35","307988","0.0-3.0-0.32","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","303","Your grandmother took care of that for you.","2.25-3.25","","2","null"
"10326","{""Q0"":1}","survey-likert","36","318321","0.0-3.0-0.33","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","790","Matt replaced the receiver and returned to Sue.",">5.25","","2","null"
"7205","{""Q0"":1}","survey-likert","37","325535","0.0-3.0-0.34","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","779","Something lead singers in rock bands wouldn't get.",">5.25","","2","null"
"4215","{""Q0"":0}","survey-likert","38","329759","0.0-3.0-0.35","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","8","Are you sure you want to do this?","<2.25","","1","null"
"4519","{""Q0"":0}","survey-likert","39","334281","0.0-3.0-0.36","67286b26eda1a73d19160079","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","241","She was working as quickly as she could.","2.25-3.25","","1","null"
