"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11845","{""Q0"":""65e48fd0230ec826e5cca981""}","survey-text","0","11867","0.0-0.0","65e48fd0230ec826e5cca981","","","","","","","","","","","",""
"2833","0","html-button-response","1","14703","0.0-1.0","65e48fd0230ec826e5cca981","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"43761","0","html-button-response","2","58465","0.0-2.0","65e48fd0230ec826e5cca981","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"37278","{""Q0"":0}","survey-likert","3","95746","0.0-3.0-0.0","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","451","You let greed get the better of you.","3.25-4.25","","1","null"
"23204","{""Q0"":1}","survey-likert","4","118952","0.0-3.0-0.1","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","362","It reminded her of her heart, her soul.","3.25-4.25","","2","null"
"22196","{""Q0"":3}","survey-likert","5","141150","0.0-3.0-0.2","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","622","She started to look uncomfortable then hid it.","4.25-5.25","","4","null"
"25227","{""Q0"":3}","survey-likert","6","166379","0.0-3.0-0.3","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","426","The thought of using makeup made her shiver.","3.25-4.25","","4","null"
"22921","{""Q0"":0}","survey-likert","7","189301","0.0-3.0-0.4","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","181","Don't let your guard down for a moment.","2.25-3.25","","1","null"
"21028","{""Q0"":5}","survey-likert","8","210331","0.0-3.0-0.5","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","456","A smile worked its way to her lips.","3.25-4.25","","6","null"
"23421","{""Q0"":0}","survey-likert","9","233755","0.0-3.0-0.6","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","220","What a day this was going to be!","2.25-3.25","","1","null"
"19825","{""Q0"":1}","survey-likert","10","253582","0.0-3.0-0.7","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","152","I am not going to talk about it.","<2.25","","2","null"
"26130","{""Q0"":1}","survey-likert","11","279713","0.0-3.0-0.8","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","460","He's so busy lately I hardly see him.","3.25-4.25","","2","null"
"18883","{""Q0"":2}","survey-likert","12","298598","0.0-3.0-0.9","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","281","What's this amazing thing that's happening to her?","2.25-3.25","","3","null"
"22273","{""Q0"":1}","survey-likert","13","320873","0.0-3.0-0.10","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","725","The assembly also sometimes is about moral teaching.",">5.25","","2","null"
"19049","{""Q0"":1}","survey-likert","14","339924","0.0-3.0-0.11","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","121","That's what I am trying to tell you.","<2.25","","2","null"
"18216","{""Q0"":4}","survey-likert","15","358142","0.0-3.0-0.12","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","351","It was as if the darkness itself thickened.","3.25-4.25","","5","null"
"4966","{""Q0"":5}","survey-likert","16","363110","0.0-3.0-0.13","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","559","He pointed out the device on the shield.","4.25-5.25","","6","null"
"7407","{""Q0"":2}","survey-likert","17","370518","0.0-3.0-0.14","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","100","As you can see, it is quite large.","<2.25","","3","null"
"5670","{""Q0"":1}","survey-likert","18","376189","0.0-3.0-0.15","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","164","We need to take it a step further.","2.25-3.25","","2","null"
"6512","{""Q0"":3}","survey-likert","19","382703","0.0-3.0-0.16","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","683","The air traffic control center functions without these.",">5.25","","4","null"
"11616","{""Q0"":3}","survey-likert","20","394320","0.0-3.0-0.17","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","32","I want you to be my best man.","<2.25","","4","null"
"6241","{""Q0"":2}","survey-likert","21","400563","0.0-3.0-0.18","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","3","null"
"6179","{""Q0"":3}","survey-likert","22","406743","0.0-3.0-0.19","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","672","The metal collects charged particles, drawing a current.",">5.25","","4","null"
"3796","{""Q0"":2}","survey-likert","23","410541","0.0-3.0-0.20","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"6836","{""Q0"":1}","survey-likert","24","417378","0.0-3.0-0.21","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","612","He knows what happened at the shirt place.","4.25-5.25","","2","null"
"3992","{""Q0"":2}","survey-likert","25","421372","0.0-3.0-0.22","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","41","You're going to have to talk to them.","<2.25","","3","null"
"6288","{""Q0"":1}","survey-likert","26","427661","0.0-3.0-0.23","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","54","Would you like to come back one day?","<2.25","","2","null"
"10527","{""Q0"":3}","survey-likert","27","438190","0.0-3.0-0.24","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","445","She took not one more step toward him.","3.25-4.25","","4","null"
"7309","{""Q0"":1}","survey-likert","28","445500","0.0-3.0-0.25","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","718","All three anchor stores are on one level.",">5.25","","2","null"
"6876","{""Q0"":4}","survey-likert","29","452378","0.0-3.0-0.26","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","346","He leaned forward, looking directly at the president.","3.25-4.25","","5","null"
"5748","{""Q0"":1}","survey-likert","30","458128","0.0-3.0-0.27","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","538","The platform carried us to the surface again.","4.25-5.25","","2","null"
"6809","{""Q0"":0}","survey-likert","31","464938","0.0-3.0-0.28","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","793","A short row of stores lay directly ahead.",">5.25","","1","null"
"4355","{""Q0"":4}","survey-likert","32","469295","0.0-3.0-0.29","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","761","Peter drove away and David came back inside.",">5.25","","5","null"
"25826","{""Q0"":1}","survey-likert","33","495123","0.0-3.0-0.30","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","156","What do you want to hear from me?","<2.25","","2","null"
"4679","{""Q0"":5}","survey-likert","34","499804","0.0-3.0-0.31","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","408","I opened the heavy door and looked inside.","3.25-4.25","","6","null"
"5562","{""Q0"":1}","survey-likert","35","505368","0.0-3.0-0.32","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","642","It stems from a primal attraction for shelter.",">5.25","","2","null"
"6122","{""Q0"":0}","survey-likert","36","511492","0.0-3.0-0.33","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","86","That's just the way it is for me.","<2.25","","1","null"
"4334","{""Q0"":5}","survey-likert","37","515828","0.0-3.0-0.34","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","621","I set the girl down by the others.","4.25-5.25","","6","null"
"4118","{""Q0"":3}","survey-likert","38","519948","0.0-3.0-0.35","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","575","He smiled when he saw the shadows part.","4.25-5.25","","4","null"
"11707","{""Q0"":4}","survey-likert","39","531656","0.0-3.0-0.36","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","571","The next morning she was literally shaken awake.","4.25-5.25","","5","null"
"4245","{""Q0"":2}","survey-likert","40","535903","0.0-3.0-0.37","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","114","Well, you can sleep here if you want.","<2.25","","3","null"
"5073","{""Q0"":1}","survey-likert","41","540978","0.0-3.0-0.38","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","781","That one moment could erase all you've accomplished.",">5.25","","2","null"
"5680","{""Q0"":0}","survey-likert","42","546659","0.0-3.0-0.39","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","503","She was almost twelve, her passions yet unfettered.","4.25-5.25","","1","null"
"4579","{""Q0"":5}","survey-likert","43","551240","0.0-3.0-0.40","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","500","Jane heaved her paperwork out of the kitchen.","4.25-5.25","","6","null"
"4012","{""Q0"":6}","survey-likert","44","555254","0.0-3.0-0.41","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 7.","attention_check","7","7","true"
"3531","{""Q0"":2}","survey-likert","45","558786","0.0-3.0-0.42","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","583","He served briefly as a superior court judge.","4.25-5.25","","3","null"
"3484","{""Q0"":4}","survey-likert","46","562271","0.0-3.0-0.43","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","174","She closed the door and leaned against it.","2.25-3.25","","5","null"
"4209","{""Q0"":1}","survey-likert","47","566482","0.0-3.0-0.44","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","75","How dare you speak to me like that?","<2.25","","2","null"
"12920","{""Q0"":2}","survey-likert","48","579404","0.0-3.0-0.45","65e48fd0230ec826e5cca981","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","414","I am one step away from saying that","3.25-4.25","","3","null"
