"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"25465","{""Q0"":""6730ae7e641e006bd877f570""}","survey-text","0","25475","0.0-0.0","6730ae7e641e006bd877f570","","","","","","","","","","","",""
"25605","0","html-button-response","1","51088","0.0-1.0","6730ae7e641e006bd877f570","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"15531","0","html-button-response","2","66625","0.0-2.0","6730ae7e641e006bd877f570","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"46450","{""Q0"":6}","survey-likert","3","113084","0.0-3.0-0.0","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","117","Now, why did you ask to see me?","<2.25","","7","null"
"35849","{""Q0"":3}","survey-likert","4","148942","0.0-3.0-0.1","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","726","Or pretend we run an imaginary puppy store?",">5.25","","4","null"
"7743","{""Q0"":6}","survey-likert","5","156690","0.0-3.0-0.2","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","717","The crystals all over his car were growing.",">5.25","","7","null"
"6251","{""Q0"":6}","survey-likert","6","162946","0.0-3.0-0.3","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","7","null"
"8020","{""Q0"":6}","survey-likert","7","170971","0.0-3.0-0.4","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","249","I was just giving you a hard time.","2.25-3.25","","7","null"
"8158","{""Q0"":6}","survey-likert","8","179134","0.0-3.0-0.5","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","316","I could not believe what they were saying.","2.25-3.25","","7","null"
"5652","{""Q0"":6}","survey-likert","9","184790","0.0-3.0-0.6","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","7","null"
"5511","{""Q0"":6}","survey-likert","10","190305","0.0-3.0-0.7","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","800","Cass stands there looking at him march away.",">5.25","","7","null"
"5085","{""Q0"":6}","survey-likert","11","195394","0.0-3.0-0.8","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","605","It means methane gas leeching from the soil.","4.25-5.25","","7","null"
"19584","{""Q0"":6}","survey-likert","12","214983","0.0-3.0-0.9","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","795","Something ancient stirred far off in the forest.",">5.25","","7","null"
"19545","{""Q0"":0}","survey-likert","13","234532","0.0-3.0-0.10","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","695","This development enabled the emergence of secondary consciousness.",">5.25","","1","null"
"9859","{""Q0"":0}","survey-likert","14","244395","0.0-3.0-0.11","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","1","null"
"20799","{""Q0"":6}","survey-likert","15","265198","0.0-3.0-0.12","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","7","null"
"9536","{""Q0"":6}","survey-likert","16","274738","0.0-3.0-0.13","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","412","Can you see the spring in his step?","3.25-4.25","","7","null"
"6661","{""Q0"":0}","survey-likert","17","281403","0.0-3.0-0.14","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","382","I feel a new sun on my skin","3.25-4.25","","1","null"
"7602","{""Q0"":6}","survey-likert","18","289009","0.0-3.0-0.15","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","585","I did get a lot accomplished this week.","4.25-5.25","","7","null"
"24831","{""Q0"":6}","survey-likert","19","313844","0.0-3.0-0.16","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","21","I don't know what to do with you.","<2.25","","7","null"
"7701","{""Q0"":0}","survey-likert","20","321549","0.0-3.0-0.17","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","36","I think I'm going to go to bed.","<2.25","","1","null"
"4951","{""Q0"":6}","survey-likert","21","326503","0.0-3.0-0.18","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","22","Why don't you come in for a while?","<2.25","","7","null"
"2306","{""Q0"":6}","survey-likert","22","328814","0.0-3.0-0.19","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","312","The chauffeur changes the lock on the door.","2.25-3.25","","7","null"
"3382","{""Q0"":0}","survey-likert","23","332200","0.0-3.0-0.20","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"5319","{""Q0"":6}","survey-likert","24","337524","0.0-3.0-0.21","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","131","Why do you want to know my name?","<2.25","","7","null"
"2320","{""Q0"":6}","survey-likert","25","339848","0.0-3.0-0.22","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","640","They mine the leaves of their host plant.","4.25-5.25","","7","null"
"2316","{""Q0"":6}","survey-likert","26","342169","0.0-3.0-0.23","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","728","Flowers and mushrooms alike wore coats of glass.",">5.25","","7","null"
"3003","{""Q0"":6}","survey-likert","27","345176","0.0-3.0-0.24","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","786","Matthew stumbled as his feet met solid steps.",">5.25","","7","null"
"3203","{""Q0"":6}","survey-likert","28","348383","0.0-3.0-0.25","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","442","Fancy eating food with a fly in it!","3.25-4.25","","7","null"
"8253","{""Q0"":6}","survey-likert","29","356640","0.0-3.0-0.26","6730ae7e641e006bd877f570","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","257","The words are coming out of my mouth.","2.25-3.25","","7","null"
