"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"8039","{""Q0"":""649d809191fa2e4b6e84c69e""}","survey-text","0","8070","0.0-0.0","649d809191fa2e4b6e84c69e","","","","","","","","","","","",""
"9316","0","html-button-response","1","17390","0.0-1.0","649d809191fa2e4b6e84c69e","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"20473","0","html-button-response","2","37865","0.0-2.0","649d809191fa2e4b6e84c69e","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7204","{""Q0"":0}","survey-likert","3","45075","0.0-3.0-0.0","649d809191fa2e4b6e84c69e","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","108","What do you do to make ends meet?","<2.25","","1","null"
"2881","{""Q0"":0}","survey-likert","4","47962","0.0-3.0-0.1","649d809191fa2e4b6e84c69e","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","1","null"
"3199","{""Q0"":1}","survey-likert","5","51163","0.0-3.0-0.2","649d809191fa2e4b6e84c69e","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","774","The sheep turn round and charge the shepherd?",">5.25","","2","null"
"2628","{""Q0"":0}","survey-likert","6","53794","0.0-3.0-0.3","649d809191fa2e4b6e84c69e","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","783","There was more chatter and tapping of watches.",">5.25","","1","null"
"2248","{""Q0"":0}","survey-likert","7","56045","0.0-3.0-0.4","649d809191fa2e4b6e84c69e","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","166","I'd love to hear about what you're doing.","2.25-3.25","","1","null"
"3464","{""Q0"":0}","survey-likert","8","59511","0.0-3.0-0.5","649d809191fa2e4b6e84c69e","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","1","null"
"3664","{""Q0"":0}","survey-likert","9","63178","0.0-3.0-0.6","649d809191fa2e4b6e84c69e","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","1","null"
