"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"46911","{""Q0"":""5fe848f115b59b69cf9b06b6""}","survey-text","0","46921","0.0-0.0","5fe848f115b59b69cf9b06b6","","","","","","","","","","","",""
"5964","0","html-button-response","1","52888","0.0-1.0","5fe848f115b59b69cf9b06b6","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"64441","0","html-button-response","2","117329","0.0-2.0","5fe848f115b59b69cf9b06b6","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5144","{""Q0"":0}","survey-likert","3","122480","0.0-3.0-0.0","5fe848f115b59b69cf9b06b6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"3149","{""Q0"":0}","survey-likert","4","125632","0.0-3.0-0.1","5fe848f115b59b69cf9b06b6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","1","null"
"8164","{""Q0"":0}","survey-likert","5","133797","0.0-3.0-0.2","5fe848f115b59b69cf9b06b6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"3889","{""Q0"":0}","survey-likert","6","137688","0.0-3.0-0.3","5fe848f115b59b69cf9b06b6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","1","null"
"5942","{""Q0"":0}","survey-likert","7","143631","0.0-3.0-0.4","5fe848f115b59b69cf9b06b6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","1","null"
"3867","{""Q0"":0}","survey-likert","8","147500","0.0-3.0-0.5","5fe848f115b59b69cf9b06b6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"2503","{""Q0"":0}","survey-likert","9","150004","0.0-3.0-0.6","5fe848f115b59b69cf9b06b6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","1","null"
