"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11562","{""Q0"":""698b10e112e204e2d1f0c126""}","survey-text","0","11572","0.0-0.0","698b10e112e204e2d1f0c126","","","","","","","","","","","",""
"2009","0","html-button-response","1","13584","0.0-1.0","698b10e112e204e2d1f0c126","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"38286","0","html-button-response","2","51871","0.0-2.0","698b10e112e204e2d1f0c126","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11988","{""Q0"":0}","survey-likert","3","63865","0.0-3.0-0.0","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","108","What do you do to make ends meet?","<2.25","","1","null"
"6338","{""Q0"":4}","survey-likert","4","70205","0.0-3.0-0.1","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","5","null"
"6147","{""Q0"":5}","survey-likert","5","76355","0.0-3.0-0.2","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","774","The sheep turn round and charge the shepherd?",">5.25","","6","null"
"6029","{""Q0"":0}","survey-likert","6","82388","0.0-3.0-0.3","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","783","There was more chatter and tapping of watches.",">5.25","","1","null"
"4825","{""Q0"":0}","survey-likert","7","87217","0.0-3.0-0.4","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","166","I'd love to hear about what you're doing.","2.25-3.25","","1","null"
"4258","{""Q0"":5}","survey-likert","8","91479","0.0-3.0-0.5","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","6","null"
"6406","{""Q0"":0}","survey-likert","9","97887","0.0-3.0-0.6","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","1","null"
"4589","{""Q0"":4}","survey-likert","10","102477","0.0-3.0-0.7","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","541","Music and laughter came from inside the shop.","4.25-5.25","","5","null"
"4315","{""Q0"":4}","survey-likert","11","106795","0.0-3.0-0.8","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","324","She turned her attention back to the furnishings.","3.25-4.25","","5","null"
"4791","{""Q0"":0}","survey-likert","12","111588","0.0-3.0-0.9","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","1","null"
"4763","{""Q0"":0}","survey-likert","13","116354","0.0-3.0-0.10","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","27","Sir, would you like to leave a message?","<2.25","","1","null"
"4356","{""Q0"":4}","survey-likert","14","120712","0.0-3.0-0.11","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","5","null"
"4740","{""Q0"":0}","survey-likert","15","125453","0.0-3.0-0.12","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","778","That was very interesting research George was doing!",">5.25","","1","null"
"4541","{""Q0"":0}","survey-likert","16","129997","0.0-3.0-0.13","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","619","The next morning found him eager to begin.","4.25-5.25","","1","null"
"5402","{""Q0"":0}","survey-likert","17","135402","0.0-3.0-0.14","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","708","The guy most likely looked at life simply.",">5.25","","1","null"
"6515","{""Q0"":5}","survey-likert","18","141920","0.0-3.0-0.15","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","438","Footsteps moved toward them up the side street.","3.25-4.25","","6","null"
"4096","{""Q0"":0}","survey-likert","19","146018","0.0-3.0-0.16","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","381","The flow of data is returning to normal.","3.25-4.25","","1","null"
"5182","{""Q0"":5}","survey-likert","20","151202","0.0-3.0-0.17","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","333","He looked at the poster on the wall.","3.25-4.25","","6","null"
"5049","{""Q0"":5}","survey-likert","21","156253","0.0-3.0-0.18","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","688","I watched him head to the other barn.",">5.25","","6","null"
"5147","{""Q0"":5}","survey-likert","22","161403","0.0-3.0-0.19","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","43","Call me when you get close, all right?","<2.25","","6","null"
"3881","{""Q0"":3}","survey-likert","23","165287","0.0-3.0-0.20","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"4861","{""Q0"":0}","survey-likert","24","170151","0.0-3.0-0.21","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","204","If I get any information, I'll call you.","2.25-3.25","","1","null"
"8381","{""Q0"":0}","survey-likert","25","178535","0.0-3.0-0.22","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","679","Other passengers reviewed shopping lists and read books.",">5.25","","1","null"
"4230","{""Q0"":0}","survey-likert","26","182768","0.0-3.0-0.23","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","134","No, that's not the way I see it.","<2.25","","1","null"
"5306","{""Q0"":0}","survey-likert","27","188077","0.0-3.0-0.24","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","409","It would be like believing in the postman.","3.25-4.25","","1","null"
"4532","{""Q0"":0}","survey-likert","28","192612","0.0-3.0-0.25","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","734","I laughed too, loving his delightful British accent.",">5.25","","1","null"
"5086","{""Q0"":0}","survey-likert","29","197700","0.0-3.0-0.26","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","178","It was the way it had always been.","2.25-3.25","","1","null"
"4567","{""Q0"":0}","survey-likert","30","202270","0.0-3.0-0.27","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","299","When are we getting out of here, exactly?","2.25-3.25","","1","null"
"6162","{""Q0"":0}","survey-likert","31","208434","0.0-3.0-0.28","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","666","He peers at the tag inside the dress.",">5.25","","1","null"
"7525","{""Q0"":0}","survey-likert","32","215960","0.0-3.0-0.29","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","736","The boys were all at that runaway age.",">5.25","","1","null"
"3855","{""Q0"":0}","survey-likert","33","219817","0.0-3.0-0.30","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","188","He had never seen anything like them before.","2.25-3.25","","1","null"
"10266","{""Q0"":0}","survey-likert","34","230086","0.0-3.0-0.31","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","720","What use were eyes to it down here?",">5.25","","1","null"
"12295","{""Q0"":0}","survey-likert","35","242384","0.0-3.0-0.32","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","191","Most of it is not all of it.","2.25-3.25","","1","null"
"6131","{""Q0"":0}","survey-likert","36","248518","0.0-3.0-0.33","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","394","How could they talk when he couldn't speak?","3.25-4.25","","1","null"
"3630","{""Q0"":5}","survey-likert","37","252150","0.0-3.0-0.34","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","378","Did someone try to kick the door down?","3.25-4.25","","6","null"
"59245","{""Q0"":0}","survey-likert","38","311398","0.0-3.0-0.35","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","457","Finally, he had something he could actually do.","3.25-4.25","","1","null"
"6681","{""Q0"":0}","survey-likert","39","318082","0.0-3.0-0.36","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","396","In my judgment, you simply have no alternative.","3.25-4.25","","1","null"
"26122","{""Q0"":0}","survey-likert","40","344208","0.0-3.0-0.37","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","132","That's just what I was going to say.","<2.25","","1","null"
"5322","{""Q0"":0}","survey-likert","41","349532","0.0-3.0-0.38","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","454","Then I would have to answer interesting questions.","3.25-4.25","","1","null"
"4716","{""Q0"":5}","survey-likert","42","354251","0.0-3.0-0.39","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","513","The workshop guys can pick it up later.","4.25-5.25","","6","null"
"9087","{""Q0"":0}","survey-likert","43","363341","0.0-3.0-0.40","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","711","Martin knew any real answers lay much deeper.",">5.25","","1","null"
"4368","{""Q0"":3}","survey-likert","44","367712","0.0-3.0-0.41","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 4.","attention_check","4","4","true"
"5697","{""Q0"":0}","survey-likert","45","373412","0.0-3.0-0.42","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","430","In the swamps, I learned how to listen.","3.25-4.25","","1","null"
"4783","{""Q0"":5}","survey-likert","46","378199","0.0-3.0-0.43","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","570","The windows they faced were dark and shut.","4.25-5.25","","6","null"
"4713","{""Q0"":0}","survey-likert","47","382915","0.0-3.0-0.44","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","609","We lead rituals and ceremonies, things like that.","4.25-5.25","","1","null"
"4014","{""Q0"":0}","survey-likert","48","386932","0.0-3.0-0.45","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","51","It's not just me, it's both of us.","<2.25","","1","null"
"3561","{""Q0"":0}","survey-likert","49","390497","0.0-3.0-0.46","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","123","I don't care what you think of me.","<2.25","","1","null"
"7964","{""Q0"":0}","survey-likert","50","398464","0.0-3.0-0.47","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","530","Now keep that thought in mind and exaggerate!","4.25-5.25","","1","null"
"4305","{""Q0"":0}","survey-likert","51","402771","0.0-3.0-0.48","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","273","Let's hope there isn't a backlash against him.","2.25-3.25","","1","null"
"5766","{""Q0"":0}","survey-likert","52","408539","0.0-3.0-0.49","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","756","But here they were merely Paul and Anna.",">5.25","","1","null"
"5313","{""Q0"":5}","survey-likert","53","413855","0.0-3.0-0.50","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","616","Half of Omaha has no lights right now.","4.25-5.25","","6","null"
"4318","{""Q0"":0}","survey-likert","54","418175","0.0-3.0-0.51","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","90","Even if I did, you'd never believe it.","<2.25","","1","null"
"10035","{""Q0"":4}","survey-likert","55","428213","0.0-3.0-0.52","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","33","I wish there was something I could do.","<2.25","","5","null"
"4682","{""Q0"":0}","survey-likert","56","432897","0.0-3.0-0.53","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","239","It doesn't look like something you'd pick out.","2.25-3.25","","1","null"
"5158","{""Q0"":0}","survey-likert","57","438058","0.0-3.0-0.54","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","215","Whatever it was, it seemed to get through.","2.25-3.25","","1","null"
"4238","{""Q0"":0}","survey-likert","58","442299","0.0-3.0-0.55","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","558","Have many famous actors and actresses lived here?","4.25-5.25","","1","null"
"4094","{""Q0"":0}","survey-likert","59","446395","0.0-3.0-0.56","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","219","To be honest, I found this by accident.","2.25-3.25","","1","null"
"4007","{""Q0"":0}","survey-likert","60","450405","0.0-3.0-0.57","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","410","You need a partner, someone to spot you.","3.25-4.25","","1","null"
"4114","{""Q0"":0}","survey-likert","61","454521","0.0-3.0-0.58","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","416","Now, we have cloaks for those with wings.","3.25-4.25","","1","null"
"16287","{""Q0"":0}","survey-likert","62","470810","0.0-3.0-0.59","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","61","This time, you have to do it right.","<2.25","","1","null"
"4092","{""Q0"":0}","survey-likert","63","474904","0.0-3.0-0.60","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","693","He spent my college fund on puppet clothes.",">5.25","","1","null"
"3646","{""Q0"":5}","survey-likert","64","478551","0.0-3.0-0.61","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","648","Good housing also helped promote good work habits.",">5.25","","6","null"
"3644","{""Q0"":1}","survey-likert","65","482197","0.0-3.0-0.62","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_60","This is an attention check. Please click 2.","attention_check","2","2","true"
"4087","{""Q0"":0}","survey-likert","66","486286","0.0-3.0-0.63","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","597","He ignored me for a full thirty seconds.","4.25-5.25","","1","null"
"4074","{""Q0"":0}","survey-likert","67","490363","0.0-3.0-0.64","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","581","They have always been understanding, patient and kind.","4.25-5.25","","1","null"
"7545","{""Q0"":4}","survey-likert","68","497911","0.0-3.0-0.65","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","133","Are you going to be able to sleep?","<2.25","","5","null"
"5708","{""Q0"":4}","survey-likert","69","503620","0.0-3.0-0.66","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","470","By this time, we were getting visitors, too.","3.25-4.25","","5","null"
"6139","{""Q0"":4}","survey-likert","70","509761","0.0-3.0-0.67","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","478","She stood looking straight at my downcast eyes.","3.25-4.25","","5","null"
"4167","{""Q0"":4}","survey-likert","71","513931","0.0-3.0-0.68","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","627","Eleanor turned to look at what he indicated.","4.25-5.25","","5","null"
"4893","{""Q0"":0}","survey-likert","72","518826","0.0-3.0-0.69","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","537","Your father too wished to own a boat.","4.25-5.25","","1","null"
"5633","{""Q0"":0}","survey-likert","73","524462","0.0-3.0-0.70","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","60","You told me you wanted to meet him.","<2.25","","1","null"
"4438","{""Q0"":0}","survey-likert","74","528903","0.0-3.0-0.71","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","271","But it would be better if you came.","2.25-3.25","","1","null"
"4790","{""Q0"":5}","survey-likert","75","533696","0.0-3.0-0.72","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","252","Have I got time to mow the lawn?","2.25-3.25","","6","null"
"3963","{""Q0"":0}","survey-likert","76","537660","0.0-3.0-0.73","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","539","There were fewer chips left after each wager.","4.25-5.25","","1","null"
"5475","{""Q0"":0}","survey-likert","77","543138","0.0-3.0-0.74","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","250","I have no recollection of any of that.","2.25-3.25","","1","null"
"4636","{""Q0"":0}","survey-likert","78","547778","0.0-3.0-0.75","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","746","Hanna faked a cough, hiding her guilty expression.",">5.25","","1","null"
"8179","{""Q0"":0}","survey-likert","79","555960","0.0-3.0-0.76","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","334","I was lukewarm about her in the beginning.","3.25-4.25","","1","null"
"4442","{""Q0"":0}","survey-likert","80","560405","0.0-3.0-0.77","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","514","When will you bring her the color television?","4.25-5.25","","1","null"
"6334","{""Q0"":5}","survey-likert","81","566743","0.0-3.0-0.78","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","691","Evening approached as more people filled the street.",">5.25","","6","null"
"12299","{""Q0"":0}","survey-likert","82","579045","0.0-3.0-0.79","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","667","Business travel slowed dramatically and vacations were cancelled.",">5.25","","1","null"
"6280","{""Q0"":4}","survey-likert","83","585328","0.0-3.0-0.80","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","308","Why don't we go straight through the stream?","2.25-3.25","","5","null"
"4430","{""Q0"":0}","survey-likert","84","589760","0.0-3.0-0.81","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","162","Tomorrow was going to be a long day.","2.25-3.25","","1","null"
"5729","{""Q0"":6}","survey-likert","85","595492","0.0-3.0-0.82","698b10e112e204e2d1f0c126","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","405","She pointed to a carving on the wall.","3.25-4.25","","7","null"
