"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"8908","{""Q0"":""69a57aa47e24452a7ab66ff0""}","survey-text","0","8918","0.0-0.0","69a57aa47e24452a7ab66ff0","","","","","","","","","","","",""
"23386","0","html-button-response","1","32309","0.0-1.0","69a57aa47e24452a7ab66ff0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"38083","0","html-button-response","2","70396","0.0-2.0","69a57aa47e24452a7ab66ff0","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7534","{""Q0"":6}","survey-likert","3","77936","0.0-3.0-0.0","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","49","All you had to do was walk away.","<2.25","","7","null"
"9473","{""Q0"":6}","survey-likert","4","87412","0.0-3.0-0.1","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","153","Only one of them could have done that.","<2.25","","7","null"
"4695","{""Q0"":5}","survey-likert","5","92109","0.0-3.0-0.2","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","326","He was holding his backpack over his head.","3.25-4.25","","6","null"
"11323","{""Q0"":2}","survey-likert","6","103436","0.0-3.0-0.3","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","3","null"
"4345","{""Q0"":5}","survey-likert","7","107785","0.0-3.0-0.4","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","59","I really haven't made up my mind yet.","<2.25","","6","null"
"5811","{""Q0"":2}","survey-likert","8","113597","0.0-3.0-0.5","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","512","The other two float out into the vacuum.","4.25-5.25","","3","null"
"4923","{""Q0"":5}","survey-likert","9","118523","0.0-3.0-0.6","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","420","He put half a dozen in his pouch.","3.25-4.25","","6","null"
"4114","{""Q0"":6}","survey-likert","10","122638","0.0-3.0-0.7","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","68","He picked it up and looked at it.","<2.25","","7","null"
"9177","{""Q0"":4}","survey-likert","11","131817","0.0-3.0-0.8","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","733","They must purchase the electric power at wholesale.",">5.25","","5","null"
"6389","{""Q0"":4}","survey-likert","12","138207","0.0-3.0-0.9","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","403","They were putting on a mask of calm.","3.25-4.25","","5","null"
"7685","{""Q0"":5}","survey-likert","13","145894","0.0-3.0-0.10","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","625","With luck, maybe it will work without trouble.","4.25-5.25","","6","null"
"5307","{""Q0"":6}","survey-likert","14","151205","0.0-3.0-0.11","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","185","Suddenly there was an image in my mind.","2.25-3.25","","7","null"
"4130","{""Q0"":6}","survey-likert","15","155337","0.0-3.0-0.12","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","139","There's a lot of things I can't change.","<2.25","","7","null"
"4849","{""Q0"":4}","survey-likert","16","160189","0.0-3.0-0.13","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","496","She shopped for only one thing: a bargain.","4.25-5.25","","5","null"
"4295","{""Q0"":6}","survey-likert","17","164486","0.0-3.0-0.14","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","148","Let me know what you think of that.","<2.25","","7","null"
"6329","{""Q0"":6}","survey-likert","18","170818","0.0-3.0-0.15","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","492","There's already a half million in this portfolio.","4.25-5.25","","7","null"
"5050","{""Q0"":6}","survey-likert","19","175871","0.0-3.0-0.16","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","103","Mister, I don't want to know your name.","<2.25","","7","null"
"5000","{""Q0"":6}","survey-likert","20","180874","0.0-3.0-0.17","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","319","Then you should go back to your table.","2.25-3.25","","7","null"
"9860","{""Q0"":5}","survey-likert","21","190737","0.0-3.0-0.18","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","508","The elves nodded and headed for the house.","4.25-5.25","","6","null"
"6711","{""Q0"":5}","survey-likert","22","197451","0.0-3.0-0.19","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","549","It is the second planet from their sun.","4.25-5.25","","6","null"
"3889","{""Q0"":4}","survey-likert","23","201343","0.0-3.0-0.20","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"5323","{""Q0"":5}","survey-likert","24","206668","0.0-3.0-0.21","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","729","Making what we all believe look like dirt",">5.25","","6","null"
"4068","{""Q0"":6}","survey-likert","25","210739","0.0-3.0-0.22","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","72","We have a lot of work to do.","<2.25","","7","null"
"4596","{""Q0"":6}","survey-likert","26","215337","0.0-3.0-0.23","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","265","And are you happy with your new book?","2.25-3.25","","7","null"
"5294","{""Q0"":6}","survey-likert","27","220634","0.0-3.0-0.24","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","724","Every second wasted in negotiation made her nervous.",">5.25","","7","null"
"3228","{""Q0"":6}","survey-likert","28","223865","0.0-3.0-0.25","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","101","How am I supposed to tell the difference?","<2.25","","7","null"
"5218","{""Q0"":5}","survey-likert","29","229085","0.0-3.0-0.26","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","580","Where would a wise man hide a leaf?","4.25-5.25","","6","null"
"4213","{""Q0"":6}","survey-likert","30","233300","0.0-3.0-0.27","69a57aa47e24452a7ab66ff0","","[0]","","6","1","How much does the sentence make sense?","79","I didn't even know you were in town.","<2.25","","7","null"
