"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"9564","{""Q0"":""69fe07e2702be549353fa06d""}","survey-text","0","9573","0.0-0.0","69fe07e2702be549353fa06d","","","","","","","","","","","",""
"20695","0","html-button-response","1","30271","0.0-1.0","69fe07e2702be549353fa06d","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"77399","0","html-button-response","2","107671","0.0-2.0","69fe07e2702be549353fa06d","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10064","{""Q0"":2}","survey-likert","3","117739","0.0-3.0-0.0","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","49","All you had to do was walk away.","<2.25","","3","null"
"6148","{""Q0"":4}","survey-likert","4","123888","0.0-3.0-0.1","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","153","Only one of them could have done that.","<2.25","","5","null"
"7330","{""Q0"":5}","survey-likert","5","131220","0.0-3.0-0.2","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","326","He was holding his backpack over his head.","3.25-4.25","","6","null"
"5450","{""Q0"":5}","survey-likert","6","136672","0.0-3.0-0.3","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","6","null"
"5948","{""Q0"":2}","survey-likert","7","142621","0.0-3.0-0.4","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","59","I really haven't made up my mind yet.","<2.25","","3","null"
"4748","{""Q0"":4}","survey-likert","8","147372","0.0-3.0-0.5","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","512","The other two float out into the vacuum.","4.25-5.25","","5","null"
"9364","{""Q0"":5}","survey-likert","9","156738","0.0-3.0-0.6","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","420","He put half a dozen in his pouch.","3.25-4.25","","6","null"
"3798","{""Q0"":4}","survey-likert","10","160539","0.0-3.0-0.7","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","68","He picked it up and looked at it.","<2.25","","5","null"
"5747","{""Q0"":5}","survey-likert","11","166288","0.0-3.0-0.8","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","733","They must purchase the electric power at wholesale.",">5.25","","6","null"
"6465","{""Q0"":5}","survey-likert","12","172755","0.0-3.0-0.9","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","403","They were putting on a mask of calm.","3.25-4.25","","6","null"
"4348","{""Q0"":3}","survey-likert","13","177105","0.0-3.0-0.10","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","625","With luck, maybe it will work without trouble.","4.25-5.25","","4","null"
"4515","{""Q0"":5}","survey-likert","14","181621","0.0-3.0-0.11","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","185","Suddenly there was an image in my mind.","2.25-3.25","","6","null"
"5582","{""Q0"":2}","survey-likert","15","187205","0.0-3.0-0.12","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","139","There's a lot of things I can't change.","<2.25","","3","null"
"22865","{""Q0"":6}","survey-likert","16","210072","0.0-3.0-0.13","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","496","She shopped for only one thing: a bargain.","4.25-5.25","","7","null"
"5197","{""Q0"":5}","survey-likert","17","215271","0.0-3.0-0.14","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","148","Let me know what you think of that.","<2.25","","6","null"
"4715","{""Q0"":6}","survey-likert","18","219989","0.0-3.0-0.15","69fe07e2702be549353fa06d","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","492","There's already a half million in this portfolio.","4.25-5.25","","7","null"
