"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7571","{""Q0"":""69975af56e47c98f4a633844""}","survey-text","0","7583","0.0-0.0","69975af56e47c98f4a633844","","","","","","","","","","","",""
"4824","0","html-button-response","1","12408","0.0-1.0","69975af56e47c98f4a633844","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"31084","0","html-button-response","2","43493","0.0-2.0","69975af56e47c98f4a633844","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7818","{""Q0"":1}","survey-likert","3","51312","0.0-3.0-0.0","69975af56e47c98f4a633844","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","2","null"
"6398","{""Q0"":0}","survey-likert","4","57711","0.0-3.0-0.1","69975af56e47c98f4a633844","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","696","Relief swept through her when she found one.",">5.25","","1","null"
"5081","{""Q0"":2}","survey-likert","5","62793","0.0-3.0-0.2","69975af56e47c98f4a633844","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","404","There is a little white at the base.","3.25-4.25","","3","null"
"6917","{""Q0"":1}","survey-likert","6","69711","0.0-3.0-0.3","69975af56e47c98f4a633844","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","398","What did you put for your best feature?","3.25-4.25","","2","null"
"2904","{""Q0"":1}","survey-likert","7","72617","0.0-3.0-0.4","69975af56e47c98f4a633844","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","81","I want you to have a good time.","<2.25","","2","null"
"6914","{""Q0"":1}","survey-likert","8","79532","0.0-3.0-0.5","69975af56e47c98f4a633844","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","42","It's the logical thing to do, isn't it?","<2.25","","2","null"
"5185","{""Q0"":1}","survey-likert","9","84719","0.0-3.0-0.6","69975af56e47c98f4a633844","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","145","Truth is, I don't know what to say.","<2.25","","2","null"
