"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6385","{""Q0"":""694170a12e9a4a93384d6962""}","survey-text","0","6399","0.0-0.0","694170a12e9a4a93384d6962","","","","","","","","","","","",""
"40266","0","html-button-response","1","46668","0.0-1.0","694170a12e9a4a93384d6962","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"190902","0","html-button-response","2","237571","0.0-2.0","694170a12e9a4a93384d6962","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"38951","{""Q0"":0}","survey-likert","3","276524","0.0-3.0-0.0","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","656","Now it runs without any rake sharing arrangement.",">5.25","","1","null"
"25727","{""Q0"":1}","survey-likert","4","302253","0.0-3.0-0.1","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","702","I began to ride a first rate hunch.",">5.25","","2","null"
"27869","{""Q0"":3}","survey-likert","5","330123","0.0-3.0-0.2","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","251","Not that I didn't like the cat, too.","2.25-3.25","","4","null"
"12928","{""Q0"":2}","survey-likert","6","343052","0.0-3.0-0.3","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","235","I'm in the middle of something important here.","2.25-3.25","","3","null"
"5502","{""Q0"":2}","survey-likert","7","348556","0.0-3.0-0.4","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","384","The launch was delayed by a few months.","3.25-4.25","","3","null"
"18338","{""Q0"":5}","survey-likert","8","366895","0.0-3.0-0.5","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","330","He got up and headed toward the kitchen.","3.25-4.25","","6","null"
"20155","{""Q0"":1}","survey-likert","9","387052","0.0-3.0-0.6","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","39","Promise me you won't put yourself in danger.","<2.25","","2","null"
"9782","{""Q0"":1}","survey-likert","10","396836","0.0-3.0-0.7","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","2","null"
"4287","{""Q0"":5}","survey-likert","11","401124","0.0-3.0-0.8","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","6","null"
"5191","{""Q0"":5}","survey-likert","12","406316","0.0-3.0-0.9","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","314","A knock at the front door interrupted me.","2.25-3.25","","6","null"
"17606","{""Q0"":4}","survey-likert","13","423924","0.0-3.0-0.10","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","705","He gestures between us, like now we're connected.",">5.25","","5","null"
"4575","{""Q0"":3}","survey-likert","14","428500","0.0-3.0-0.11","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","287","Right now it's just wonderful to be back.","2.25-3.25","","4","null"
"8894","{""Q0"":2}","survey-likert","15","437395","0.0-3.0-0.12","694170a12e9a4a93384d6962","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","477","There is too much happening in world politics.","3.25-4.25","","3","null"
