"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11362","{""Q0"":""69846a6db8061f8c19cead98""}","survey-text","0","11381","0.0-0.0","69846a6db8061f8c19cead98","","","","","","","","","","","",""
"18346","0","html-button-response","1","29733","0.0-1.0","69846a6db8061f8c19cead98","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"38954","0","html-button-response","2","68691","0.0-2.0","69846a6db8061f8c19cead98","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"17993","{""Q0"":5}","survey-likert","3","86693","0.0-3.0-0.0","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","656","Now it runs without any rake sharing arrangement.",">5.25","","6","null"
"8160","{""Q0"":6}","survey-likert","4","94856","0.0-3.0-0.1","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","702","I began to ride a first rate hunch.",">5.25","","7","null"
"15382","{""Q0"":1}","survey-likert","5","110242","0.0-3.0-0.2","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","251","Not that I didn't like the cat, too.","2.25-3.25","","2","null"
"5824","{""Q0"":1}","survey-likert","6","116070","0.0-3.0-0.3","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","235","I'm in the middle of something important here.","2.25-3.25","","2","null"
"10470","{""Q0"":2}","survey-likert","7","126544","0.0-3.0-0.4","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","384","The launch was delayed by a few months.","3.25-4.25","","3","null"
"7186","{""Q0"":2}","survey-likert","8","133734","0.0-3.0-0.5","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","330","He got up and headed toward the kitchen.","3.25-4.25","","3","null"
"7597","{""Q0"":1}","survey-likert","9","141336","0.0-3.0-0.6","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","39","Promise me you won't put yourself in danger.","<2.25","","2","null"
"7455","{""Q0"":0}","survey-likert","10","148794","0.0-3.0-0.7","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","1","null"
"10015","{""Q0"":1}","survey-likert","11","158813","0.0-3.0-0.8","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","2","null"
"5084","{""Q0"":5}","survey-likert","12","163900","0.0-3.0-0.9","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","314","A knock at the front door interrupted me.","2.25-3.25","","6","null"
"6016","{""Q0"":2}","survey-likert","13","169918","0.0-3.0-0.10","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","705","He gestures between us, like now we're connected.",">5.25","","3","null"
"10169","{""Q0"":2}","survey-likert","14","180091","0.0-3.0-0.11","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","287","Right now it's just wonderful to be back.","2.25-3.25","","3","null"
"7466","{""Q0"":0}","survey-likert","15","187562","0.0-3.0-0.12","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","477","There is too much happening in world politics.","3.25-4.25","","1","null"
"11248","{""Q0"":1}","survey-likert","16","198813","0.0-3.0-0.13","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","297","How many times did you try calling her?","2.25-3.25","","2","null"
"12269","{""Q0"":0}","survey-likert","17","211084","0.0-3.0-0.14","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","363","Freedom is the greatest prize of them all.","3.25-4.25","","1","null"
"11636","{""Q0"":1}","survey-likert","18","222725","0.0-3.0-0.15","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","561","You alone have stood up to their guards.","4.25-5.25","","2","null"
"5335","{""Q0"":0}","survey-likert","19","228063","0.0-3.0-0.16","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","1","null"
"12267","{""Q0"":0}","survey-likert","20","240335","0.0-3.0-0.17","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","579","Well, you should always let a roast rest.","4.25-5.25","","1","null"
"7784","{""Q0"":0}","survey-likert","21","248122","0.0-3.0-0.18","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","452","Everything was running as usual in her head.","3.25-4.25","","1","null"
"4752","{""Q0"":0}","survey-likert","22","252878","0.0-3.0-0.19","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","4","Do you understand what I'm trying to say?","<2.25","","1","null"
"8743","{""Q0"":3}","survey-likert","23","261624","0.0-3.0-0.20","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"10765","{""Q0"":0}","survey-likert","24","272392","0.0-3.0-0.21","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","671","Teddy tilted his face into the soft rain.",">5.25","","1","null"
"7846","{""Q0"":0}","survey-likert","25","280242","0.0-3.0-0.22","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","435","And how are you enjoying this fine evening?","3.25-4.25","","1","null"
"13191","{""Q0"":0}","survey-likert","26","293436","0.0-3.0-0.23","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","347","When she stepped into view, she saw everyone.","3.25-4.25","","1","null"
"6580","{""Q0"":1}","survey-likert","27","300020","0.0-3.0-0.24","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","747","And Matt wandered off to investigate the grounds.",">5.25","","2","null"
"11053","{""Q0"":0}","survey-likert","28","311075","0.0-3.0-0.25","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","225","I'm not the only one on your trail.","2.25-3.25","","1","null"
"11576","{""Q0"":5}","survey-likert","29","322654","0.0-3.0-0.26","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","357","He put the receiver down and sat up.","3.25-4.25","","6","null"
"10157","{""Q0"":5}","survey-likert","30","332813","0.0-3.0-0.27","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","730","Some tapes of my studio and some books.",">5.25","","6","null"
"6245","{""Q0"":0}","survey-likert","31","339060","0.0-3.0-0.28","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","449","It took him a moment to remember it.","3.25-4.25","","1","null"
"8888","{""Q0"":0}","survey-likert","32","347952","0.0-3.0-0.29","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","342","He was at the wrong place, wrong time.","3.25-4.25","","1","null"
"8411","{""Q0"":1}","survey-likert","33","356368","0.0-3.0-0.30","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","788","His little globe of light revealed a tunnel.",">5.25","","2","null"
"9554","{""Q0"":0}","survey-likert","34","365928","0.0-3.0-0.31","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","209","He wanted answers, but he didn't need them.","2.25-3.25","","1","null"
"10211","{""Q0"":0}","survey-likert","35","376142","0.0-3.0-0.32","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","658","She was pale, twenty shades lighter than white.",">5.25","","1","null"
"6864","{""Q0"":0}","survey-likert","36","383009","0.0-3.0-0.33","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","151","That was how it was supposed to be.","<2.25","","1","null"
"5760","{""Q0"":0}","survey-likert","37","388772","0.0-3.0-0.34","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","555","It could be one, but feels like fifty.","4.25-5.25","","1","null"
"16034","{""Q0"":5}","survey-likert","38","404809","0.0-3.0-0.35","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","789","His pitch streaked by; the batter almost ducked.",">5.25","","6","null"
"13688","{""Q0"":3}","survey-likert","39","418502","0.0-3.0-0.36","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","620","Mentally he made note of the day's activities.","4.25-5.25","","4","null"
"6558","{""Q0"":0}","survey-likert","40","425063","0.0-3.0-0.37","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","475","It was from last night at around midnight.","3.25-4.25","","1","null"
"7429","{""Q0"":0}","survey-likert","41","432494","0.0-3.0-0.38","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","246","I think that might have been the truth.","2.25-3.25","","1","null"
"11152","{""Q0"":1}","survey-likert","42","443649","0.0-3.0-0.39","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","592","She does not want to assume anything yet.","4.25-5.25","","2","null"
"7360","{""Q0"":0}","survey-likert","43","451012","0.0-3.0-0.40","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","218","The couple had a daughter and a son.","2.25-3.25","","1","null"
"9116","{""Q0"":0}","survey-likert","44","460131","0.0-3.0-0.41","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 1.","attention_check","1","1","true"
"13081","{""Q0"":1}","survey-likert","45","473216","0.0-3.0-0.42","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","340","He had only ever seen them in books.","3.25-4.25","","2","null"
"7115","{""Q0"":1}","survey-likert","46","480334","0.0-3.0-0.43","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","205","We sat in silence for a few moments.","2.25-3.25","","2","null"
"10387","{""Q0"":0}","survey-likert","47","490725","0.0-3.0-0.44","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","137","Are you sure that I can do it?","<2.25","","1","null"
"9341","{""Q0"":0}","survey-likert","48","500069","0.0-3.0-0.45","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","495","I'm not up to unraveling subtle hints today.","4.25-5.25","","1","null"
"9528","{""Q0"":0}","survey-likert","49","509598","0.0-3.0-0.46","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","540","The operation was canceled only hours before launch.","4.25-5.25","","1","null"
"5188","{""Q0"":0}","survey-likert","50","514789","0.0-3.0-0.47","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","184","I'm not sure how old I am, either.","2.25-3.25","","1","null"
"8516","{""Q0"":1}","survey-likert","51","523310","0.0-3.0-0.48","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","189","This is the proof I've been waiting for.","2.25-3.25","","2","null"
"6963","{""Q0"":0}","survey-likert","52","530277","0.0-3.0-0.49","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","673","All versions of this document refer to influenza.",">5.25","","1","null"
"7729","{""Q0"":0}","survey-likert","53","538009","0.0-3.0-0.50","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","111","There's so much to see in this house.","<2.25","","1","null"
"6560","{""Q0"":1}","survey-likert","54","544573","0.0-3.0-0.51","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","230","Are you going to the race on Saturday?","2.25-3.25","","2","null"
"9469","{""Q0"":1}","survey-likert","55","554047","0.0-3.0-0.52","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","604","Jake blushed, his face looked like a carrot.","4.25-5.25","","2","null"
"11678","{""Q0"":0}","survey-likert","56","565729","0.0-3.0-0.53","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","674","I therefore postpone a final decision until Friday.",">5.25","","1","null"
"5714","{""Q0"":0}","survey-likert","57","571450","0.0-3.0-0.54","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","216","I really appreciate what you did for me.","2.25-3.25","","1","null"
"8433","{""Q0"":5}","survey-likert","58","579886","0.0-3.0-0.55","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","528","He had ripped off the face mask too.","4.25-5.25","","6","null"
"5085","{""Q0"":0}","survey-likert","59","584974","0.0-3.0-0.56","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","431","There was nothing he found off about them.","3.25-4.25","","1","null"
"13419","{""Q0"":4}","survey-likert","60","598399","0.0-3.0-0.57","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","490","The hiss of silk brought his head up.","4.25-5.25","","5","null"
"8093","{""Q0"":1}","survey-likert","61","606496","0.0-3.0-0.58","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","526","These were all instruments meant for specific situations.","4.25-5.25","","2","null"
"8026","{""Q0"":0}","survey-likert","62","614527","0.0-3.0-0.59","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","17","We've got a lot of work to do.","<2.25","","1","null"
"8095","{""Q0"":2}","survey-likert","63","622627","0.0-3.0-0.60","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","311","It belongs here, just like you belong here.","2.25-3.25","","3","null"
"6261","{""Q0"":1}","survey-likert","64","628891","0.0-3.0-0.61","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","608","The average man would go after the reward.","4.25-5.25","","2","null"
"5996","{""Q0"":2}","survey-likert","65","634890","0.0-3.0-0.62","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_60","This is an attention check. Please click 3.","attention_check","3","3","true"
"7132","{""Q0"":6}","survey-likert","66","642024","0.0-3.0-0.63","69846a6db8061f8c19cead98","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","655","Similar weak pyrotechnics drizzled from the other batteries.",">5.25","","7","null"
